id,name_type,verdict,confidence,our_name,google_name,our_address,google_address,distance_m,reason
6755,unique,yes,0.95,B-FRESH - אייס מול,B-Fresh,"קאמפן 8, אילת","Kampen St 8, Eilat, Israel",1742,"Name matches (B-Fresh/B-FRESH), street and house number match exactly (Kampen/קאמפן 8), city matches (Eilat/אילת). Large distance in meters likely due to coordinate error in our database, but address components are precise."
5800,unique,yes,0.95,מאפיית שיבולת הארץ,שיבולת הארץ,"סוקולוב 17, הרצליה, Israel","Sokolov St 17, Herzliya, Israel",675,"Name matches (מאפיית שיבולת הארץ = bakery Shibbolet HaAretz), identical street and house number (Sokolov/סוקולוב 17), same city (Herzliya/הרצליה). Large distance discrepancy (675m) likely due to coordinate error in our database, but street address is precise match."
2448,unique,uncertain,0.45,פיצה דה לה קאזה,דה לה קאזה,"ניצנים 39, מגדל העמק, Israel","קניון מרכז העמק, Nitsanim 45, Migdal HaEmek, Israel",351,"Same business name core ('דה לה קאזה'), same street (Nitsanim) and city, but house numbers differ significantly (39 vs 45) and Google lists a mall location while Hebrew entry lists a street address. The 351m distance is substantial. Could be same business relocated or different branches of same name."
4460,unique,yes,0.95,מאפה נאמן,Neeman Bakery,"חיים סוטין 4, פתח תקווה, Israel","Khayim Soutin St 4, Petah Tikva, Israel",2927,"Hebrew name 'מאפה נאמן' translates to 'Neeman Bakery'. Street address and house number match exactly (Khayim Soutin St 4 = חיים סוטין 4). Same city (Petah Tikva). Distance discrepancy (2927m) likely due to coordinate error in our database, not indicative of different locations given perfect address alignment."
6850,unique,yes,0.95,B-FRESH - באר יעקב,B-FRESH,"שא נס 17, באר יעקב","Sa Nes St 17, Be'er Ya'akov, Israel",943,"Identical business name (B-FRESH), same street (Sa Nes/שא נס), same house number (17), same city (Be'er Ya'akov/באר יעקב). Large distance_meters likely due to coordinate error in our system, but address match is clear and unambiguous."
4683,chain,yes,0.95,פיצה שמש,פיצה שמש,"שד' מרדכי בן פורת 79, אור יהודה, Israel","Sderot Mordehai Ben Porat 79, Or Yehuda, Israel",1064,"Identical business name (פיצה שמש / Pizza Shemesh), exact street name and house number match (שד' מרדכי בן פורת 79 / Sderot Mordehai Ben Porat 79), same city (Or Yehuda). The 1064m distance is likely a GPS/coordinate error in our database, not a street address mismatch. Street and house number are clear matches."
6068,unique,uncertain,0.45,המטבח של סילביה,המטבח של סלביה,"סוקולוב 37, שופינג סנטר רמת השרון, רמת השרון, Israel","43,, Sokolov 33, Ramat HaSharon, Israel",2915,Name matches (Sylvia's Kitchen - Hebrew spelling variant סילביה vs סלביה). Address on same street (Sokolov) and city (Ramat HaSharon) but house numbers differ (37 vs 33) and Google shows distance of 2.9km despite same street - suggests different locations or data error. The shopping center reference in listing A suggests a specific location that doesn't clearly align with Google's address.
2977,unique,yes,0.85,המחבת,Spa Village Hamat Gader,"חמת גדר, Israel",Hamat Gader,513,"Same location (Hamat Gader/חמת גדר). 'המחבת' (The Pan) appears to be a restaurant/business at the Spa Village Hamat Gader resort. Distance of 513m is acceptable given coordinate inaccuracy in resort areas. Names differ because one references the business name, the other the resort destination."
6866,unique,no,0.95,סטייג',Maale Adumim Cultural Hall,"דרך מדבר יהודה 8, מעלה אדומים","דרך מדבר יהודה 8, Derekh Midbar Yehuda 5, Ma'ale Adumim",457,Different businesses at same address: 'סטייג' (Steig - likely a restaurant/bar) vs 'Maale Adumim Cultural Hall' (a cultural venue). The address match is coincidental; these are distinct establishments.
4432,unique,no,0.85,Mr. Pretzels,קניון עופר הגבעה,"יוני נתניהו 29, קניון עופר הגבעה, גבעת שמואל, Israel","Yoni Netanyahu St 29-31, Giv'at Shmuel, Israel",99,"Google listing is for the shopping mall (קניון עופר הגבעה) itself, not for Mr. Pretzels restaurant. The mall address matches our location, but Google's business name is the mall, not the tenant business."
6202,unique,no,0.85,שווארמה איתי,Shmuel HaNatziv St 6,"שמואל הנציב 6, נתניה, Israel","Shmuel HaNatziv St 6, Netanya, 4228103, Israel",15,"Google listing has no business name, only a street address. This indicates it is not a business match but rather just a location entry. Our listing 'שווארמה איתי' (Shawarma Itai) is a specific named business at this address."
7123,unique,yes,0.95,אונמי - הילטון תל אביב,Onami Hilton Tel-Aviv - אונמי הילטון תל אביב,"הירקון 205, תל אביב","HaYarkon St 205, Tel Aviv-Yafo, 6340506, Israel",1126,"Name matches (Onami/אונמי at Hilton Tel Aviv). Street and house number identical (HaYarkon/הירקון 205). Large distance (1126m) is likely a GPS error in our database, but the street address and unique business name clearly indicate the same restaurant."
5978,unique,yes,0.95,הרש'יס פיצה,הרשי'ס פיצה,"דברי חיים 20, נתניה, Israel","Divrei Khayim St 20, Netanya, Israel",254,"Same business name (Rashi's Pizza, minor punctuation variation), same street (Divrei Khayim/דברי חיים), same house number (20), same city (Netanya). Distance of 254m is likely due to coordinate inaccuracy, not different locations. Clear match."
3725,unique,yes,0.95,פוקי סטיישן,פוקי סטיישן,"תובל 16, מתחם הבורסה, רמת גן, Israel","Tuval St 16, Ramat Gan, Israel",391,"Identical business name (פוקי סטיישן), same street (Tuval/תובל 16) and city (Ramat Gan/רמת גן). Distance of 391m likely due to coordinate precision differences; both list same house number 16. The mall location (מתחם הבורסה) confirms this is the same physical business."
3360,unique,yes,0.95,מרכז אסיה,Central Asia,"מסילת ישרים 41, תל אביב, Israel","Mesilat Yesharim St 41, Tel Aviv-Yafo, Israel",11,"Exact name match (Hebrew 'מרכז אסיה' = English 'Central Asia'), identical street address (Mesilat Yesharim/מסילת ישרים 41), same city (Tel Aviv), minimal distance (11m likely due to coordinate precision differences). Unique business name strengthens confidence."
2689,chain,uncertain,0.35,פיצה האט,Pizza Hut,"קרית אתא, Israel","Kiryat Ata, Israel",4160,"Chain restaurant with matching name translation (פיצה האט = Pizza Hut) and same city (Kiryat Ata), but 4.16km distance is too large to confirm same location. No specific street/house number provided for either listing. Could be different branches."
7298,unique,yes,0.95,פיצה פרגו,Pizza Prego,"הלוחמים 62, תל אביב, Israel","Ha-Lokhamim St 62, Tel Aviv-Yafo, Israel",325,"Hebrew name 'פיצה פרגו' translates to 'Pizza Prego'. Street (Halokhamim/Ha-Lokhamim) and house number (62) match exactly. Same city (Tel Aviv). Distance discrepancy (325m) likely due to coordinate imprecision in database, not a real location mismatch."
