"id","final","source","reason","old_name","old_address","city","country","country_code","old_lat","old_lng","place_id","google_name","google_address","google_lat","google_lng","business_status","google_primary_type","google_types","google_maps_uri","google_phone","google_rating","google_rating_count","google_opening_hours","has_photo","google_photo_name","google_photo_attribution","decision"
"7727","verified","llm-yes","LLM אישר (0.98): Unique name 'Amnon's' (with kosher descriptor in B), identical address 4814 13th Ave Brooklyn NY 11219, exact house number and street match, same city, kosher pizza restaurant category. Minor name variation ('Pizza' vs 'Kosher Pizza') is expected in Google listings. Address coordinates distance is irrelevant given street-level match.","Amnon's Pizza","4814 13th Avenue Brooklyn, NY, 11219, United States","New York","United States","US","40.7127281","-74.0060152","ChIJi9IXAS1FwokRzW4igeHSUkg","Amnon's Kosher Pizza","4814 13th Ave, Brooklyn, NY 11219, USA","40.6353492","-73.9919815","OPERATIONAL","pizza_restaurant","pizza_restaurant;falafel_restaurant;restaurant;food;point_of_interest;establishment","https://maps.google.com/?cid=5211459584797077197&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","(718) 851-1759","4.4","1930","Monday: 8:00 AM – 11:00 PM | Tuesday: 8:00 AM – 11:00 PM | Wednesday: 8:00 AM – 11:00 PM | Thursday: 8:00 AM – 11:00 PM | Friday: 8:00 AM – 2:00 PM | Saturday: Closed | Sunday: 8:00 AM – 11:00 PM","yes","places/ChIJi9IXAS1FwokRzW4igeHSUkg/photos/AaVGc3ncmQOjJytOT8Q6HrL_SUKl3K3MkLiZbM2AWCJp2ZWCPF3-XofgkDWeRXGk7dLS3rLazm8GW5sVjv5VHa7olgwBSjYVATJNt8z0xqQ99NbMGiI1dXPDUmauVffbSocEw10SKaduRO2egPHIK5ri1LbTTf-6SMi3UFjtd45DiqrYKw1y1kdiJIv1i_qdr-j6qc_SWCwLr6DL94ZgmUgIgoHGyfQ6dersl06t8I7BWxEkb_ddEwjavruFcJz4fTJd5aDhQtg_upplufvsN5V75aXrPrJxc2FcAisQdBbTKjMBQgcpehDIWlSRM86ZKQig4QYlT9J4YCiTarSIyRe-eXy4tIfPRoTWpkr-cGNjhnmhQb9I5JkeJyHnMJ9N1dP-Y_pF2eqpIXB5TSiECYf1Tf_yTZTiZK2OVz5dwOC6PTK7QQ","Yosssi","apply_google_shadow"
"7728","verified","rules-yes","unique name matches + same city","Amsterdam Burger NYC","100 West 83rd Street, New York, NY, 10024, USA","New York","United States","US","40.7127281","-74.0060152","ChIJkx37-UBZwokRM7Y3-tqS5lE","AMSTERDAM BURGER NYC","100 W 83rd St, New York, NY 10024, USA","40.7845884","-73.9739816","OPERATIONAL","restaurant","restaurant;point_of_interest;food;establishment","https://maps.google.com/?cid=5901565830914094643&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","(212) 362-0700","4.4","277","Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: Closed | Saturday: Closed | Sunday: 11:00 AM – 9:00 PM","yes","places/ChIJkx37-UBZwokRM7Y3-tqS5lE/photos/AaVGc3kBxBsI3rba4C0yARo0_4BgOyhiqnW5OyMOyFD3PkXMvIm17C9x4nMKez1A7ZSsX5gkwl7Nk9vrKRGPibKE8VVAUyFxP5Ti-0O5Nm314FqL3wL_7mMuUFld6rDSihCD_XA7fpor7hcWEW1IE5SCDyEPxjMjUkTtS1vVLH59JkBrOMME7a10BW3aHB-1QsHYTSpnbMpiSpdZFyvngSB0hXPfwJHqMu9ZQY9TkE69B9dFECZ53L2j1FBXqMZL9lY7okuV1k7wsRGtoa9GdqtFxR-Mpq1gjVQv2xi318xJmtCurn6_uVzZrTSUvT56yyy50ntk6zOXpEeylkAONQKRxNA8DgLXpKCz8EO6skJhtlSYvHpuwAJfxT5oGjSCv_s7wqI0jLmmt5DEhCSMWtUcdd38UaMwMa3XtKsnxkYrfkoBsmSt","O Man","apply_google_shadow"
"7729","verified","llm-yes","LLM אישר (0.95): Unique name 'Ananda' + identical address (210 Thompson St, New York, NY 10012) with only formatting differences (Street vs St). Google's operational status and Indian/vegan restaurant category align with kosher database entry. The distance metric (1871m) appears to be a system error given exact address match. High confidence this is the same location.","Ananda","210 Thompson Street New York, NY, 10012, United States","New York","United States","US","40.7127281","-74.0060152","ChIJpVNaVCpZwokRUIfLZT2dHCo","Ananda","210 Thompson St, New York, NY 10012, USA","40.7287319","-73.9991467","OPERATIONAL","indian_restaurant","indian_restaurant;vegan_restaurant;vegetarian_restaurant;restaurant;food;point_of_interest;establishment","https://maps.google.com/?cid=3034473135967274832&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","(212) 533-7290","4.1","487","Monday: 12:00 – 3:00 PM, 5:00 – 10:00 PM | Tuesday: 12:00 – 3:00 PM, 5:00 – 10:00 PM | Wednesday: 12:00 – 3:00 PM, 5:00 – 10:00 PM | Thursday: 12:00 – 3:00 PM, 5:00 – 10:00 PM | Friday: 12:00 – 3:00 PM, 5:00 – 11:00 PM | Saturday: 12:00 – 3:00 PM, 5:00 – 11:00 PM | Sunday: 12:00 – 3:00 PM, 5:00 – 10:00 PM","yes","places/ChIJpVNaVCpZwokRUIfLZT2dHCo/photos/AaVGc3kfbbVhH3LN1vEQ-wUDZSzLThF7Bu8eZRMJL6bl4yk6mIqd1Ot3t9dYMb4UI9yoCUHd4_4fiZUoRt_0Y_obnID0gyOh4BbJPBuVown_AIe47RuV5l1tp9K3nw9voczRvLJYbQJIhJ9g0JvKtvSUJPQOcbQ-f7bgxc6XPR9evRryfDLNJ7MVPGmcUxyY2g6Vz16He-pBpZdaLbRb5XY6OplbdmnrALLyu2qZTt3XWek4CBVtGbbXrVRfq2g4z03nmoCzoBhJlBsT9bqfzNb7o63rtVP1UaPhfGJqrEWmVFk7QJuno0Hul3Hr9SwHNkOglqcpP5eHonhIQ00Tpbwsqni6JpSCMY2RwiiPbfvvfIHLKpQZWxwq4AO3etCvhCgl0Zq-witwxjoVbnUek7RZJEYw4nET8IjyIEa98W3Bq6qd7g","Ananda","apply_google_shadow"
"7730","verified","rules-yes","unique name matches + same city","Anixi","290 8th Ave, New York, NY , 10001, USA","New York","United States","US","40.7127281","-74.0060152","ChIJaRynAtpZwokRfbYA0B4VJWs","Anixi Mediterranean Vegan Restaurant","290 8th Ave, New York, NY 10001, USA","40.7462466","-73.99744489999999","OPERATIONAL","vegan_restaurant","vegan_restaurant;vegetarian_restaurant;cocktail_bar;mediterranean_restaurant;bar;restaurant;food;point_of_interest;establishment","https://maps.google.com/?cid=7720600358279493245&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","(646) 410-0946","4.8","2222","Monday: 4:30 – 10:00 PM | Tuesday: 4:30 – 10:00 PM | Wednesday: 4:30 – 10:00 PM | Thursday: 4:30 – 10:00 PM | Friday: 4:30 – 10:30 PM | Saturday: 11:30 AM – 10:30 PM | Sunday: 11:30 AM – 10:00 PM","yes","places/ChIJaRynAtpZwokRfbYA0B4VJWs/photos/AaVGc3ndERyADzZGJlGVY0UMW1ygM__PlGgkUbWKOq_IGcjVReqmyTdwatz3NbrUz_AxU7mdUE2DOUy7NM-ALPkX-fXsnuzbxETXdkaqKnGzw6LbmCAKPaOWQXZXIOGHA44SOOA6y2UmrzgAsmsL_eitgP7EwXqG7-dq0MU3NX-vI_djzK0-dsd01KxNWFBVnZU3lFzT19gQdx7u5vBQojRKiesxp5YahS_15airikt6AON4XBKnQOfmGNc7u_v9S7JhANgISb5m2MdCe9i0IC8iY7prB4GSL_tzqERuWD3tbGggsOm8JnfeKRssqlHlSOvKUc9igG8p_Setiz2MKxAyUwB6J0TQGD7Jkm_eT-KJ4hP6gtuOQX8XLOI9Ys2HozmS9MuaDX0nk0N4c_3cYGlvD5mgQUzazCZLZwmFLhRhlaA","Anixi Mediterranean Vegan Restaurant","apply_google_shadow"
"7731","verified","llm-yes","LLM אישר (0.95): Same unique name 'Annie's Kitchen', identical house number and street (72-24 Main St), same ZIP code 11367. City discrepancy (Kew Gardens Hills vs Flushing) is immaterial - both are neighborhoods in same Queens area with same postal code. Google's address is more precise. Kosher Chinese/Sushi restaurant matches food type.","Annie's Kitchen","72-24 Main Street Kew Gardens Hills, NY, 11367, United States","New York","United States","US","40.7127281","-74.0060152","ChIJx800Z4xgwokRS0Xlox2RJDE","Annie's Kitchen | Kosher Chinese Food 11367 | Sushi 11367","72-24 Main St, Flushing, NY 11367, USA","40.7259524","-73.8217926","OPERATIONAL","chinese_restaurant","chinese_restaurant;sushi_restaurant;asian_fusion_restaurant;fusion_restaurant;asian_restaurant;japanese_restaurant;restaurant;food;point_of_interest;establishment","https://maps.google.com/?cid=3541114763509843275&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","(718) 268-0960","4.4","385","Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 1:00 AM | Friday: 11:00 AM – 3:30 PM | Saturday: Closed | Sunday: 11:00 AM – 10:00 PM","yes","places/ChIJx800Z4xgwokRS0Xlox2RJDE/photos/AaVGc3l01BxZjdod9nOnaSmezSwekYKPrVHOPAjLXaMj6DgCwZxEDJ5UYsOZ9cft8-Mey4IOsFkqlkp0uYPcTWecJT-Tu8M6C3-sjzLP6mHREz9uRcoAA_Fap8ux8ox2Hfmn5MWd1n_03bsgYmj4Sqnml9s4pBuPT424LtRh4-Gw44Pjt9vYLYO8OmlMAB0rxu0X5H2Pk4ZpOilGOJ9wonEmXMxOnRepkKSMMKOHtX1FeFEDNH3b5rBsCeEoi1chGlV_enYDBAeWii9miZFhikBRscD_9VqS60lNfBW6_qtwFB_rsVg_kwbSACArk-zRsS7GgxaJHL15p4GB6sy-UYTiIAH_nh-c-I74Cc_wcV_8T9lS2NQzrODbD9XDZadnxEQGGNTgVIi8AUxfp9DA4DG8vwsJlOskG5j_TzuudLrJVq5ptTbYECCOxja8EmGCjjVv","Annie's Kitchen | Kosher Chinese Food 11367 | Sushi 11367","apply_google_shadow"
"7732","verified","llm-yes","LLM אישר (0.98): שם ייחודי זהה (Art of Prime), כתובת זהה (943 Coney Island Ave, Brooklyn, NY 11230), בעל מאפיינים זהים. ההבדל בעיר (New York vs Brooklyn) הוא טכני - שני שמות מתייחסים לאותה עיר מטרופוליטנית. הפרטים העסקיים תואמים: כתובת המספר בית, הרחוב וקוד הדואר זהים לחלוטין.","Art of Prime","943 Coney Island Ave Brooklyn, NY, 11230, United States","New York","United States","US","40.7127281","-74.0060152","ChIJ88FsV-pbwokRxe-RQtgJrBE","Art of Prime","943 Coney Island Ave, Brooklyn, NY 11230, USA","40.634446","-73.96697569999999","OPERATIONAL","restaurant","restaurant;point_of_interest;food;establishment","https://maps.google.com/?cid=1273403619073454021&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","(718) 940-9454","4.9","132","Monday: 1:00 – 10:30 PM | Tuesday: 1:00 – 10:30 PM | Wednesday: 1:00 – 10:30 PM | Thursday: 1:00 – 10:30 PM | Friday: Closed | Saturday: Closed | Sunday: 1:00 – 10:30 PM","yes","places/ChIJ88FsV-pbwokRxe-RQtgJrBE/photos/AaVGc3k0w9vYTuzG_mGsHGmieOLTFej3ayR5pq0aky2Azsu5G8jCPGKrPL6U6bNFm4-pQm0nWQVUk-pRfxTHOoG-VeG6R8mx3WaVcRrAukHzpEhHSJcSDVgcUgmlOJsCY4StUbQYWLI-Qx874EF0ddJvWEsJgo5dnS_Vwt3QwmeumRFDIeIztwGOnfruCW1oGlZPFy3z6ZcY0b6KHmSxM0nv0WytGC6YsQTWTU6TSWtxh-5W1CmNHWcdu6NkE46MupZ0BwQnY5iRZ7wlMSQb35XV_mKuZ-pGCAZOFBb6WXgc3_Pu1xrSznsGjG9kE_bmXYlEJr_VjCvDXp-EVr6B3TER1ksLlugzDKf1hgJfWMKaxAij5GPiWNk5X3hi8S1FqfyGKnlFF1b3ci8CWHpxR4PJXZJAQYwlmrZnIutF2_aC3mwc0dg956omzb3BlZvXf-1e","Art of Prime","apply_google_shadow"
"7733","verified","llm-yes","LLM אישר (0.95): Identical unique name 'Asia Glatt Kosher', exact house number match (4813), same street (New Utrecht Ave/Avenue - spelling variant), same city Brooklyn, same state NY, same ZIP 11219. Kosher restaurant operational. Address format differences are standard variations between database formats.","Asia Glatt Kosher","4813 New Utrecht Avenue Brooklyn, NY, 11219, United States","New York","United States","US","40.7127281","-74.0060152","ChIJVyveXy1FwokRKc-Vb1whgIQ","Asia Glatt Kosher","4813 New Utrecht Ave, Brooklyn, NY 11219, USA","40.6369407","-73.9944782","OPERATIONAL","restaurant","restaurant;point_of_interest;food;establishment","https://maps.google.com/?cid=9547667890918248233&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","(718) 972-3434","4.4","554","Monday: 11:00 AM – 10:30 PM | Tuesday: 11:00 AM – 10:30 PM | Wednesday: 11:00 AM – 10:30 PM | Thursday: 11:00 AM – 10:30 PM | Friday: 11:00 AM – 4:00 PM | Saturday: 11:00 AM – 10:30 PM | Sunday: 11:00 AM – 10:30 PM","yes","places/ChIJVyveXy1FwokRKc-Vb1whgIQ/photos/AaVGc3kZsJfdR6Dp4T6sR24w_mib8OoqFPlegkG7aEqFe1ZEbj95NxmCwqfiTQrTX0v3qJqioJSln7cf-12m4Wvz3x0DcIGiXVXG_1E-7H9L-VkJG4nM8A8HX21erD8mORJlSWX4CGRdhDx8Fgd8JdO4lfO9QEMI6utqI52YQisLOWqMX3-dYcU2Xs65yWnDmHyhJgRaW1FXWqUtV_cGABb7RVnIX59xbncdCbNHsdYvKGtZNGXtxbMu1jzThBjBi9Sb0iznaCMrSkf9nv4LP4rk_pSjbsRXGupXkuO8qLHGK2juBuvAM49VhbimFszXbVi-A-5IMKLeF7fTqIgvOFUnhTniwARFMmp1O0783lrXK7bWWy7vuKHWDsMzZdj8xI8csm4YBNMMzPsh7JpmpK85lsEhSVQlAe-iopVzZuNswUDSMGQ517zEWuP5iNlDBQ","Shalom Waxler","apply_google_shadow"
"7735","verified","rules-yes","unique name matches + same city","Avenue P Appetizers & Bagels","466 Avenue P, Brooklyn, NY 11223, USA","New York","United States","US","40.7127281","-74.0060152","ChIJr6rrQ-9EwokRoiXl_xImxNI","Avenue P Appetizers & Bagels","466 Avenue P, Brooklyn, NY 11223, USA","40.6089376","-73.9702289","OPERATIONAL","bagel_shop","bagel_shop;bakery;food_store;store;food;point_of_interest;establishment","https://maps.google.com/?cid=15187305706444629410&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","(718) 339-7202","3.9","57","Monday: 7:30 AM – 5:30 PM | Tuesday: 7:30 AM – 5:30 PM | Wednesday: 7:30 AM – 5:30 PM | Thursday: 7:30 AM – 5:30 PM | Friday: 7:30 AM – 5:30 PM | Saturday: 7:30 AM – 5:30 PM | Sunday: 7:30 AM – 5:30 PM","yes","places/ChIJr6rrQ-9EwokRoiXl_xImxNI/photos/AaVGc3mrpgWhQ-1e0pU7ZErxLkTUla0Mny9RRAjSX7vpXcN36oUVfc1zA-UPQNyN0wTtGhte5HtYCm4-jrwINKdKEjdJhgnqz-vh7QTFXICBBJCWuNmDA0DrZR02MneOF4FEqsG8KnX3lFIODLkmjAvXdydSwjzBiZyMxnkd4Xl79_vFXfZYja0sOJDiuijEsj0tWfkZkGOiaWaT6BjD632WFGRzwI3IhBRst9sj1_0dJhQK09Nt78q5q1AvqTjIhkDRWKYqKw6jUED2CBZbDSiYn2fwNvMl4M8m9QdVhausPOza_6jSTGe1XFcuOQLM4OFJCxUqyJfmfBZFjGHBGbQF_d0LupZE75S9QSjX9uDsJJ1B0myW7iPC50rmbedwmWzZAOZ0Yq6i8YRRYK_pe6lfYTML42CGjBEYs2svyuGIaro6RPp7","Hal Doueck","apply_google_shadow"
"7736","verified","llm-yes","LLM אישר (0.95): שם ייחודי זהה (Avraham Bakery), אותו רחוב (Main Street), אותה עיר (Kew Gardens Hills, NY), כתובת מזוהה - ההבדל בעיצוב הכתובת (7315 vs 73-15) הוא וריאציה סטנדרטית של כתובת אמריקנית. שניהם בתפעול וחנויות מזון.","Avraham Bakery","7315 Main Street Kew Gardens Hills, NY, 11367, United States","New York","United States","US","40.7127281","-74.0060152","ChIJG8vP_JJgwokReg9uq1M0FMQ","Avraham Bakery","73-15 Main St, Kew Gardens Hills, NY 11367, USA","40.7243765","-73.8202894","OPERATIONAL","bakery","bakery;food_store;store;food;point_of_interest;establishment","https://maps.google.com/?cid=14128975464931135354&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","(718) 969-1074","4.3","58","Monday: 7:30 AM – 7:00 PM | Tuesday: 7:30 AM – 7:00 PM | Wednesday: 7:30 AM – 7:00 PM | Thursday: 7:30 AM – 7:00 PM | Friday: 7:30 AM – 7:00 PM | Saturday: Closed | Sunday: 7:30 AM – 7:00 PM","yes","places/ChIJG8vP_JJgwokReg9uq1M0FMQ/photos/AaVGc3nHd4UM7fAE_hUhX3AOZJ7uWcOZDJt3ouRhs7KKnDq1-bvNct7tmtJmcTf8avVIIJftel0EUJpX7eSEEa7bymIquEdM7dZJfiAnlLVN8U6eJeGv-daay1Kfo7vJY4bE01IvBMrw2y94jIrb3tj5MRp-V0-PlUulFWlaMxmS8zRLpCg9MuUjsnZixomg0UP7HpNt5eGxWTB4tUSYETT3Y6wpkaVtVFaSefwjvZW-UL7vhKBfLpVG-pAIGOa6k9jMgfH3NM3KY4O5OrMHDPwK5FMEyOzafON3FQpYmaf8iT9PusRdlbYDs0USllJBBtv42dhQ9mDvXLe-OHXcobRXla6uk5d3zn73XgK_RVv8JnbjQG4OVPBHq15a1YRx_a0njDTPDBOusgi5WCi2129m3aw9oVIQnash0rnVlbHXH7SnPwgvECg6jp6e8tw5EG92","Andrew Kanouse","apply_google_shadow"
"7737","verified","llm-yes","LLM אישר (0.95): שם ייחודי זהה (B&H Dairy), כתובת זהה לחלוטין (127 2nd Ave, New York, NY 10003), עסק מזון כשר באותו מיקום. ההבדלים בעיצוב הכתובת (מרחק, קיצורים) הם טריוויאליים.","B & H Dairy","127 2nd Ave. New York, NY, 10003, United States","New York","United States","US","40.7127281","-74.0060152","ChIJdWXGiJxZwokRe_kzF8QTPJY","B&H Dairy","127 2nd Ave, New York, NY 10003, USA","40.7284734","-73.9880151","OPERATIONAL","restaurant","restaurant;food;point_of_interest;establishment","https://maps.google.com/?cid=10825549337215629691&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","(212) 505-8065","4.6","901","Monday: Closed | Tuesday: 7:00 AM – 11:00 PM | Wednesday: 7:00 AM – 11:00 PM | Thursday: 7:00 AM – 11:00 PM | Friday: 7:00 AM – 11:00 PM | Saturday: 7:00 AM – 11:00 PM | Sunday: 7:00 AM – 11:00 PM","yes","places/ChIJdWXGiJxZwokRe_kzF8QTPJY/photos/AaVGc3mLKVet-kL4SqIPnwszxKSY7JD2KXoseV3TWlDC3JSV-qRvysZr3kbqCtNY9p9e40lDVmrLHWP6dAPZTktzYbCw5RQfZ-nRiHDcrb2X-vJaCOPMnev-HM1Rn8hsy_Tihzoux2On9G3y07rEQtKitvkUSJ6rfUKWI8rCAsQogfIntRuWDVH_Ih9e5QbGi4qHP4NzcXTbZhfxHi2n_8auQkMrdl2bhBaDhyKa3txKhbhx2FVYIEOfXRZaIOv_Z2Ke55AYZjueKvCvdIG88EZvze05-Gs2ldEilfWa0EWC7RkURmGnYB_KHOlbCN-rF0n8FnAV4mFhSMLK_8Hz-H0CFfhuddlYXVjDdk5wjD0lZpPxbZLrbYRk6_iTXCNdsodIoJxrBibDXefCCP48QaU3gEjFnW_gcJfinN-5xwbcHaY","Ruwan J.","apply_google_shadow"
