id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution
4701,verified,rules-yes,unique name matches + same city,Reubens,"79 Baker St, London W1U 6RG",London,United Kingdom,GB,51.5222,-0.1573,ChIJe67jI8wadkgRgzf7MLltS9A,Reubens Deli & Restaurant,"79 Baker St, London W1U 6RG, UK",51.5198652,-0.1566756,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=15009210825300457347&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 7486 0035,4.2,1861,Monday: 11:30 AM – 10:00 PM | Tuesday: 11:30 AM – 10:00 PM | Wednesday: 11:30 AM – 10:00 PM | Thursday: 11:30 AM – 10:00 PM | Friday: 11:30 AM – 2:00 PM | Saturday: Closed | Sunday: 11:30 AM – 10:00 PM,yes,places/ChIJe67jI8wadkgRgzf7MLltS9A/photos/AaVGc3lDAXXJwK_UgKXlZT7r67buppACcLn3gpt85ZcjcYNYGrV5WN1FfuFmNXKcWaNAgzGKVFxPvfHcuAgW0fedPoMQeMLlmPkOkZe8vcrOh4h_sQX0aWVoojKb0nSTCMJV37xLGorxAHTJQg7NLktxwTQMNWyt3x7yIomK7KjRV-2gLXuthri8qBoVo2DZHj1ihHHK81Fq_SNMbV05eKSr-_IAQPFyfCMCRszTJNm_AwJ18ecWAwWdY-VCqU1v1KbCZ2RHUGGZCuXN96YutTA4mq6y7l3ddzVUrwSYV1-it4QACaoMV_7LK8QM5DK6FNZUKGucLY2oG6XkJ8iNNPQPZ-0Yt0Mq_9xE6wLDWdsDOSxifLNWFyKY0yYkHo-EAs2b_I2W7mX1HZcTKXPIsjk1bj-c5-dh3brBxniYzoph5VlDNw,Reubens Deli & Restaurant
4702,maybe,llm-uncertain,"LLM לא הכריע (0.35): B shows only a street address with no business name, while A is 'Moshikis' - a specific restaurant. Address match is exact (46 Golders Green Rd, London NW11), but B's 'premise;street_address' type and missing business name suggest it may be a building/location rather than the restaurant itself. Cannot confirm B is the Moshikis restaurant without B showing the actual business name.",Moshikis,"46 Golders Green Rd, London NW11",London,United Kingdom,GB,51.5719,-0.1947,ChIJsedcKJoQdkgRHfeaJGhsK4A,46 Golders Green Rd,"46 Golders Green Rd, London NW11 8LL, UK",51.57257990000001,-0.19789009999999999,,premise,premise;street_address,https://maps.google.com/?cid=9235594655399868189&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,no,,
4704,no_match,llm-no,"LLM דחה (0.95): שם שונה לחלוטין (La Fiesta vs PUKUSH), כתובות שונות באותו רחוב (236 vs 96), מרחק של 133 מטר בין שתי כתובות. אלו עסקים נפרדים.",La Fiesta,"236 Golders Green Rd, London NW11",London,United Kingdom,GB,51.5744,-0.1985,ChIJ4ZL1oxERdkgRL7Vjb1gD5ns,PUKUSH,"96 Golders Green Rd, London NW11 8HB, UK",51.5734456,-0.1996527,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=8927826989669397807&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 8191 1088,4.8,105,Monday: 5:00 – 11:00 PM | Tuesday: 5:00 – 11:00 PM | Wednesday: 5:00 – 11:00 PM | Thursday: 5:00 – 11:00 PM | Friday: Closed | Saturday: Closed | Sunday: 5:00 – 11:00 PM,yes,places/ChIJ4ZL1oxERdkgRL7Vjb1gD5ns/photos/AaVGc3mfyE80bHFK93pSN6lAulvSEbC7egqrBrMum9fGbUkIYsc-sZM-zSZmPEzt8J1jGOf6ZYwg7rA1kBT3A0rr9Jc2oI2JieoPHGB0Sxe984h3KC2eez9ml1EeyU35j7t5tNKkre-VLUJoY8l4jLrGnnuW-br7Yqe6Ho8KLpwnIjzkpnDeH7qSJJlw58hyds2Mf5riBWY-YwfynwrgvAvRNgtbVTV-GLVs0qycEqJOcdE8oZO3LtciyMcmqt2n1lw74We1pMx9mQxkkPOztrzXjxxULTB12p5v1eohFomQX5fPPa6bCe1ukkY6s8JoO2WllRtr6es7KqyTmmNKoLVp4Rp3yAL-gpAPH9qtjg_ADeR-Ey43Ony8T5xdHbPotj33ppS99re58bhwkKlbkpUGUMsdes_rCdV8xLMcO8Po9skdN9U5IVEPBIWOfyH7cw,PUKUSH
6349,verified,rules-yes,name + city + street match,Tony Page @ Island Grill,"26 Paddington St, London W1U 5QY.",London,United Kingdom,GB,51.5205862,-0.1555414,ChIJaW2seFIFdkgRpkPaSwoDU5A,Tony Page Marylebone,"26 Paddington St, London W1U 5QY, UK",51.5206419,-0.1553154,OPERATIONAL,restaurant,restaurant;bar;food;point_of_interest;establishment,https://maps.google.com/?cid=10399659307285758886&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 7139 8500,4.4,623,"Monday: 12:00 – 3:00 PM, 6:00 – 10:00 PM | Tuesday: 12:00 – 3:00 PM, 6:00 – 10:00 PM | Wednesday: 12:00 – 3:00 PM, 6:00 – 10:00 PM | Thursday: 12:00 – 3:00 PM, 6:00 – 10:00 PM | Friday: Closed | Saturday: Closed | Sunday: Closed",yes,places/ChIJaW2seFIFdkgRpkPaSwoDU5A/photos/AaVGc3kPRmhj26jxErbbs1B80mlkDOlmaBzgfeE5WcwWU6saRdKngjTvJ7b04Ol9lMuPPHMPB_VHGUkmCxw6dBZoeIsX-Cuo5a9H_--tkWp_41xFyPKgsf-nCq566eKBqFiSRNnt6huh9H5KlVuV_vSUpAPaJECLqKh-4_XvDRl7quPschTv99zh-R511N-1cich_39_vABsuBCbSavN4kmtIlPQuzJpDj55z51mIkix0JXX7SNSQOXZQ0vcVPdroUKa6LSul8yYGvNS_YvdmF1xiHzi_AwTlUtmrh_trcMAnBz8w8OJ4pC7JhWVxdB-G6nh9QHIWrAQJbrsNB6Ansk5ODOYKIco8H-JQJ_R2myYIvHZQjYtIb1E5CQ1_pxfORyEDj4wScNz7CR-aNgSeXI1S0jUQ7w3TGGa8YE7bJRjKEnIneLr,Tony Page Marylebone
6350,verified,rules-yes,unique name matches + same city,מסעדת רובנס Reubens,"79 Baker St, London W1U 6RG.",London,United Kingdom,GB,51.5198403,-0.1567701,ChIJe67jI8wadkgRgzf7MLltS9A,Reubens Deli & Restaurant,"79 Baker St, London W1U 6RG, UK",51.5198652,-0.1566756,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=15009210825300457347&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 7486 0035,4.2,1861,Monday: 11:30 AM – 10:00 PM | Tuesday: 11:30 AM – 10:00 PM | Wednesday: 11:30 AM – 10:00 PM | Thursday: 11:30 AM – 10:00 PM | Friday: 11:30 AM – 2:00 PM | Saturday: Closed | Sunday: 11:30 AM – 10:00 PM,yes,places/ChIJe67jI8wadkgRgzf7MLltS9A/photos/AaVGc3lDAXXJwK_UgKXlZT7r67buppACcLn3gpt85ZcjcYNYGrV5WN1FfuFmNXKcWaNAgzGKVFxPvfHcuAgW0fedPoMQeMLlmPkOkZe8vcrOh4h_sQX0aWVoojKb0nSTCMJV37xLGorxAHTJQg7NLktxwTQMNWyt3x7yIomK7KjRV-2gLXuthri8qBoVo2DZHj1ihHHK81Fq_SNMbV05eKSr-_IAQPFyfCMCRszTJNm_AwJ18ecWAwWdY-VCqU1v1KbCZ2RHUGGZCuXN96YutTA4mq6y7l3ddzVUrwSYV1-it4QACaoMV_7LK8QM5DK6FNZUKGucLY2oG6XkJ8iNNPQPZ-0Yt0Mq_9xE6wLDWdsDOSxifLNWFyKY0yYkHo-EAs2b_I2W7mX1HZcTKXPIsjk1bj-c5-dh3brBxniYzoph5VlDNw,Reubens Deli & Restaurant
6351,verified,llm-yes,"LLM אישר (0.95): שם ייחודי זהה (MAZAL), כתובת זהה לחלוטין (Hawley Wharf, Unit M192, Floor 2, London NW1 8AA), עיר זהה, סוג מזון תואם (mediterranean_restaurant). ההבדלים בעיצוב הכתובת (סדר המילים) הם טריוויאליים. זה אותו מקום.",מסעדת מזל MAZAL - Original Shawarma,"Unit M192 2nd Floor, Hawley Wharf, Second Floor, London NW1 8AA.",London,United Kingdom,GB,51.5074456,-0.1277653,ChIJ_clTdh4bdkgRNbqKHx9x0ZQ,MAZAL London,"Second Floor, Unit M192 2nd Floor, Hawley Wharf, London NW1 8AA, UK",51.5417287,-0.14508179999999998,OPERATIONAL,mediterranean_restaurant,mediterranean_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=10723476566232971829&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 3951 1561,4.7,1638,Monday: 11:30 AM – 10:00 PM | Tuesday: 11:30 AM – 10:00 PM | Wednesday: 11:30 AM – 10:00 PM | Thursday: 11:30 AM – 10:00 PM | Friday: Closed | Saturday: Closed | Sunday: 11:30 AM – 10:00 PM,yes,places/ChIJ_clTdh4bdkgRNbqKHx9x0ZQ/photos/AaVGc3n-VefRhnG4zm_5Nee7F1NmIMGpsdbxsBhwkaXPAkHMok6rHkZdglDhNnEqrZnIjhGux8nGzYNH9j_eQJ30biybv-1soUjZQU8V8mrNVl4TqKaUJNgg5ffBgpOuHoF_ThrlP_cXf4aFiKOHwb3iPy6GhO4mD4vn634wem7e0be7C7joCdJuYuwv34OKHStbZI_FsEak5XFoIEtg9r8me5JndL6l8eG26wcEOt28W7NRQO2WPKy2inD6mVrQM3Tmwr4oSD3Jv2xdx8WJLEX4ekoAROzqMzvA2l9J9-LclF_UT2o6OCMMD0IjGWQAuH3XkpYncB4SUuZs-6gshn7fQn_HNuMACkAHIlEXeKlEKew7l20idfYtvsuEx5WziAiW4TgmoAxhqkepq0MDjo06Ipd3vXapJ1YGC7OYSq4YaCgYnRWk2ZPSpV9HyBn976OO,Serene Dubois-Lee
6353,verified,llm-yes,LLM אישר (0.95): Unique restaurant name 'Moss & Maple' + exact house number and street match (51 Fairfax Rd) + same postal code (NW6 4EL) + same city (London). The 'חדש!' (New!) prefix in A is just a marketing label. Address formatting differences (UK vs full format) are irrelevant. Google Places status is OPERATIONAL. High confidence match.,חדש! Moss & Maple,"51 Fairfax Rd, London NW6 4EL. [map: https://maps.app.goo.gl/S9rtvdjTsAzrTwiM9]",London,United Kingdom,GB,51.5074456,-0.1277653,ChIJ-yWTMXcbdkgR3BWqAQJx0AQ,Moss & Maple,"51 Fairfax Rd, London NW6 4EL, UK",51.543006999999996,-0.1794424,OPERATIONAL,fine_dining_restaurant,fine_dining_restaurant;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=346901424739325404&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,07469 839104,4.9,265,Monday: 6:00 – 9:00 PM | Tuesday: 6:00 – 9:00 PM | Wednesday: 6:00 – 9:00 PM | Thursday: 6:00 – 9:00 PM | Friday: 9:00 AM – 2:00 PM | Saturday: Closed | Sunday: 6:00 – 9:00 PM,yes,places/ChIJ-yWTMXcbdkgR3BWqAQJx0AQ/photos/AaVGc3mZYvo0Hb0AXl0tXolVHbi7uVJ2jBgqgGX5ul2xJzG7CgX37icirhhBgUHS8mY87pA4aNXmv2Wy8N0Y4fHGxWRVf7bEt9jloyL9cfTE65TaAza8KJXAwG01mlM6NWLY4Chr39PmoTx2fIR5n1x6Lwx-izCsYrZp5N0HMdEdctneApGo1F7FdYV6jZPtcTRk3CHkc8uVrYXRkhQo-AjcdmOeu8zBlZRjGBi99M30Zm98QrcOJoUrF7kLYI6DOwNI3ogQDPT2mCEY2kejuoNuqgD13R0d3FDCXXuiAB_QwX2I0IAcx3dMt0nVCIowUH9v08ws1llFt5zsPn_aJf2Ooa1Yu7GSN00UNLEEmvqRwDFNK_Cu1H2Rh_Uf5nqtlya_selww0zuNIOP7izJXRi_RMb_K7WRAFb2fud_6DTm5Q3qgnNb-udqOYUEBK3sCbva,Pini Smus
6354,verified,rules-yes,unique name matches + same city,Delicatessen,"46 Rosslyn Hill, London NW3 1NH",London,United Kingdom,GB,51.5547628,-0.1725404,ChIJo4qjTZoadkgRv5EqJr4Vwzo,Delicatessen,"46 Rosslyn Hill, London NW3 1NH, UK",51.5550741,-0.1729937,CLOSED_PERMANENTLY,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=4234251981086691775&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 7700 5511,4.5,614,,yes,places/ChIJo4qjTZoadkgRv5EqJr4Vwzo/photos/AaVGc3njryNairK5mmTcY04POcX_megjQBGlW3xZj031YRa7FIOYbJVmRBvOA6uBWzQy5bVdM18sZ8XRjV8zS5BlH8KQD24IQnC_s6rU8b1pG_WKBCao1YS4vSiRHcHLALxFpDsPMylnUjkzIpU3HeGJsFSI7onoJDVNtZRqxKq48x-Nyukm7yIh0LrvHjDqfP1d2pGYFAsoKLYqNh8kVx-snw4mY4TkGiKQGoNC_nx4567C7qSOx69RXXD2wigGTSIGC_z5Rn0Q3b78-4uPpPdEpQjkYEXPhz99vou0UTesHSpDDAfVNDDCrfbV-_182ix3l4xJ0_rnMXR7ahmG6lAUshD6AnYe3Tn61M10J5uFSEIVndFpdl5sUDRkKlRF7vOhCzbtDZ1jhN5HEVAT5Kb5Q6OaQtWvyGN0kC5hTxQd4Opvpsg,Sam Aberman
6355,verified,rules-yes,unique name matches + same city,TISH,"196-198 Haverstock Hill, London NW3 2AG.",London,United Kingdom,GB,51.55072,-0.1648427,ChIJgarU3ZsbdkgRcGqHAF2_E3A,Tish,"196-198 Haverstock Hill, London NW3 2AG, UK",51.550756299999996,-0.16485139999999998,OPERATIONAL,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=8076008962967169648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 7431 3828,4.1,555,"Monday: 12:00 – 2:30 PM, 5:30 – 9:30 PM | Tuesday: 12:00 – 2:30 PM, 5:30 – 9:30 PM | Wednesday: 12:00 – 2:30 PM, 5:30 – 9:30 PM | Thursday: 12:00 – 2:30 PM, 5:30 – 9:30 PM | Friday: Closed | Saturday: Closed | Sunday: 12:00 – 2:45 PM, 5:30 – 9:30 PM",yes,places/ChIJgarU3ZsbdkgRcGqHAF2_E3A/photos/AaVGc3niKDWWWtwdeZf1yU-IKRBY0dirMozFL8ib4Ohjd3gi5pcUR3vd7Acr7xTQJqA556e85ArcP2ZPDBI8RJKMfTGJEaSojGIJZjvRdR8Nk5HMA1ykN-dexxiIlHNGIG2FgBKxTd-iusNeLO__ZAsD4SrtRlz7cbne2X_NSSr9zoAdC5LnaqzUq04DMqlp7du5-2bAyxoZe24DgzND-ukW75RoLoZk8ciCdFhz8nfO7ZGuVd7lgiS_ErDUEwZSzTpWyAWE5Z7a8j83aHdMvG-NVqrpTI_srur8yVbjikptXinqOswzWCObz3M3c4T_kYobJM_UyTQVOlGHMZYhfeLcww7amy6y77dXaaAxf4Sx79TsF6TruUYn2Z-TdElEYeJ9TymTqiL9vwhTdakoJZydv-ZjGa_xKmP_9s6NgaElO8O12eiC,Tish
6357,verified,llm-yes,"LLM אישר (0.95): שם ייחודי זהה (PUKUSH), כתובת וקואורדינטות זהות לחלוטין, שניהם מסעדות בלונדון. ה'חדש!' ב-A הוא רק ציון עדכון, לא חלק מהשם הרשמי.",חדש!  PUKUSH,"96 Golders Green Rd, London NW11 8HB. [map: https://maps.app.goo.gl/LqSvqV7ZmZh6ctb4A]",London,United Kingdom,GB,51.5074456,-0.1277653,ChIJ4ZL1oxERdkgRL7Vjb1gD5ns,PUKUSH,"96 Golders Green Rd, London NW11 8HB, UK",51.5734456,-0.1996527,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=8927826989669397807&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 8191 1088,4.8,105,Monday: 5:00 – 11:00 PM | Tuesday: 5:00 – 11:00 PM | Wednesday: 5:00 – 11:00 PM | Thursday: 5:00 – 11:00 PM | Friday: Closed | Saturday: Closed | Sunday: 5:00 – 11:00 PM,yes,places/ChIJ4ZL1oxERdkgRL7Vjb1gD5ns/photos/AaVGc3mfyE80bHFK93pSN6lAulvSEbC7egqrBrMum9fGbUkIYsc-sZM-zSZmPEzt8J1jGOf6ZYwg7rA1kBT3A0rr9Jc2oI2JieoPHGB0Sxe984h3KC2eez9ml1EeyU35j7t5tNKkre-VLUJoY8l4jLrGnnuW-br7Yqe6Ho8KLpwnIjzkpnDeH7qSJJlw58hyds2Mf5riBWY-YwfynwrgvAvRNgtbVTV-GLVs0qycEqJOcdE8oZO3LtciyMcmqt2n1lw74We1pMx9mQxkkPOztrzXjxxULTB12p5v1eohFomQX5fPPa6bCe1ukkY6s8JoO2WllRtr6es7KqyTmmNKoLVp4Rp3yAL-gpAPH9qtjg_ADeR-Ey43Ony8T5xdHbPotj33ppS99re58bhwkKlbkpUGUMsdes_rCdV8xLMcO8Po9skdN9U5IVEPBIWOfyH7cw,PUKUSH
