id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution,decision
7409,no_match,rules-no,weak name/address match,Darima Marrakech,11 rue de la liberté Marrakech,Marrakech,Morocco,MA,31.6356373,-8.0114897,ChIJf4ZCPY7urw0RK7no0y-RoQM,Dar Ima Restaurant,"11 Rue de la Liberté, Marrakech 40000, Morocco",31.634500100000004,-8.0130809,OPERATIONAL,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=261649887968934187&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,05 24 43 68 93,4.1,534,"Monday: 12:00 – 4:00 PM, 7:00 – 11:00 PM | Tuesday: 12:00 – 4:00 PM, 7:00 – 11:00 PM | Wednesday: 12:00 – 4:00 PM, 7:00 – 11:00 PM | Thursday: 12:00 – 4:00 PM, 7:00 – 11:30 PM | Friday: 11:00 AM – 3:00 PM | Saturday: 7:30 – 11:30 PM | Sunday: 12:30 – 11:00 PM",yes,places/ChIJf4ZCPY7urw0RK7no0y-RoQM/photos/AaVGc3mL1C63oDZMMN4WodPERS0JC0L07eBaIzX4pL6drAyjsR7GalG7gvNHPOrT4S8qu8GKhrrQChFEResKk0YRUfoh4Uf3oV8Ivkq9vdNA6iZZGt9Vzaj6Uxst4hx9GbosfzHPH_-AhA44exTYeP--R__n4SontMf8P_nrAeQaTK458RBIhzWJmOZPQlhUnaz-wLcRsOPhDsqcjGdttLlhMjQ5sfY_pEq_zKfj9S9wFbd3RAy3egqCU1qC67WEAhMmdhwKTwuQ6NcGIKFNpfGV52dCW7uu_4QAl8_ERxyIvIzPUJy5XrmiEoQ4vAVzG8DYjcr5kR7PS_adkeED7oI7win6Yj0hmUwyoGUeR4dvMPnnxHPEACV-26Q7YjxdaTseaeVzMA8jSFTvZErJLFZKEf0wc63pqA2EzjhWiTx1ikeFwfLj,Dar Ima restaurant cacher Marrakech (מיסעדה כשר מראקש דאר אמא),
7410,maybe,llm-uncertain,"LLM לא הכריע (0.82): Unique restaurant name 'La coupole' in Marrakech matches. Address mismatch (Rue Yougoslavie vs coordinates) but Google's operational status and coordinates likely more current. Same city, identical distinctive name, food business type confirm same establishment despite address discrepancy.",La coupole Marrakech,"Rue Yougoslavie, Rue Moulay Ali Marrakech",Marrakech,Morocco,MA,31.6258257,-7.9891608,ChIJST0hZGTvrw0RP12dgQLbbRo,Restaurant la coupole,"J2H9+QHW, Marrakesh 40000, Morocco",31.6294961,-7.981036700000001,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=1904419021258579263&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,4,5,,yes,places/ChIJST0hZGTvrw0RP12dgQLbbRo/photos/AaVGc3nryoxbiqnrHz6yfUmIEhISw_37r5C-bb1q8w7s72b4QsMioB8JAk2xX-dpJHyI7lSyYU67nhfZeZawASdO8ENkTB6eMODXDxy4D4nTPDWda8s48DJyzE8ndTYG8EP1kWLrGRTnwGJLXOuKWVqYVWKnSgJgtzZeVKVoAsErcxVj0JzQWE-jSz2g5RaA9KIyfyd_4dbld_fYxpKnWkqyCkUWqFjYZIDBcOXYOahuWkQp-QH9mw-p8XSLSMQ_Rotv1SGFMFfFjswB2VkXsdk6RKGtzuGRq-NzNPRuP5eWSoI4ZPX1zbfQ2GPZlFcD1jsRBvKVuQ991KWASVFybr47GJ2JCQrf7pTtVnH5JDMl-QZtphONVACn2pUqsAPXiJrzAbCoxMRm4FwJgRdPFW4nYYrYbQZPxNyQs9pQD6xxO8KfQb7W,kawra,
7411,verified,llm-yes,"LLM אישר (0.92): Unique name 'Schnitzel Factory' + kosher designation matches. Address on same street (Rue Loubnane) in Marrakech. Google provides more complete address (Residence Jaouhara, house number 20) and confirms operational status. City name spelling variant (Marrakech vs Marrakesh) is standard transliteration difference. Distance of ~15m suggests same location with address precision variation.",Schnitzel Factory,Rue Loubnane Marrakech,Marrakech,Morocco,MA,31.636243,-8.0103108,ChIJ_65-EeTvrw0RV-hl2ti3ZX4,Schnitzel factory kosher,"Residence Jaouhara, 20 Rue Loubnane, Marrakesh 40000, Morocco",31.636162099999996,-8.0101862,OPERATIONAL,restaurant,fast_food_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=9107887963431626839&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 62 62 97 91,4.7,83,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 4:00 PM | Saturday: Closed | Sunday: 10:00 AM – 10:00 PM,yes,places/ChIJ_65-EeTvrw0RV-hl2ti3ZX4/photos/AaVGc3mCc8M3akwE8TTWxEH46eDjY27wjjzLRb8JwwmQhoRTB6-gRcTCEEqdvdNmcKVnzJfGxYWna_kjrB62PRgBCM9bi3D3E4SPOXcvCNUS6uw1RdFShY-M9-g7nJgFO4ziWvbP7pirnUbchJcjz-XBLaI89BFQjw9afqL8G8QvyZFE8T6dL_RVv7l2UlfXBFHAvTEEyRwT7-MhY9-qySBvC21o-aaaZVR7Bgk1sZgfWZrJyl-HC49vB2uw3-n1snKyIDjP0wGIqy5PaAA6YX1vU8GmDB-NbGn8-wATbRw-mhL6a4kToUS6Ra2RPm5FY_7jTAww3VWjvRuKeXo5l6TjI2Vd_gIz6cNCG18z2HFRhpA3_bMrysSmD1zl7yfZfyYpU9aNsVXWma-4xVTQFrsvD41CO-m5gR7IdYeQ-1UnESt6W17zu5xITgwwTL6gbA,Schnitzel factory kosher,apply_google_shadow
7412,verified,llm-yes,"LLM אישר (0.95): Same unique restaurant name (Al Dente/Al denté), identical street address (4 Rue Yougoslavie), same city (Marrakech), same country. Address formatting variation is normal across systems. Google Places confirms operational kosher restaurant matching our database entry.",Al Dente,4 rue de Yougoslavie Marrakech,Marrakech,Morocco,MA,31.6258257,-7.9891608,ChIJGdK2omvvrw0RBxwwwkExtTk,Al denté restaurant casher marrakech,"4 Rue Yougoslavie, Marrakech 40000, Morocco",31.637500699999997,-8.0149907,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=4158283989447089159&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 63 16 37 70,4.4,162,"Monday: 12:00 – 4:00 PM, 7:00 – 11:00 PM | Tuesday: 12:00 – 4:00 PM, 7:00 – 11:00 PM | Wednesday: 12:00 – 4:00 PM, 7:00 – 11:00 PM | Thursday: 12:00 – 4:00 PM, 7:00 – 11:00 PM | Friday: 12:00 – 4:00 PM | Saturday: 9:30 PM – 12:00 AM | Sunday: 12:00 – 4:00 PM, 7:00 – 11:00 PM",yes,places/ChIJGdK2omvvrw0RBxwwwkExtTk/photos/AaVGc3ln1pvlshqJomioTO0TmCNhscsWBxliYtYTej3bRT29Y9ACJTsYSDXPQPVY-jHdzum3rp-0-tZSsH2XLGaMjLTroVbResTdpmFkFMNAnx4-VMG8nEMu59o1rwWpzf3vayDW6Vo5Ukh5zfQw-3ZuiLYNKZBoOFGcoiOBc62GnQB9bSwo11Z_T8QDbu7iYn6ttnR6RBEkco1V4t673erUa1nBZ3kGLFInEk4NriwuU4Ufu9O81bJpmeBdvqupwEAIPuGg9OK4BbAC6biK-fDdsochokt48VRFQGpHY_2TIAPx4y8cMJ3le9McNnJ9v_siFaDonXPLHdszwYO4rxt7WASKZePNyYYScbeDxaw0Wi1tcOwht6TrvQDaSQPqViE14nLRH6oIqClCSzdNFu-oQ0rpr8fndjVqnnSiO0HlPMOnDQwxMK3tn36hRJd50thA,R R,apply_google_shadow
7413,verified,rules-yes,unique name matches + same city,Bethsabee Marrakech,"Arsat Maach, 91 Avenue Hommane Fetouaki Marrakech",Marrakech,Morocco,MA,31.6258257,-7.9891608,ChIJo6LsLe7vrw0RsJgR1hjlZMM,BETHSABEE (Restaurant kosher),"Arsat Maach, 91 Avenue Hommane Fetouaki, Marrakech 40000, Morocco",31.6204152,-7.986444699999999,CLOSED_PERMANENTLY,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=14079630229900466352&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,07 02 08 76 78,4.4,29,,yes,places/ChIJo6LsLe7vrw0RsJgR1hjlZMM/photos/AaVGc3kdK46wpKgVb9O_AqWVYRBR51V6YNFSd0XFLWeH3aHBualzHp2PQNE1fhW2Brjd3Ey2yNW2rXlR1PIGzDfMjURFcJBhLR_ZxC8WyS25wfyqYK1kxDkFTsLDK839xVmGLNLyibA1Ar8gkCHoBPaY5y7sdjm4zs-AUG83aHT0zTzueJR0HE6ttairF2EcoFn7ZRxTKEIaUkchufcK1_KUdVHxCL7iwgw4PZ01ND6tGMxkpTGRx4HIdwK34--bWbg8rb3DYNBD-9vYV5smnLXMfNK4Pp_cNdGn8QaxSEyqDrwA1UAD9jDw67YcnZWrLJ4zlGwntVnmmGD2dAtr6_rC8unxQ5dOsQgFvW7s32CcGbbp_EmLqPcZBlyuUB4uirz2cEzMTQZs2vQ-OjTjZtK0ZpXqnsY1h27X2PsqiUNmuks9tg,BETHSABEE (Restaurant kosher),apply_google_shadow
7414,verified,llm-yes,"LLM אישר (0.92): שם זהה בדיוק (Chez Abehssera), רחוב יוגוסלביה זהה בשני הכתובות, עיר זהה (מרקש), וסוג המסעדה תואם (מסעדה ישראלית). ההבדל בכתובת מדויקת (2 vs 24/200m) עשוי להיות שגיאה בנתוני מסד הנתונים שלנו. גוגל סביר להיות מדויק יותר בקואורדינטות. כל האינדיקטורים מצביעים על אותו מקום פיזי.",Chez Abehssera,2 rue de Yougoslavie - Guéliz Marrakech,Marrakech,Morocco,MA,31.6258257,-7.9891608,ChIJYwLtq5Pvrw0RGNSaaO2IBkk,Restaurant Chez ABEHSSERA,"200m à, côté de l'hôtel Diwan, 24 Rue Yougoslavie, Marrakech 40000, Morocco",31.637537400000003,-8.015178299999999,OPERATIONAL,restaurant,israeli_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=5262043767872607256&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 79 17 11 98,4.3,163,Monday: 11:30 AM – 11:00 PM | Tuesday: 11:30 AM – 11:00 PM | Wednesday: 11:30 AM – 11:00 PM | Thursday: 11:30 AM – 11:00 PM | Friday: 11:30 AM – 5:30 PM | Saturday: Closed | Sunday: 11:30 AM – 11:00 PM,yes,places/ChIJYwLtq5Pvrw0RGNSaaO2IBkk/photos/AaVGc3n16PUIOsnUPi8gR4PThC8kSZYhyORfqFamEbbncB1EYZVX5O4IlOo3I07pTAUbTakNYvcfysU42JLaqPlfaCEK5_kwq2DEocP-0b-9C52x13VorL14CkFlO7PuKwKqigzesSFzQFlow2sV8_ceAI-DbK6Hs2jEEmQ9U24ehGyQeILwdFZkO9rDGUILP1BAucioW69IOKQ4nJ8REpLR-o0bFKvVEDVqxw4MBx0R57vrGgrBHLz4N-vyw7b1y7UqOdyYK0rzI9c4sfuDs3ygszE5KStOWoX5uaxj6s63Bbi5FcABfhEwJb3aZGhIXF61FyPeESTYKQj3FUveFepoC7svWS8t-I4xjEp5UREmYLgh69P1E5Jlzxn9urdA1vqZCROtN-FxObzhGJRPq5t5tKvv3luHGVJpjxhIG9Wy8In07XWF,Chez Abehssera Restaurant Casher Marrakech,apply_google_shadow
7415,verified,rules-yes,unique name matches + same city,Restaurant Terraz Pashutaim Marrakech,Marrakech,Marrakech,Morocco,MA,31.6258257,-7.9891608,ChIJsbyvFUHvrw0RTyw3GSEyveg,Le Terraz Pashutaim Kosher Restaurant Marrakech,"A l'intérieur de l'hôtel Jaal Riad Resort, Bd Mohamed VI, Marrakech 40000, Morocco",31.593190200000002,-7.991045700000001,CLOSED_PERMANENTLY,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=16770615705135950927&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 39 81 30 71,4.1,10,,yes,places/ChIJsbyvFUHvrw0RTyw3GSEyveg/photos/AaVGc3micqnef0xf1MIjaATNQXd5c7rBWhbS4yUSpIZL27g1HcTvtkGquzcmZ3-9gbgbhwuho0TPDEoK8rTgtKs0_YinlWPVTQJvah2EQajtcV9cUP8WwJEXXjMhhd0Bj-RjVVkneQzc3nEd0qwiqUnb0WTEtvkCSrrPWiyStcFmMLdd-Bm1MNrzngRqVlG9L7mCi7Iqtb1DIrTOVtLBXqZ-NpaiV4RNM5XDmB1JV5BR9VBy9lKMV51-Jn5yjOcadlaMsCKVPGNgOkkvI6kMsDBSxJX7HmphI80IWIuzqypylnIj0Kh4N6aVcQbKwHsnbnBqQcyCGFJ0wHE7AVs8nMesxjstjhAq1KmiP6ArhhJvjTmDGdt_xHYE2kMAn8ysOb0GBDS0v1vLClFUhSdtBTlyjoNxKtWSVxAClExPBoJpqxbpQV5J,Le Terraz Pashutaim Kosher Restaurant Marrakech,apply_google_shadow
7416,no_match,rules-no,weak name/address match,Simha Bakery Shop,"70 Liberty street, Guiliz Marrakech",Marrakech,Morocco,MA,31.6258257,-7.9891608,ChIJhV4N2ULurw0RWl6nr_wo3k0,Spice Shop,"8 Derb Ahmar، Marrakech 40000, Morocco",31.626373800000003,-7.9910299,OPERATIONAL,supermarket,supermarket;grocery_store;food_store;store;food;point_of_interest;establishment,https://maps.google.com/?cid=5610967251494067802&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,4.3,12,Monday: 7:00 AM – 11:45 PM | Tuesday: 7:00 AM – 11:45 PM | Wednesday: 7:00 AM – 11:45 PM | Thursday: 7:00 AM – 11:45 PM | Friday: 7:00 AM – 11:45 PM | Saturday: 7:00 AM – 11:45 PM | Sunday: 7:00 AM – 11:45 PM,yes,places/ChIJhV4N2ULurw0RWl6nr_wo3k0/photos/AaVGc3l4_hM_MdnUDP1UfFRrc3HRIVR58Zebp4FmqMWc85NzTb1Fhgdn4FuKnYC4NWQ6rcfDO--871axFSW30_iQJRyQOjFp5ahKu71tj4gsg51t1R06oadc-xYvBN1PTs0KZqfNQvZcKUtGM031Aq7n5Ip3zfXm-ore-wbgIDNokVf8sqWYTwp4beX-ozzMtK1hvoll21lqj6Aemvt6Ct4Ruk3nmHUmHqJSmOuiEL-cOIfiMZJQZmxRSW2Jv1MVjb3rqlPZ_8oBz6ST0_dDeRpjaLYn9o5Qt6YmE5EM9L8MJG2ihEmmbcM7V_Vl5wDS2FvBcW2JckiwjAXurHaTUBJpYv4SpNbSXuQLRWIcUQKKSgipe13E3DhlbVpcdRlScNfcbr15-ZirIG7uPXZIZVBEgzaOGRpEUgDSoQI2mlErl79veU5I,Toseehamza,
7417,verified,llm-yes,"LLM אישר (0.95): שם ייחודי זהה (Wasabi), כתובת רחוב זהה (Rue Yougoslavie 17), עיר זהה (Marrakech). ההבדלים קלים: שינויים באיות צרפתי (Yougoslavie vs Yugoslavia) וקוד בחום. סוגי המזון תואמים מסעדה יפנית/סושי.",Wasabi Marrakech,17 Rue de Yougoslavie Marrakech,Marrakech,Morocco,MA,31.6258257,-7.9891608,ChIJrWAmVJDvrw0RhwcVbyUcaxo,Wasabi,"17 Rue Yougoslavie, Marrakech 40000, Morocco",31.6377148,-8.0151786,OPERATIONAL,restaurant,sushi_restaurant;hot_pot_restaurant;japanese_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=1903646214597183367&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 96 87 04 59,4.4,257,"Monday: 12:00 – 4:00 PM, 7:30 – 11:00 PM | Tuesday: 12:00 – 4:00 PM, 7:30 – 11:00 PM | Wednesday: 12:00 – 4:00 PM, 7:30 – 11:00 PM | Thursday: 12:00 – 4:00 PM, 7:30 – 11:00 PM | Friday: 12:00 – 4:00 PM | Saturday: 8:00 PM – 12:00 AM | Sunday: 12:00 – 4:00 PM, 7:30 – 11:00 PM",yes,places/ChIJrWAmVJDvrw0RhwcVbyUcaxo/photos/AaVGc3mn-xuOTEDgAvXFAxXjuChgTC3eYPnKbOpq5yqduKNeCj0mgZhGaQhHu4GIlYux0xBz5Sfcx8Qj62H4kC3wwqw236s7iIvSslSBAH9tL1Wo3NITM5Q10qqyj41HL1lgxCwubpYscKo23o21Ljcd4uWHDxGZd2WVhxSzrEHy7CnRaNjFm2_GkJ7Mn2Fmy79Cn1C5mX9VGTS3K5KQXsEICF9mEjPExIAprwuOA5qSCqWqAtpsdOvVI7R7pRnOMIvH2Fc8OjiHmtoAxpSMo63KvolZgAdz74W1IUR_FVlCcOgS6h5oaEMKbvpjC9OlRjC_Z7lWHnY1qKynxMprnem2EvACZ1Tdp2lJW9D37XQgFCG7dFvlV_-deODbkWXLPTz6KECnN_uBtQsJnjryo-FFXQW5xNXNMQmcuvaMBh13R1I,Wasabi - Restaurant Cacher Marrakech,apply_google_shadow
8451,verified,rules-yes,unique name matches + same city,First Grill Marrakech,"Av. du Président Kennedy,  Marrakech 40000, , Morocco",Marrakech,Morocco,MA,31.6258257,-7.9891608,ChIJQ4fqFpDurw0Rv_6O-k0G-9E,First Marrakech Tours,"2éme étage, Appt N°16, 213 Av. Mohammed V, Marrakech 40000, Morocco",31.6339681,-8.0103435,OPERATIONAL,tour_agency,tour_agency;travel_agency;service;point_of_interest;establishment,https://maps.google.com/?cid=15130694305067237055&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 62 63 92 01,4.1,14,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Closed,yes,places/ChIJQ4fqFpDurw0Rv_6O-k0G-9E/photos/AaVGc3kGFxaPd7NQe0gorhV88KPlR2XqqTdox0yyVeeKeJpguCO8oX5aYXc8G16hIXJoLBxdZoiqqBlT90xe6tV9sZzBLeQntY6L_Hzwfezm8n7fTNnZ0YKfDEVUefoAqLq-NnXY6FTvSwXaZ34gHEYAkwX7BqzpL3UZKtdV43NW_1P-p5318b5v-gxTYiGOHKI7W7BfB042A5P4O6PrCT9HaurDpLkTp6z8Oa7LV-TkvE1WcPkFwKduYabrUm83xQktyIVuW-PuLFbC0h_kP_rSHi47dE7qQAZex0XApJtCxjPXxPlEZGeUX3MJZoUdn3y5klfo9KBXO3bHrUOboKHK9i38Dq2J-Kb8sgBOghaj35v600HpjiZL9eYXeepEmwJfYBxW5QF_5oSG-h2qSGh7YsewM5R-8xo_FkOs4cLZG0ol0Q,First Marrakech Tours,apply_google_shadow
