group,pool,id,old_name,old_address,new_google_name,new_google_address,new_place_id,reason
sure_right,red,3642,Fresh2go,"שד' עמק איילון 30, שוהם, Israel",Fresh2Goo,"Shoham, Israel",ChIJF5OWc2Q1HRURSvpqp13jkws,LLM אישר (0.92): Unique name 'Fresh2go'/'Fresh2Goo' (minor spelling variant) matches clearly. Both located in Shoham. Address in A is specific (Emek Ayalon St. 30); B has only city-level data but no conflicting address. High confidence these are the same business.
sure_right,red,5022,פאלאס,"אגרון 26, ירושלים, Israel",The Palace Restaurant - מסעדת הפאלאס,"Gershon Agron St 26-28, Jerusalem, 9419009, Israel",ChIJlbjWnu4pAxURxpK0pF-SxXQ,שם ייחודי תואם (sim 0.43) + עיר
sure_right,red,2300,אצה,"קריית שמונה, Israel",אצה סושי בר - קרית שמונה,"Qiryat Shemona, Israel",ChIJcfjDCKaiHhURFypRZR28RUY,שם ייחודי תואם (sim 1.00) + עיר
sure_right,red,3713,החומוס של טחינה,"אחד העם 33, תל אביב, Israel",החומוס של טחינה,"Ahad Ha'Am St 33, Tel Aviv-Yafo, Israel",ChIJyRssVTpLHRUR6mBmvGien5E,LLM אישר (0.99): Identical business name 'החומוס של טחינה' (Ha-Hummus shel Tahina). Address matches perfectly: 'אחד העם 33' (Ahad Ha'Am St 33) in Tel Aviv. B is the English/transliteration version of A's Hebrew address. Same physical location.
sure_right,a-wrong,5630,פיצה האט בילו סנטר,"קרית עקרון, Israel",Pizza Hut,"70500, הרצל, Kiryat Ekron, Israel",ChIJwabND3-3AhURmVGebe4dJqc,"LLM אישר (0.95): פיצה האט בילו סנטר translates to 'Pizza Hut Below Center'. Both refer to Pizza Hut in Kiryat Ekron (קרית עקרון). The Hebrew name includes a descriptor ('בילו סנטר' = 'below center'), likely indicating location within a shopping center. Same chain, same city, matching business type. Address postal code 70500 confirms Kiryat Ekron."
sure_right,a-wrong,6552,בריא לי זכרון יעקב,"המייסדים 51 א', זכרון יעקב",בריא לי בר,"Ha-Meyasdim St, Zikhron Ya'akov, Israel",ChIJQ4HpIQAJHRUREvvbut9etNM,"LLM אישר (0.95): Same unique name 'בריא לי' (Bria Li), same city Zikhron Ya'akov, same street Ha-Meyasdim (המייסדים). B's listing is shorter ('בר' = bar) but refers to same establishment. Address number matches (51a)."
sure_right,a-maybe,5281,ג'אסט מיט,"אגודת ספורט בית""ר 1, קניון ירושלים, Israel",ג'אסט מיט ירושלים - Just Meat,"Malha mall, floor 3, Jerusalem, Israel",ChIJibG-1Y3XAhURv1NkAwYWykc,LLM אישר (0.95): Same restaurant name 'ג'אסט מיט' (Just Meat) in Jerusalem. Both locations are in shopping malls in Jerusalem (Kanyon Jerusalem = Malha mall). The slight address variation (different floors/descriptions) is consistent with the same business being in the same mall. Name match is exact and unique.
sure_right,a-maybe,2644,הסושיה עכו,"דרך החרושת 2, עכו, Israel",הסושייה עזריאלי עכו,"HaHaroshet St 2, Acre, 2451705, Israel",ChIJsWvj2mbJHRURuZ0UET1CmEI,LLM אישר (0.95): Both refer to the same sushi restaurant in Acre. 'הסושיה' (A) and 'הסושייה' (B) are identical transliterations of 'The Sushi' with minor spelling variation. Address matches: 'דרך החרושת 2' = 'HaHaroshet St 2'. The addition of 'עזריאלי' in B likely refers to the shopping center (Azrieli) but refers to the same physical location.
sure_right,a-maybe,600,ריקוטה,"ירושלים, Israel",Ricotta Restaurant,"Kiryat HaMada St 3, Jerusalem, Israel",ChIJNz-fkx7WAhURtx1VcITpkdg,"LLM אישר (0.95): ריקוטה (Ricotta) is a direct Hebrew-English transliteration match. Both are in Jerusalem. The unique name type and city match strongly support this is the same restaurant, despite address details being incomplete in A."
sure_right,a-maybe,5425,בא לי פיצה,"יצחק רבין 4, בני עי""ש, Israel",בא לי פיצה,"Yitskhak Rabin St 1, Bnei Ayish, Israel",ChIJ6dNI3Q28AhURQ_TXjcdQbyw,שם ייחודי תואם (sim 1.00) + עיר
sure_right,a-maybe,596,קפה דניה בית הכרם,"ירושלים, Israel",Denya cafe,"Shderot Herzl 102, Jerusalem, Israel",ChIJu3EUDLTXAhURsEFHTrGAs8g,"LLM אישר (0.92): קפה דניה (Denya cafe) is a clear Hebrew-to-English transliteration match. 'בית הכרם' (Beit HaKarem) is a neighborhood in Jerusalem. Shderot Herzl 102 is located in the Beit HaKarem neighborhood, confirming the geographic alignment. The unique name and consistent city location indicate this is the same establishment."
sure_right,a-maybe,4324,שניצליין,"הסיבים 25, פתח תקווה, Israel",שניצליגה,"מרכז חצי חינם, ראשון לציון 1, פתח תקווה, Israel",ChIJc4ZqLDY3HRURkJxlUZiEByA,שם ייחודי תואם (sim 0.75) + עיר
sure_right,a-maybe,1415,שניצל יוסף,"בעלי מלאכה 11, נמל אשדוד, Israel",Schnitzel Yosef,"Ashdod, Israel",ChIJT6Vs6eejAhURcVjp8DaSJ0A,"LLM אישר (0.92): שניצל יוסף (Schnitzel Yosef) is a clear Hebrew-to-English translation match. Both reference the same unique restaurant name. A's specific street address (בעלי מלאכה 11, נמל אשדود) is in Ashdod port area, consistent with B's Ashdod location. Unique name + matching city + food business = same establishment."
sure_right,no-cand,5754,PAU HANA פו האנה רעננה,"זרחין אלכסנדר 3, אזור תעשייה רעננה, Israel",Pau Hana פו האנה,"Zarhin St 3, Ra'anana, Israel",ChIJh_3NgK85HRUREJ6u2ZHM4z0,LLM אישר (0.95): Identical business name (Pau Hana פו האנה) with matching address in Ra'anana. 'Zarhin St 3' matches 'זרחין אלכסנדר 3' (Alexander Zarhin Street). Minor variations in address formatting and transliteration are typical between systems. Same physical location.
sure_right,no-cand,5166,בית פרטי,"דרך בית לחם 31, המושבה הגרמנית, ירושלים, Israel",מומנטו - חלל פרטי בממילא,"Mamilla Rd 13, Jerusalem, 9410613, Israel",ChIJn4MUuEApAxURr4ZOJEpc4Jo,שם ייחודי תואם (sim 1.00) + עיר
