query,expectedCategory,gotCategory,expectedDenom,gotDenom,expectedDest,gotDest,resultCount,error,status,note
מסעדה יפני,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בתי כנסת ליד באר שבע,synagogue,synagogue,,,באר שבע,Be'er Sheva,,,✅ OK?,לא נספר
קפריסין,destination,,,,קפריסין,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בתי כנתס תימני,synagogue,synagogue,teimanim,teimanim,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה מקסיקני,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה מקסיקני עם ילדים,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
הודו,destination,,,,הודו,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה ים תיכוני מומלץ בספרד,restaurant,restaurant,,,ספרד,Spain,,,✅ OK?,לא נספר
מסדעה צמחוני בונציה,restaurant,restaurant,,,ונציה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
להתארח בשבת באזור,hosting,hosting,,,,Tel Aviv,,,✅ OK,hosting
מניין שחרית ברעננה,minyan,minyan,,,רעננה,Ra'anana,,,✅ OK,minyan
סעוה שלישית ליד הבית,hosting,synagogue,,,ברצלונה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנסת חב״ד בנתניה,synagogue,synagogue,chabad,chabad,נתניה,Netanya,,,✅ OK?,לא נספר
ארוחת שבת בחולון,hosting,hosting,,,,Holon,,,✅ OK,hosting
מניין מנחה במרקש,minyan,minyan,,,מרקש,Marrakech,,,✅ OK,minyan
בית כנסת בהוד השרון,synagogue,synagogue,,,הוד השרון,Hod HaSharon,,,✅ OK?,לא נספר
מסעדה בשרי רבנות בבואנוס איירס,restaurant,restaurant,,,בואנוס איירס,Buenos Aires,,,✅ OK?,לא נספר
בית כנסת בלאדי,synagogue,synagogue,teimanim,teimanim,,Tel Aviv,,,✅ OK?,לא נספר
לזניה באתונה,restaurant,restaurant,,,אתונה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
להתארח בשבת בקרית שמונה,hosting,hosting,,,קרית שמונה,Kiryat Shmona,,,✅ OK,hosting
