name,city,country,address,phone,website,openingHours,kashrut,restaurantType,category,priceRange,notes,sourceUrl,scrapedAt
"מסעדות כשרות ברובע השמיני - מרכז פריז (שער הניצחון, שאנז אליזה)","Paris","France","225 Rue du Faubourg Saint-Honoré.","+33 1 45 722525","","ראשון: 9:00-17:00, שני-חמישי 8:00-17:30, שישי 8:00-16:00","מהדרין הרב כץ.","unknown","","€€","Le XXV – בית קפה כשר וקונדיטוריה ברמה גבוהה במרכז פריז. מציע מגוון מאפים צרפתיים כמו אקלרים ומקרונים, פיצות ואפילו סושי.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.562Z"
"שער הנצחון בפריז","Paris","France","26 Rue Jean Mermoz.","+33 1 42 890200","https://www.kavod.fr/","ראשון 19:30–22:15, שני-חמישי 12:15–14:15, 19:30–22:15","בית דין פריז.","unknown","","€€€","אחד הנופים היפים ביותר בפריז, נשקף משער הניצחון, אותו בנה נפוליאון (ולא זכה לראותו) בהשראת שערי הניצחון הגדולים של רומא העתיקה.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.563Z"
"בית האופרה גרנייה - כרטיס כניסה","Paris","France","","","https://www.tiqets.com/en/paris-attractions-c66746/tickets-for-opera-garnier-self-guided-tour-p974598/?partner=metaylimbkipa","","","unknown","","","מבנה ארמון האופרה יפהפה, ומומלץ בחום לכל מי שמגיע לפריז לבקר שם (נמצא ממש מעבר לכביש מול גאלרי לאפייט). התקרות הגבוהות והמרשימות עם הציורים ועיטורי הזהב, הנברשות, רצפת השייש, באמת קשה להכיל את כל היופי והפאר בארמון.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.563Z"
"מסעדות כשרות ברובע ה- 16 (גני טרוקדרו, יער בולון)","Paris","France","31 Av. Raymond Poincaré, Paris. [map: https://maps.app.goo.gl/fbhnwjvQzt8uDt3n7]","+33 9 67 013721","https://www.restaurant-unagi.fr/","ראשון-חמישי 7:30-19:30, שישי 7:30-15:00","בית דין פריז.","unknown","","€€","The Reserve – בית קפה וקונדיטוריה חלבי גורמה. מציע מגוון קינוחים מושחתים ומעולים, כריכים, גבינות ועוד. לרשת סניף נוסף ליד יער בולון.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.564Z"
"מסעדות כשרות ברובע השישי בפריז (גני לוקסמבורג)","Paris","France","66 Rue de Vaugirard.","+33 9 88 464554","https://metaylimbkipa.flymoney.com/","ראשון-חמישי 10:00-22:00, שישי 10:00-14:30.","בית דין פריז","unknown","","","מרסו Marceau Café – בית קפה מעולה ברובע השישי בפריז, אזור שאין בו כמעט אוכל כשר. תפריט עשיר עם מנות טעימות וטריות הכולל טוסטים, סלטים, פסטות ועוד. מתאים במיוחד לארוחת בוקר.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.564Z"
"מסעדות כשרות ברובע התשיעי (גאלרי לאפייט, האופרה, בית הכנסת הגדול)","Paris","France","17 Rue La Fayette, Paris.","+33 1 48 746031","https://www.byellaparis.com/","ראשון 12:00-16:00  18:30-23:00, שני-חמישי 12:00-15:00  18:30-23:00, שישי 12:00-15:00, מוצ""ש 19:30-23:30.","בית דין פריז","unknown","","","Il Palazzo – מסעדה חלבית איטלקית ברובע התשיעי. מציעה מגוון סוגי פסטות, פיצות, סלטים, טוסטים ועוד.מספקת גם שירות משלוחים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.564Z"
"מסעדות כשרות ברובע ה- 11 בפריז (אזור הבסטיליה)","Paris","France","231 Bd Voltaire, 75011 Paris, France","+33143560330","https://www.123cacher.fr/restaurant/le-manhattan/carte.htm?utm_source=Google_Business","שלישי-שישי 9:00-17:00","בית דין פריז","unknown","","","Manhattan – מסעדה מזרחית בשרית. מציעה מגוון גדול של מנות קלאסיות ומסורתיות כמו קוסקוס, פקיילה ועוד. ניתן לקנות במקום מארזים מוכנים לשבת הכוללים גם חלות ויין לקידוש.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.564Z"
"מסעדות כשרות ברובע ה- 17 בפריז","Paris","France","675 Av. Niel, 75017 Paris. [map: https://maps.app.goo.gl/AKkyzKswcERv6ut38]","+33 178 901357","https://www.restaurantvicky.com/","ראשון-חמישי 10:00-17:00 19:30-22:30, שישי 10:00-15:00.","בית דין פריז","unknown","","","מרסו Marceau Café – בית קפה מעולה. תפריט עשיר עם מנות טעימות וטריות הכולל טוסטים, סלטים, פסטות ועוד. מתאים במיוחד לארוחת בוקר.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.565Z"
"מסעדות כשרות ברובע ה- 12 בפריז","Paris","France","158 Av. Daumesnil.","+33 1 43 471868T +33 1 84 83 11 33","https://www.restaurantlastella.com/","ראשון-חמישי ‏‏‏12:30-14:45 ‏‏19:30-23:00, מוצ""ש 19:30-23:30‏‏‏.","בית דין פריז, כל מוצרי החלב בהשגחת הרב זגבך – חלב ישראל.","dairy","","","La Stella – מסעדה חלבית איטלקית איכותית ברובע ה- 12. מגישה אנטיפסטי, פיצות, פסטה, סלטים – הכל תוצרת בית. מומלץ להזמין מקום.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.565Z"
"מסעדות כשרות ברובע ה- 19 בפריז","Paris","France","161 Rue Manin.","+33 1 42 450045","https://www.bozen.fr/","ראשון-חמישי ‏‏‏11:00-01:00, שישי 11:00-15:00, מוצ""ש 19:00-02:00‏‏‏.","מהדרין הרב כץ.","unknown","","€€","בוזן Bozen –  רשת מסעדות סושי מעולה עם כמה סניפים ברחבי פריז.מציעים שירות טייק-אווי ומשלוחים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.565Z"
"מסעדות כשרות באזור לבלואה-פרה Levallois-Perret","Paris","France","25 Av. de l'Europe, 92300 Levallois-Perret.","+33 1 47 580073","https://www.restaurantlebazar.com/","ראשון-חמישי ‏‏‏12:00-14:30 19:30-23:00‏‏‏.","בית דין פריז.","unknown","","","לוולואה הוא מעין פרבר של פריז, באזור איל-דה-פרנס בצפון-מערב פריז, בו מתגוררים יהודים רבים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.566Z"
"מסעדות כשרות באזור בולון-בילנקורט Boulogne-Billancourt","Paris","France","100 Av. Jean Baptiste Clement, 92100 Boulogne-Billancourt","+33 1 48 252844","https://www.etnikahn.com/","ראשון-חמישי ‏‏‏12:00-14:30 19:30-22:30, שישי ‏‏‏12:00-14:30, מוצ""ש 19:30-22:30.","בית דין פריז.","unknown","","","EtniKahn – מסעדה יוקרתית ומיוחדת עם מנות שף מרחבי העולם.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.566Z"
"המסעדות הכשרות הטובות ביותר בפריז","Paris","France","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/#hotels-9th","","","unknown","","","אז לסיכום, מהי המסעדה הכשרה הטובה ביותר בפריז?","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.566Z"
"מלונות כשרים ברובע התשיעי בפריז","Paris","France","","","https://www.booking.com/hotel/fr/aida-opera.he.html?aid=1221689&label=kosher-rest","","","unknown","","","מציע ארוחת בוקר עם מוצרים כשרים. קרוב לבית כנסת הגדול. אופציה למפתח שבת.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.566Z"
"מלונות מומלצים (לא כשרים) ברובע התשיעי בפריז","Paris","France","","","https://www.booking.com/hotel/fr/touraine-opera.he.html?aid=1221689&label=kosher-rest","","בסביבה יש שפע חנויות ומסעדות כשרות, המלון ממוקם במרחק כחמש דקות הליכה מבית הכנסת Buffault.","unknown","","","מלון טורן אופרה Hotel Touraine Opera – מלון 4 כוכבים מעולה ברובע התשיעי בפריז, 5 דקות הליכה מגאלרי לאפייט וליד תחנת מטרו.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.566Z"
"מלונות מומלצים באזור המארה - הרובע היהודי בפריז","Paris","France","","","https://www.booking.com/hotel/fr/grand-amelot-paris4.he.html?aid=1221689&label=kosher-rest","","","unknown","","","חדרים קטנים אבל נעימים וממוזגים עם כספת.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.567Z"
"מלונות מומלצים באזור השאנז אליזה, שער הניצחון ומגדל אייפל","Paris","France","","","https://www.booking.com/hotel/fr/belfast.he.html?aid=1221689&label=kosher-rest","","","unknown","","","מלון בלפסט Belfast – מלון טוב בלב פריז צמוד לשער הנצחון ולשאנז-אליזה, ובמרחק פחות מעשר דקות הליכה מבית חב""ד. המלון מתאים למשפחות. חלק מצוות המלון דובר עברית.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.567Z"
"דירות מומלצות ברובע ה- 17 בפריז","Paris","France","","","https://www.booking.com/hotel/fr/residence-palais-etoile.he.html?aid=1221689&label=kosher-rest","","","unknown","","","Résidence Palais Étoile – מלון דירות ברובע ה- 17 בפריז, אזור מרכזי ומאוכלס ביהודים רבים. נמצא במיקום מעולה, צמוד לתחנת מטרו ובמרחק כרבע שעה הליכה משער הניצחון.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.567Z"
"שאלות נפוצות לגבי מסעדות כשרות בפריז","Paris","France","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/#8th","","","unknown","","","אבל המסעדות הבאות נחשבות טובות במיוחד: בקטגוריה החלבית – מסעדת רוזטה, מרסו קפה, ובאגף הבשרי – מסעדת בשר, מסעדת כבוד, NOOBA, UNAGI","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.567Z"
"חופשה זוגית בפריז","Paris","France","","","https://easykoshertravel.com/kosher-restaurants-in-paris/","","","unknown","","","Kosher restaurants in Paris – kosher food by arrondissements in English, you can find on Easy Kosher Travel website.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.567Z"
"8 תגובות","Paris","France","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/#comment-39257","","","unknown","","","מאוד , מאוד מעניין יפה מאוד","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-paris/","2026-05-27T13:04:03.569Z"
