id,name,dest,country,address,kosher_certified,source_quality,confidence,certifying_body,evidence,source_url,friReason,satReason
4845,בר יין,Jerusalem,Israel,"עזה 82, ירושלים, Israel",unclear,directory,0.25,,"מקורות חילופיים: ZAP Rest מציין כשר, אך דפי זהב מציינים 'לא כשר'. כמו כן, יש אי-התאמה בכתובת (עזה 82 לעומת עזה 28). אין אישור רשמי מגופי כשרות מוכרים.",https://www.rest.co.il/rest/80246858/ (ZAP Rest); https://www.d.co.il/80246858/4250/ (Yellow Pages),פתוח עד 1:30 AM בערב שישי (אחרי 21:00),פתוח 8:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
5060,שערי שמחה,Jerusalem,Israel,"שכונת גאולה, ירושלים, Israel",unclear,directory,0.3,,מסעדה רשומה בתיקייה שלישית (ZAP Rest) אך אין אימות רשמי מגוף הכשרות מוסמך כמו רבנות ירושלים או גוף הכשרות מוכר אחר,https://www.rest.co.il/restaurants/jerusalem/geula/,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),פתוח 7:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
5072,קפה עלית-אספרסו בר,Jerusalem,Israel,"הר הצופים 1, ירושלים, Israel",unclear,directory,0.55,,"רשומה בספריות מסעדות ישראליות (rest.co.il, דפי זהב) כ'כשר', אך לא נמצאה אישור רשמי מרבנות ירושלים או גורם כשרות מוכר אחר. מקור: directory בלבד, לא official.",https://www.rest.co.il/rest/80244170/,,פתוח 7:00 AM–9:00 PM בשבת (חופף ל-08:00–16:00)
5081,מסעדת טרסה,Jerusalem,Israel,"נכון 6, ירושלים, Israel",yes,directory,0.75,רבנות ירושלים (Jerusalem Rabbinate),מסעדת טרסה במקום בירושלים מתואר בכל מקורות כ'כשר' ו'כשר למהדרין' עם הערות רבנות. אך לא נמצאה תעודה רשמית עדכנית.,https://easy.co.il/en/page/1717642,,פתוח 8:00 AM–1:00 PM בשבת (חופף ל-08:00–16:00)
5282,אימפריאל רד,Jerusalem,Israel,"קריית ענבים, Israel",unclear,directory,0.5,Rabbanut Mateh Yehuda (hotel level),"מקומות אכילה בדירוג אינטרנט מציינים כשר, אך אין אישור רשמי עדכני שנמצא לתיאטרון זה ספציפית. האישור הידוע הוא על המלון בכללו מ-2015",https://www.rest.co.il/rest/80248004/,פתוח עד 12:00 AM בערב שישי (אחרי 21:00),
5324,גריל B,Jerusalem,Israel,"המגיד ממעזריטש 70, ביתר עילית, Israel",yes,directory,0.75,בד״ץ העדה החרדית (Badatz Edah HaChareidit),"מופיע בכושרות עם כתובת המדויקת המגיד ממעזריטש 70, ביתר עילית תחת פיקוח בד״ץ העדה החרדית. מצוין גם בכמה מקורות תיקייה כשר בד״ץ עדה חרדית. מקורות המידע הם רובם ספריות משלח יד ודירוג, לא מעודכנים תמיד.",https://www.kosharot.co.il/index2.php?id=428986&lang=HEB,,פתוח 24 שעות בשבת
6544,באב אל ימן,Jerusalem,Israel,"דרך עזה 29, ירושלים",no,official,0.95,,הרבנות הראשית דחתה את בקשתו של המקום לקבל תעודת כשרות. המקום פועל בשמירת הלכות כשרות אך ללא תעודה רשמית מן הרבנות.,https://www.ynet.co.il/food/foodnews/article/S1aXJcVa8,,פתוח 10:00 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
6580,Mula Botani,Jerusalem,Israel,"הגן הבוטני האוניברסיטאי, גבעת רם, ירושלים",yes,official,0.95,Rabanut Jerusalem,האתר הרשמי של המסעדה וחשבון האינסטגרם שלה מציינים: כשר-חלבי (רבנות ירושלים),https://mula-botani.co.il/,,פתוח 9:00 AM–6:00 PM בשבת (חופף ל-08:00–16:00)
2210,DINER BURGER דיינר בורגר,Karmiel,Israel,"שד' קק""ל 98, כרמיאל, Israel",yes,directory,0.75,Karmiel Rabbinate (הרבנות כרמיאל),"מסעדת בשרים כשר בהשגחת הרבנות כרמיאל בכתובת המדוייקת שד' קק""ל 98, כרמיאל - מופיעה בכמה ספרי הדירוג המאומתים",https://www.rest.co.il/kosher-restaurants/karmiel/kosher/,פתוח עד 11:30 PM בערב שישי (אחרי 21:00),פתוח 10:30 AM–11:30 PM בשבת (חופף ל-08:00–16:00)
2545,שניצל 20 טעמים,Karmiel,Israel,"מעלה כמון 5, כרמיאל, Israel",unclear,directory,0.5,likely Karmiel Rabbinate (קרן הדתית כרמיאל) - unconfirmed,מופיע בתיקיות מסעדות כשרות (Rest.co.il) אך אין תעודה רשמית זמינה בחיפוש. הרבנות כרמיאל מדגישה לאמת תעודה עדכנית ישירות איתם.,https://www.mdkarmiel.org/%D7%9B%D7%A9%D7%A8%D7%95%D7%AA,פתוח עד 11:30 PM בערב שישי (אחרי 21:00),
