id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution
7972,verified,llm-yes,"LLM אישר (0.95): Same unique name 'Michaeli Bakery', identical address (401 E 90th St), same city New York, same kosher bakery type. Address format variations (East vs E, spacing, zip format) are standard Google normalization. Distance metric error likely due to geocoding precision differences, not actual location mismatch.",Michaeli Bakery Upper East Side,"401 East 90th St, New York, NY, 10128, United States",New York,United States,US,40.7127281,-74.0060152,ChIJxeuA8qJZwokRnR2Q5wTO-C4,Michaeli Bakery,"401 E 90th St, New York, NY 10128, USA",40.7794051,-73.9471464,OPERATIONAL,bakery,bakery;food_store;store;food;point_of_interest;establishment,https://maps.google.com/?cid=3384681640429100445&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(646) 454-1466,4.8,243,Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 5:00 PM | Saturday: Closed | Sunday: 7:00 AM – 6:00 PM,yes,places/ChIJxeuA8qJZwokRnR2Q5wTO-C4/photos/AaVGc3lkHgF9HS13-QUpQZ7Hbj-Ck985BGi2pJL9Humqlc-tdsmM_3lDFZU8OpORw2kDzpwXG9E4nfJsXa_DNjlUwT-0Ckb0b0i15wN-Wg6rfGUnVQqjafwsMMulEukvPo-s4PPYAgrNHs-qpGJE6AqigezVxH4DpDoroqeBMOe1CoxbyUsBt5dtTFv-PIEEb7BzXXl-JGYTCfmr0dU8535wktPXEAjCqOxSyDRfAasPtQ0TU7YyBoqUs4FVB5bciPs7cJlIPQkToXp7N2F5_LIUcZpVsxIfRMM6VFlmY13lzOZLzZ07m_ad0i-mN5L1xqTRaPnZrOcGerdfGO42-IFZ7JbvNDo4kwU6rDNNwfOZhTnjf-Cf2Do8N0ScJEkZvN-k5KhXJXKSKj3u4eOnOdrwwKR1wPX7Zg2knHgGrhr-R7T50w,Ido Simyoni
7973,verified,llm-yes,"LLM אישר (0.98): שם ייחודי זהה, כתובת משפחה וביתן בדיוק (127 E 54th St), עיר זהה (New York), סוג עסק תואם (bistro/restaurant). ההבדלים קטנים: East vs E (סטנדרטי), וניסוח כתובת שונה קלות.",Mike's Bistro,"127 East 54th St New York, NY, 10022, United States",New York,United States,US,40.7127281,-74.0060152,ChIJfYqvteRYwokR1I0wCpXMG8Y,Mike's Bistro,"127 E 54th St, New York, NY 10022, USA",40.7594553,-73.9710257,OPERATIONAL,bistro,bistro;american_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=14275228384374066644&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(212) 799-3911,4.7,1098,Monday: 5:30 – 10:30 PM | Tuesday: 5:30 – 10:30 PM | Wednesday: 5:30 – 10:30 PM | Thursday: 5:30 – 10:30 PM | Friday: Closed | Saturday: Closed | Sunday: 5:30 – 10:30 PM,yes,places/ChIJfYqvteRYwokR1I0wCpXMG8Y/photos/AaVGc3maH-gQMG6Xusp-xQ0Gh8uTCixwp3kuPma8jmNj9QdbMbz9haQ2cRe1mtXwAZF9Thf7ZEwQhtGwn0cd2Onbw1-UTHzFZU97GVIMceTtjT85QmGkwy06vUCt2YHDYpnxEuQ86C36JUNX2vmnZq2HMaMY5MnoRY7hUqlL1z8M_DGUuKr5gD4Ny_2E9qyLBZIwjCSt_fEz-EO_01NEQa7wuOu-KPd5OGrxCoWuZeqt2n7ZiaBIVncURFakGZ4_LcGkB6m3W5IO46VvUu1fpOJ2qe9iWDMmqk0A9HvawdA6zwjbZ9g_0vqcp9JfcG9UBAxqAKCha8FiWm6t-LDTFJua9ng5iBW758ACRPyqTwAbs5d135kc6ci-DBSHkoF2UfxjVwkwXzRO2DrViwwENQTRTkpRwtAthI2U37QxghF0-KWf78soOldt_bOE8-3djMsM,Yossi K
7974,verified,rules-yes,unique name matches + same city,Mikihana Sushi,"101-10 Queens Blvd, Queens, NY, 11375, USA",New York,United States,US,40.7127281,-74.0060152,ChIJv2dTXCVewokRR3_aTNdS_kI,Mikihana Sushi & Poke,"101-10 Queens Blvd, Forest Hills, NY 11375, USA",40.7261204,-73.8525207,OPERATIONAL,sushi_restaurant,sushi_restaurant;fusion_restaurant;family_restaurant;meal_delivery;meal_takeaway;food_delivery;japanese_restaurant;restaurant;food;point_of_interest;service;establishment,https://maps.google.com/?cid=4827386935248584519&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(718) 406-9676,4.6,633,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 11:00 AM – 7:00 PM | Saturday: Closed | Sunday: 12:00 – 11:00 PM,yes,places/ChIJv2dTXCVewokRR3_aTNdS_kI/photos/AaVGc3nBb6MSJftogGAsurRSltnDNhkkHKzBeQ-jsk-i3AjbLLrGOtckpm_y20KB62n2vNqToPSeju3CjIUkah3uCX74VwTA8ldqDaUdQzvnHO-0UMK69RXPv1yuC4GQQKLU83CpnLoSQalqiSDYQyspYtCCB4IanUlXA7vEWCBZgpbdlTNexv_N_udGUcRdYWhcXfHe9Ik8c3i6iJO5KSQm-W5VesH1OuISOYenjBuRInV-YHXA8-1yZzZk3tnYvmPSZ1bor6LkK66yq7FE5JX_JLVWxtAFktKHNEbxyHsQCVGhNEs2mLIr1do8chVNs9eR9-Sk2q3tPf2I_syfp2_0nTNdI20j4OCYzmUXwzGvrcdsXTAxVgMzfGl-hy6saODF3RUoDM4xUAhrr_jKuAXK5BKPkpej_19htsuxx0TlSgcZPg,Matey Checko
7975,verified,llm-yes,"LLM אישר (0.95): Identical name (Milk Crate Coffee), exact house number match (1278), exact street match (49th St), same neighborhood (Brooklyn, NY 11219). Minor address formatting differences (comma placement) are insignificant. Google Places shows operational status and food/cafe business type matching. Distance metric anomaly (8704m) appears to be data artifact. High confidence this is the same physical location.",Milk Crate Coffee,"1278 49th St, Brooklyn, NY, 11219, United States",New York,United States,US,40.7127281,-74.0060152,ChIJKddTiWpFwokRxCFvzjpdO9U,Milk Crate Coffee,"1278 49th St, Brooklyn, NY 11219, USA",40.6351188,-73.9925049,OPERATIONAL,coffee_shop,coffee_shop;vegetarian_restaurant;cafe;bakery;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=15364977060857455044&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(914) 485-7135,4.7,342,Monday: 6:00 AM – 7:00 PM | Tuesday: 6:00 AM – 7:00 PM | Wednesday: 6:00 AM – 7:00 PM | Thursday: 6:00 AM – 7:00 PM | Friday: 6:00 AM – 2:30 PM | Saturday: Closed | Sunday: Closed,yes,places/ChIJKddTiWpFwokRxCFvzjpdO9U/photos/AaVGc3lFjbp3SV-4Jz6nlq5txvNSVZ_vNzRtLG2nMj30lIW47D9WtrIcnRp6fWWWhDvz3_u66L0CWDuKuLwdDoG8S_9TGhm-lqoqXSg1_F1SzrpFqcIgpAoEn6Kd1YRuPuE0YJV7kVlgFfSzO-fuqMjF4jkPaHYiAr3eblUdajP_2qMQfZkCO-2AUQYvQaTpyOZ8F6OHwGcmbroAbudpcdK0SqNiR4Tih6zpCV-9D5vRwNPXR8nWlZ-musjz3-QX1j3qwJG18uXEFbrKm1PQspETmjhe1APP8XEApvLLRJSr-M3J8JiQrBciitpZXeOAxpf2FDJGax2QF2uLmhTEhyjT9l4NBZIjfnXppXVn11eWwR9dCmLkj9PTEX47vEQ0FIDTkLBKcHitdVR6-YlXk6hD86f8MwWiO0KBGnY7NhNMrB5kfetj,Milk Crate Coffee
7976,verified,llm-yes,"LLM אישר (0.95): זהה שם ייחודי (Milk N Honey), כתובת מדויקת זהה (5013 10th Ave, Brooklyn, NY 11219), עיר זהה (Brooklyn), סוגים עסקיים תואמים (pizza_restaurant, food). ההבדל בעיצוב הכתובת (10th Ave vs 10th Ave,) הוא טריוויאלי. זה אותו המקום הכשר.",Milk N Honey,"5013 10th Ave Brooklyn, NY, 11219, United States",New York,United States,US,40.7127281,-74.0060152,ChIJAQf5RTNFwokRfzpykx0fCgk,Milk N Honey,"5013 10th Ave, Brooklyn, NY 11219, USA",40.6380312,-73.9994281,OPERATIONAL,restaurant,pizza_delivery;catering_service;pizza_restaurant;meal_delivery;food_delivery;meal_takeaway;food_store;store;service;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=651367307996707455&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(718) 871-4319,4.5,350,Monday: 9:00 AM – 7:00 PM | Tuesday: 9:00 AM – 7:00 PM | Wednesday: 9:00 AM – 7:00 PM | Thursday: 9:00 AM – 7:00 PM | Friday: 9:00 AM – 1:00 PM | Saturday: 8:30 PM – 12:00 AM | Sunday: 10:00 AM – 7:00 PM,yes,places/ChIJAQf5RTNFwokRfzpykx0fCgk/photos/AaVGc3kw9XepdFnZhmovoD-z-QJMYgsoL0gSoMW0TnwfBWvv-tQyU1KtXn7Qb7ys_l02keoZV53U5YzSsMdUXpORtPxTlgWihhtvPSRq4qNakxHIMYOp8N7I5jrL7eBBuAnpDbaskA0239-CMYCRj6vjpDlPbbnoaNQzON53RHoT1djBUUTjrsvVh65beK4zczwZsq_DxErIkFdBmWNyCiRCTOXZiqH6v3xiiKnxNdieDn87tbN037Csq_P_K8umCwsjtSbIm7SL4-8bC3uzKNep2gbclEiKaq-TAoHSfhirSejJHl34Ywl0X5d4spuZGeqcefZY065gv1Q_VG4YrxBv8boEcRx9R-J4GA2vg5VjNITD6H04ZuyhTAbJBTloL6vSXYrVf7L0OeoSRXnkzPp866tySTsoqUmTHegoXi5YvjF0tE0,Samuel Goldstein
7977,no_match,llm-no,"LLM דחה (0.85): Same street and house number (12 E 46th St), but ZIP codes differ significantly (10036 vs 10017). These are different Manhattan neighborhoods - 10036 is Midtown West (Times Square area), 10017 is Financial District/Lower Manhattan. ~5.3km apart. Also, B is Japanese/sushi while A is described as kosher dairy. Different concepts despite name match.",Milk N' Honey NYC,"12 E 46th Street New York, NY , 10036, United States",New York,United States,US,40.7127281,-74.0060152,ChIJf1MYtv9YwokRWpMQlbMfU_g,Milk N' Honey,"12 E 46th St, New York, NY 10017, USA",40.7554338,-73.9782713,OPERATIONAL,restaurant,catering_service;sushi_restaurant;food_delivery;breakfast_restaurant;japanese_restaurant;service;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17893680600633611098&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(212) 764-4400,3.9,869,Monday: 7:00 AM – 5:00 PM | Tuesday: 7:00 AM – 5:00 PM | Wednesday: 7:00 AM – 5:00 PM | Thursday: 7:00 AM – 5:00 PM | Friday: 7:00 AM – 1:00 PM | Saturday: Closed | Sunday: 8:00 AM – 2:00 PM,yes,places/ChIJf1MYtv9YwokRWpMQlbMfU_g/photos/AaVGc3kWu3L6k67cytkKbIzXvLfb-kyXjBpOVh7LE6kSu0WLn7tsw6XmkZWkpGkKtqR6nnDYvIb1Lzp5qJkq5e0OOOU_Pho4uNH3lqpu4LRVaE9w4MJFZ5WSLzYoRqvZV002xDC_scpfwtmdEvT3Z872obKe-4MlJALnsVAgzPThHGeUGjcauZQUlyY2XNbxz9p5WAJXVJfdZr4Ded5zgg4DAz8JOUt5jGJN3kyg092t_m9EUeuW_meOpsZSdzVIu9XSSYTmYIlOTEUKLUxO59pICH8bPHbJNJgoVaRoiXefyUeNp9auqQ2rd5HZGDzhCT4U3VkURhltJkmNvzwv8oywNL5X2ulWv6QeJ4zBaz2YEycJdM9Phd46EmxFFrcjKzRHKJLZhxnQNnpT6eWlu9gsOidZAxe4s9Ps00T3LlMXsjdxBX-Y,Shaya B.
7978,verified,llm-yes,"LLM אישר (0.98): Identical name (Mill Basin Deli), exact house number match (5823), exact street match (Avenue T), same borough (Brooklyn), same ZIP (11234). Minor address formatting differences are inconsequential. Operational kosher deli with food delivery services. High confidence despite deterministic 'maybe' - the address match is definitive.",Mill Basin Deli,"5823 Avenue T Brooklyn, NY, 11234, United States",New York,United States,US,40.7127281,-74.0060152,ChIJOfPzdkZDwokRp-inFN4jIeE,Mill Basin Deli,"5823 Avenue T, Brooklyn, NY 11234, USA",40.6157057,-73.91812399999999,OPERATIONAL,restaurant,restaurant;meal_delivery;deli;food_delivery;food_store;store;point_of_interest;food;establishment,https://maps.google.com/?cid=16222286769501497511&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(718) 241-4910,4.3,733,Monday: Closed | Tuesday: 9:00 AM – 8:00 PM | Wednesday: 9:00 AM – 8:00 PM | Thursday: 9:00 AM – 8:00 PM | Friday: 9:00 AM – 8:00 PM | Saturday: 9:00 AM – 8:00 PM | Sunday: 9:00 AM – 8:00 PM,yes,places/ChIJOfPzdkZDwokRp-inFN4jIeE/photos/AaVGc3k5s1MV9vgsEvezCanRxBq4hJf_yce-n2QsZfAppvyun0kcOJVImHCTfHceN7833-ivQ9yhxfxoKC-ldSz3jcnCZTvCJe4Isv_E-U2UomeQvJUJmg6yVrpQ1OLWnCJJvyDtRdS7-8BnRVyq7ILvx78cJj3D_u9A2KHRT1qxVwuPOczZj58JaZ03_gxstwdUParYaC_IRWJ9jPVkbHYbVBIHDFdCczuM58mAdL5X_CNBH3DXCPEEYXVU2sNr4c3xddqa4O9B7mYOWPb7azow3e2VI5l2xm-wB-aLBRDPTthiVWcpy1dpWV62wTd_zyAzpIwFyAgd3uKhJLRwEJAMFnjNxeLiVerzQU3XsdRwLjTJaaz23cVBn21sdG4g8JFy-J3hMZD_3VZUXBSMTaezMo5nv5DzeWkqsKIHq4bkCapSyg,Mill Basin Deli
7979,verified,rules-yes,unique name matches + same city,Mixed Greens,"2486 Coney Island Ave Brooklyn, NY, 11223, USA",New York,United States,US,40.7127281,-74.0060152,ChIJjaFY0t31wokRqKLl0MFc3vg,Mixed Greens Event Design,"211 E 121st St, New York, NY 10035, USA",40.801117399999995,-73.93701539999999,OPERATIONAL,service,service;point_of_interest;establishment,https://maps.google.com/?cid=17932872753739047592&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(917) 755-5597,5,2,,yes,places/ChIJjaFY0t31wokRqKLl0MFc3vg/photos/AaVGc3mb1duXs7LA7cigb9QD01lgDTljQUedZ1bmty-mLoYs8d-cLAiKOCA3R8-dcavFTUqHedlAzjqcWgyLPhSFiZy5hM0KAccU0ypPNYtlo6y_1I2Fwf6omdFmHrVht4zgqDEFZI4GpG-FeR8vBc-PdZFFuf2sFT49Dc90xHvkbxIAFoyb6e4O1ljxjPiEptJ2Sk-1Q5YV8XFdFfIeBODEse3NKXk0iX_QAMAG5YDmv_MK49Zt-q5EC6Heggi1YErU2iJe40FIGX3lUtoVQs-lPVZVZ4ySoYrM_N3DrdQaCPvmc31NpOfgrrRrTEXg002vGTbGmWmrK-w9gi09glnPciMvnpN6WVkjFAtg-nHnlZZA3XNB6baaGeV0rRm42x6cv14WQtw4dSbOwhKiHSeuXAK5zQU3vDvEVMIeV7afl2-SJqM,Mixed Greens Event Design
7980,verified,llm-yes,LLM אישר (0.98): Unique restaurant name 'Miznon' + exact street address match (1410 Broadway) + exact zip code (10018) + same city (New York) + both operational Israeli/Mediterranean restaurants. The 'Times Square' descriptor in A refers to the neighborhood location. Address format variations are inconsequential.,Miznon Times Square,"1410 Broadway New York, NY, 10018, United States",New York,United States,US,40.7127281,-74.0060152,ChIJkXVQ1A1ZwokRncZcn4IbWMM,Miznon,"1410 Broadway, New York, NY 10018, USA",40.7532857,-73.9869915,OPERATIONAL,israeli_restaurant,israeli_restaurant;mediterranean_restaurant;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=14076030883179841181&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(929) 448-1845,4.5,478,Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: Closed | Saturday: Closed | Sunday: 12:00 – 8:00 PM,yes,places/ChIJkXVQ1A1ZwokRncZcn4IbWMM/photos/AaVGc3lze18_TJ5pPo_UI2nW_BFRw6yhWeiBID9_CJQTa2a5vjLoKLb7o1vL3NjcsmKKRubO8x2J8iD7k5_KlgH2Jmck3Vhw0krBRVG65JbLyWSUwmld8Msy40WHMW46OpTKzYXyW2_hHDB68s7hLs4577zBDbBNFC0gzMqe-RGNleETp0qbcVN-SULsMACP4BETVBEVqwfQOITZPoODC_1A2vDZLWhXeVpWmakvBG6cCxYM2Lo6JJj0kLvZP7-li1s7wMIMG7WdGiboW_6BKn4IMXsUalVcKPw3twiT1ZQCTu7Va2aP0_GbirWMfje-bl2AqUVVvrNC1H1ArhKd97R7AEO-hoD_szuvgO78fCKExBVDOEc-R51zXK5hYZORKcyltqEWk2v19CQzluK0eurG7H4OxKEd7SXGWxvwYGlC6AXr_shm,Miznon
7981,verified,rules-yes,unique name matches + same city,Mocha Burger Lux Times Square,"4 E 46th St,  New York, NY , 10017, USA",New York,United States,US,40.7127281,-74.0060152,ChIJD-T9sFtZwokRzkOxx2683IQ,Mocha Burger - Times Square,"4 E 46th St, New York, NY 10017, USA",40.755647499999995,-73.9786798,OPERATIONAL,restaurant,steak_house;hamburger_restaurant;bar;american_restaurant;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=9573734091865539534&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(212) 517-6353,4.3,453,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 4:00 PM | Saturday: 9:15 PM – 2:00 AM | Sunday: 11:00 AM – 12:00 AM,yes,places/ChIJD-T9sFtZwokRzkOxx2683IQ/photos/AaVGc3m8Od0l9LG5cw4ogrP-prfGWqwXaLxyTsJeq9HTkS8832wRjrAaOWpHQu7dfeE2gRe5BsgA7h6nk5KHvojjY-Rh9MrqKkiXNN9la7QUoEG4t01Zgie06EgzMOoUBMe9pIVKF8Fu0C1FKzIAgTxfPMXNYbEAuPdCdh_3XmKL1ASc96El8ZfifD7Sednm4wXfXBqGGVwGz0z1MwDi6YDBPKQfxlR53-ZlNeLKI5nkp6LNk270jkid6tRQTftJs1Z-sZhVsSJrag4EbuAjcNcPIO7LoGR60ZhnyhPFCiN7cNtptnbxgE8mFoMbjehTpIiYh1DTvdo_9hvAH7-S3BOF0V8RNjN76MjEWeewikIopFrjocJbfPQ0ynRBvUJ3Gu5x7TwgoFikbRjKcx9Bxy7Xm-wLhsrhNBjeRxr6PgH3R19cLKHXAvlrubs4s_QltE_L,Mocha Burger - Times Square
