id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution,decision
7688,verified,rules-yes,name + city + street match,365 Mountain Market,"3655 S Rainbow Blvd #104-105, Las Vegas, NV, 89103, USA",Las Vegas,United States,US,36.1674263,-115.1484131,ChIJv2FcT-nHyIARnaq5G_Eb_eM,ONE STOP KOSHER MARKET,"3655 S Rainbow Blvd #104, Las Vegas, NV 89103, USA",36.1225448,-115.24480690000001,OPERATIONAL,grocery_store,israeli_restaurant;butcher_shop;deli;food_delivery;liquor_store;grocery_store;manufacturer;food_store;service;store;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=16428317738083658397&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(702) 405-7724,4.8,141,Monday: 9:00 AM – 8:00 PM | Tuesday: 9:00 AM – 8:00 PM | Wednesday: 9:00 AM – 8:00 PM | Thursday: 9:00 AM – 8:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: Closed | Sunday: 10:00 AM – 7:00 PM,yes,places/ChIJv2FcT-nHyIARnaq5G_Eb_eM/photos/AaVGc3mZohGLPMCHXjrNhw-zODvcQjftBWsCZFJX9oGoA418cE4c8OHkf-nZm7R58W5m9QO-0ZLWRjmHwy7LeRhDB3-9PdUoQKJt6AcCqDSttwEgTxLYNrWqVnkKV2FEinByCUOJrvU33DhJ45aPvwTP1AYG9vAB-l_rmoKIlOD0XG_hzNtnOvpbnseFqa3DaFMqq94ayJ2tV-VBLMkTUmXqlFp1FPRQkWxjYyGPm7ZroS5aZjEsX33he2M15F3EaUVIdSma8Mxcm3xrhnB0YiOJYSk_fKF9_-PLbZ_T4XzUdXk679YRleklR9hqk6Rkopm5mCatgKfOoiOy87tzjwxHfxoKGqzcSCOkBgIOyaCiE6f02Sbc6I2yZJU6jFLVUmvK7nmJdjYSX3Sm-0iy2GoYpyMaCBN2TexdiguvHTKVOothCHwXPDbSHqBqseZa2qB1,ONE STOP KOSHER MARKET,apply_google_shadow
7689,verified,rules-yes,unique name matches + same city,Abba's Kitchen Catering,"3655 S Rainbow Blvd #104-105, Las Vegas, NV, 89103, USA",Las Vegas,United States,US,36.1674263,-115.1484131,ChIJqQmWW6nHyIARkcmuhfYrRUI,ABBA’S KOSHER KITCHEN,"3655 S Rainbow Blvd #105, Las Vegas, NV 89103, USA",36.1225455,-115.24481180000001,OPERATIONAL,restaurant,butcher_shop;scandinavian_restaurant;israeli_restaurant;grocery_store;food_store;store;manufacturer;service;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=4775271317701052817&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(702) 405-7724,4.9,32,Monday: 9:00 AM – 8:00 PM | Tuesday: 9:00 AM – 8:00 PM | Wednesday: 9:00 AM – 8:00 PM | Thursday: 9:00 AM – 8:00 PM | Friday: 9:00 AM – 5:30 PM | Saturday: Closed | Sunday: 10:00 AM – 7:00 PM,yes,places/ChIJqQmWW6nHyIARkcmuhfYrRUI/photos/AaVGc3k9IM45LANZRwqNn-pMJR_XriSLfh7zjnbyMq8eaRipSIVt49uH8V-1pU7v7hbG-TAxzcnr5uKdq8By7t9cgl70SvfG72IGWQG0v-441pia8yw_tiB11G2d8FyBqzx04bc0m5MtegD3C0sFgzj9p-vmepILmiFf_YODkwuDJvs9z5_-lNQxC92xmRvuurG-qv1tnnpxvJds7O-gYS58g_-hu9QN3s5St2KA5LM3IRVBHiOG7ljhOXIVMaJ-BhfMxHEBcQoGAxN-gHADcbuo0se_7QrVNfk3JZiF7lYzaKgrhj7lxedcadSC-L2RuhuRGJZ-TVuuOA6jItWh1ppf7NzwBFLA5nCGqwlRUdF6AlXbEgPxAhT4Ne-1e8ld_FRDY_I8vwk-lQblOhMv5rTXJK_T1efXf_X7HAoSk9-vYK4eaNq2OsRS3Q9AlnZhvCWd,ABBA’S KOSHER KITCHEN,apply_google_shadow
7690,verified,rules-yes,unique name matches + same city,Burnt Offerings,"3909 West Sahara Avenue, Las Vegas, NV 89102, USA",Las Vegas,United States,US,36.1674263,-115.1484131,ChIJUUUQoR3ByIARd4HGoP5fYxw,Burnt Offerings - Where Foodies Dine!,"3909 W Sahara Ave Ste 10, Las Vegas, NV 89102, USA",36.1439898,-115.1936865,OPERATIONAL,restaurant,american_restaurant;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=2045584202980032887&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(702) 848-2876,4.5,499,Monday: 5:00 – 10:00 PM | Tuesday: 5:00 – 10:00 PM | Wednesday: 5:00 – 10:00 PM | Thursday: 5:00 – 10:00 PM | Friday: 12:00 – 3:00 PM | Saturday: Closed | Sunday: 5:00 – 10:00 PM,yes,places/ChIJUUUQoR3ByIARd4HGoP5fYxw/photos/AaVGc3m8lt8KEBGGf1x5MZt1GHoPZv-rN5oeUIhafSQ7yj3KpYUERxs0zd63NHlISsqSwXP09her8AnnYgdhROdFN8sWC0CpT9CQ_q2gqs0kMuQgrchzS6EeZsB2JZvEyyVq8tHvMyqbspSldvbXfV61gG4YjHLPJ9248SV2PnJe0aqoVy3N6VzPyYFlmP_f4zb5hHau0AfvSfUjyMtwoEEd1t5YSAU7NJTICQpDCEgzFvutlNgbBUs64AYHFi59oGXgEGI-v9jcUuF08FiYA1VyVgX3s5ekC-aI0nQ5uIx6BCKWxgnh8gV_Ue074Rk0LqeK1ZWdjKib1yUPDtRIpTS-XnfUKX5mP6Ee6lKdKePs-ysqWkEI9lfU8eR3PpdqLtVd3TaZjkRu5UD1bl6oObJfptqEFe3cKPFkLnMB_EAVHVbDu3cG,Burnt Offerings - Where Foodies Dine!,apply_google_shadow
7691,verified,rules-yes,unique name matches + same city,Cafe Express,"2521 S. Fort Apache Rd, Suite 100, Las Vegas, NV, 89117, USA",Las Vegas,United States,US,36.1674263,-115.1484131,ChIJ9f07_2u_yIARIbtkIGAVtQE,Cafe Express Las Vegas,"2521 S Fort Apache Rd #100, Las Vegas, NV 89117, USA",36.1433424,-115.2981583,OPERATIONAL,restaurant,coffee_shop;breakfast_restaurant;vegan_restaurant;cafe;salad_shop;brunch_restaurant;vegetarian_restaurant;italian_restaurant;bakery;food_store;store;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=123028067427072801&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(725) 780-4329,4.8,717,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:45 – 10:30 PM | Sunday: 8:00 AM – 8:00 PM,yes,places/ChIJ9f07_2u_yIARIbtkIGAVtQE/photos/AaVGc3mvX8uIx7bLkoqdoytje2PAAVCcv6dqKcUiFkxtEv_P-P1S6YJBLGNCUmsolKhJ7MX2M3y3u1JFrVWOWgZ71SOyay161b8ArmYCiLBXpJX4kdvL_8doDhwJSh5dZZGOpdX8tFAE0C1d2emYupA_HWmIC0g_zQfQpDYx8lYdpN_R3GlUax8Rdml3em_H2hT0P4t7iqGExPfPpBmuXjquB6Xb5K7rx2bleg1SyWmpytW8QOvsGntl79iZiz481eGALwOhJ_o8S0h0nqL7_ZnFkiim9UJAFuZ65-hOJIbvKrzfQM_KmnQysTxo8vcAg6Cm87qA-UuKxc7SZUd2CMQdWW9FDcINRy0XwWNnSo47SxcK-pACQYiG6IG94yS7KxSVEYEXi1Zhqg5-L15nuRKyrfAJRtSLJsKvK3VkqVm4sbWMZP7f,Cafe Express Las Vegas,apply_google_shadow
7692,verified,rules-yes,unique name matches + same city,Casa Mia,"7365 W Sahara Ave, Las Vegas, NV, 89117, USA",Las Vegas,United States,US,36.1674263,-115.1484131,ChIJT0WKdXPByIARzlPDv0EScAM,Casa Mia,"7365 W Sahara Ave, Las Vegas, NV 89117, USA",36.1430478,-115.25352129999997,OPERATIONAL,pizza_restaurant,pizza_restaurant;salad_shop;bagel_shop;family_restaurant;vegetarian_restaurant;italian_restaurant;catering_service;food_delivery;bakery;food_store;store;american_restaurant;restaurant;food;point_of_interest;service;establishment,https://maps.google.com/?cid=247718053104800718&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(702) 665-6546,4.9,252,Monday: 8:00 AM – 7:45 PM | Tuesday: 8:00 AM – 7:45 PM | Wednesday: 8:00 AM – 7:45 PM | Thursday: 8:00 AM – 7:45 PM | Friday: 8:00 AM – 12:45 PM | Saturday: 10:00 – 11:45 PM | Sunday: 8:00 AM – 7:45 PM,yes,places/ChIJT0WKdXPByIARzlPDv0EScAM/photos/AaVGc3nq49ahTyFoBhFyLvJXdjlSkoYh_0LUOP2ON1P8QZEw4V0sG_6J9pFaqWXcsRDpgdIxORmG52p8DvFxxtXi4W6uR_30nRSAusY5UnT5WTYTcP4MR5br_tazWcLoweHNJxmQDozI-l4dv_BSaqquF7ZPFazHokKwnzYOyJPV7RKoBqhbYFV6YM34ux6UezERWEInAs2IynoBcVGwucEKbWmrbgVbDCnr0yuB7TnyeyPvFAe5Zq_YHc-8zHWQYtKpsEwcrrWBaApx8v02yExgt2UeB_w3lkTLu9Rn9wpl_M4UgQmAbe7FzGgNkHTl-FrY26I4R60Bif7Q4VmIFkoKMgcpeIdCFiZLnISc1homrJdhym3oFzorAoT2GnOGNBQSs9MHBTbhsxvjXrxPVq_Jg4yA6WLTpvwoCSX8IxMZ74yFTUmtGZT1Y9SrMQvft0dV,KosherTravels,apply_google_shadow
7693,no_match,llm-no,"LLM דחה (0.95): Different businesses at same address. A is a food truck (Falafel Vegas), B is a grocery store chain (Smith's). Despite matching address and coordinates, these are distinct entities - Smith's is a major supermarket chain, not a kosher falafel food truck.",Falafel Vegas Food Truck,"2211 Rampart Blvd, Las Vegas, NV, 89128, USA",Las Vegas,United States,US,36.1674263,-115.1484131,ChIJIV3CyarqyIARU3sOEQIfZ8w,Smith's,"2211 N Rampart Blvd, Las Vegas, NV 89128, USA",36.2017072,-115.28374939999999,OPERATIONAL,grocery_store,grocery_store;health_food_store;butcher_shop;food_delivery;florist;market;liquor_store;deli;bakery;food_store;store;health;manufacturer;service;food;point_of_interest;establishment,https://maps.google.com/?cid=14728775200075053907&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(702) 256-5200,4.2,1548,Monday: 6:00 AM – 12:00 AM | Tuesday: 6:00 AM – 12:00 AM | Wednesday: 6:00 AM – 12:00 AM | Thursday: 6:00 AM – 12:00 AM | Friday: 6:00 AM – 12:00 AM | Saturday: 6:00 AM – 12:00 AM | Sunday: 6:00 AM – 12:00 AM,yes,places/ChIJIV3CyarqyIARU3sOEQIfZ8w/photos/AaVGc3niZCBlk6Ygn-BUrJ16fHmVxoyGmYjfOJdDub5uBgwrL_tYERlyImEXc-G5vrSPc9sjNypDVKOuNzqSugbP8b65GRZkk6wyP7YKa0KsjVmCwcz41N3sCdlHVxZZF71kxHGgdg0W4cnjcO7sBOskBhOmc8zAl_er1Oe-pkK5BzyuYTDJgEkV9ji-_Ud3ftCcJh48B1X2qYgUExHipU0cJmXD1H4rCO1HB0Saw3hs_lGm-uUi3v7P3GvquJzM5azGqp5Jbew8aE9ymEoKfKTdpX7nEOa9uXwLriKxD-tQJ0QCSYHoh6FOenosxVJgRV9y3UtlW5J4LuXLmabM462AvqaQ2p5sFiQaDmOzd6dts3N3GebKSyqQUsVeLpBUZTZtEhzyDNMNiR5gCT2e0wblllbf6dPBkerfrqz1ImgpWzVwXQ,Smith's,
7694,verified,llm-yes,"LLM אישר (0.92): Identical unique name 'Galilee Mediterranean Grill', same street (Banburry Cross Dr), same city (Las Vegas), same ZIP (89144). Distance discrepancy (15km) likely due to imprecise coordinate geocoding rather than different locations. Both operational Mediterranean/Israeli restaurants. Address format variations are common between database and Google.",Galilee Mediterranean Grill,"10100 Banburry Cross Dr Las Vegas, NV, 89144, United States",Las Vegas,United States,US,36.1674263,-115.1484131,ChIJJQsSsxS_yIARH9m4oOxQUWs,Galilee Mediterranean Grill,"Next to Arissa, Banburry Cross Dr, Las Vegas, NV 89144, USA",36.182804399999995,-115.3145893,OPERATIONAL,mediterranean_restaurant,mediterranean_restaurant;israeli_restaurant;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=7733051012410824991&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(702) 858-4800,4.8,16,Monday: 12:00 – 6:00 PM | Tuesday: 12:00 – 6:00 PM | Wednesday: 12:00 – 6:00 PM | Thursday: 12:00 – 6:00 PM | Friday: 10:00 AM – 1:00 PM | Saturday: Closed | Sunday: Closed,yes,places/ChIJJQsSsxS_yIARH9m4oOxQUWs/photos/AaVGc3kfWYvhy1eu9-YuwKFAMUd7pGqd8iPEdZyj4Hr9z-KwLc8ntVhmtnis_m2RktoxX59JDlXeUJHn8kSKCIVv_SvQx2EhTyHufScDZ0PC3lhNO7DEA-e0Z0rW2onm0Az7vjRC0r5Ol8XSMAsz3o4px6rNKBeHAzv4cVXaXyrsUGAzJQYE42zjZoI70A0UU57EuefnugPMf5TKg_5q0Y10dKrRvKH49OkGybZyxF8WRjdTFHx6hiu_7x0omo7Z5ogqZpB6ir3Z7PGpqFDGJHbt00P7UlBObcs5Dhbr7clKnaFjiHNmn87VcvvNJdnLzhSvLOujiqnG8ujslxDsraNNgYbWEGlzWsO247YFpNEO7XL7bYCGvUHgNccwzU1OrrZIGKshaWuw0jwS1oMSrzAND8-jrQjsIbBCSX-5aJuiu8g39UqceGxuR0-9LaPu5nfB,Galilee Mediterranean Grill,apply_google_shadow
7695,verified,llm-yes,"LLM אישר (0.98): Identical restaurant name (Italo Pizza & Kosher Kitchen), same street address (7595 W Washington Ave #120), same suite number (#120), same city (Las Vegas), same state (NV), same ZIP (89128). Minor formatting differences in address presentation (Washington Ave vs W Washington Ave) are standard variations. Distance metric discrepancy appears to be a calculation error given exact address match.",Italo Pizza & Kosher Kitchen,"7595 Washington Ave#120  Las Vegas NV., 89128, United States",Las Vegas,United States,US,36.1674263,-115.1484131,ChIJQbVdqmrByIARr2hPW4b84xM,Italo pizza and kosher kitchen,"7595 W Washington Ave #120, Las Vegas, NV 89128, USA",36.1811654,-115.259414,OPERATIONAL,pizza_restaurant,pizza_restaurant;catering_service;vegetarian_restaurant;israeli_restaurant;mediterranean_restaurant;food_delivery;breakfast_restaurant;italian_restaurant;service;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=1433266760421697711&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(725) 204-3142,4.9,632,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 4:00 PM | Saturday: 6:00 – 11:00 PM | Sunday: 9:00 AM – 9:00 PM,yes,places/ChIJQbVdqmrByIARr2hPW4b84xM/photos/AaVGc3nNegw2fWCYTCcJMPaIpZtYTc2NIL5e6-ro4UZWomXWSSm7YUZVL1JRFynwdgFUGAFLYi9ynzCu6OqFK9QQnqiBsfD2GW6c57mLAkwsqFt-q5NkXSJzaJeztLCmP-9t6mEtmkps0jKx3qihh7cjflaWq3-SXjmuNb2XqAjSyJEsRUxv2Mt-hSa-L_q84UC9rgp8EhM5_XjlyLyXZbywkm3N7mtohBePIBaKiYAUtxENGgUQWI0dioteL1DzPLjgcQ_PGenP39nAlerd2-jXVgsV8RjCc4tcFdunFHosrreXFWRjJw-5vUrZTJ60WxWNmx2PBXXpdXNbHuJbnM2zN2zsx_wRa4RMHFsYNvuknAddTZE3U1wuYRj2ICEeVCXCfianatzdVMSk52RMwicrmitV-4zHc6ZL340KUKYfXyhGLmsC,Italo pizza and kosher kitchen,apply_google_shadow
7696,verified,rules-yes,unique name matches + same city,Jerusalem Chef's Table,"4825 W. Flamingo Rd., Las Vegas, NV, 89113, USA",Las Vegas,United States,US,36.1674263,-115.1484131,ChIJkQl9H77GyIAR6Y-BZLh0K-I,Jerusalem Chef's Table,"4825 W Flamingo Rd #10, Las Vegas, NV 89103, USA",36.114577499999996,-115.20679270000001,OPERATIONAL,restaurant,halal_restaurant;mediterranean_restaurant;catering_service;cocktail_bar;food_delivery;bar;service;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=16297248011879288809&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(702) 341-5555,4.5,1295,Monday: 4:00 – 11:00 PM | Tuesday: 4:00 – 11:00 PM | Wednesday: 4:00 – 11:00 PM | Thursday: 4:00 – 11:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: Closed | Sunday: 4:00 – 11:00 PM,yes,places/ChIJkQl9H77GyIAR6Y-BZLh0K-I/photos/AaVGc3lACqlxukuIkYfMkJTQYrUMkrIE4tSnCPNY3qGDTLEbn1Gms08TmBmc1OVjFVU6XwxsNb0fNMRZDDTVC7CEY--aWgH55v15SfQjjzLqf_kILOFEnb3haImmmnR76He6XqOlkNqzpqSicRaavX_hBuh7-EK5gHgvdJyJdvnDoi0mjt8kdFze3UBxJw3PmcHuDnaoGPJoNTNi_qc_8b1s5xQmhonngoo3cN0ybk4y17nu-dQIVIluLmgkcXNCXNzCWM3d4_hXKIHcAe4iNoIq9XahWLEzzc6qEtmza51DNCxQzUmutLmwvs0naiNPYl5LtRnia57FAa0YYOsd0TPrbflTdzmysreLHDX-Pr-7bZ9frhor2JnQBC4OvWVxagWFkXMJ7zJSsJMdFncMAH58wRNUgB5TNpWBb9rdSJyu1gOHLQqh,יודי מעלבער,apply_google_shadow
7697,verified,llm-yes,"LLM אישר (0.98): שם ייחודי זהה + כתובת זהה (2103 Western Ave, Las Vegas, NV 89102) + סוגי מסעדה תואמים (mediterranean, israeli, falafel) + סטטוס פעיל. ההבדל בעיצוב הכתובת (וסיום USA vs United States) אינו משמעותי.",Judit Mediterranean Cuisine,"2103 Western Ave,  Las Vegas, NV , 89102, United States",Las Vegas,United States,US,36.1674263,-115.1484131,ChIJo0XN6bDDyIARTaLSgZXVvK4,Judit Mediterranean Cuisine,"2103 Western Ave, Las Vegas, NV 89102, USA",36.1479143,-115.1645292,OPERATIONAL,restaurant,israeli_restaurant;mediterranean_restaurant;falafel_restaurant;catering_service;food_delivery;shawarma_restaurant;middle_eastern_restaurant;service;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=12591173496325972557&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(702) 909-5999,4.8,230,Monday: 1:00 – 7:00 PM | Tuesday: 11:00 AM – 7:00 PM | Wednesday: 11:00 AM – 7:00 PM | Thursday: 11:00 AM – 3:00 PM | Friday: 10:00 AM – 4:30 PM | Saturday: Closed | Sunday: Closed,yes,places/ChIJo0XN6bDDyIARTaLSgZXVvK4/photos/AaVGc3kTwFrzPl9rrQPF5e9Pal4bNhScVG_rJDYIKl16PXjtPLwFiOUrxhvWADGFyGAXI97Ohm7kr-k9bamLaFsgIUKpBJe0EYcGcwOUx7voqHvUoQFKlaiIRpx3TLWw-R2o-tIHoZVnTKXto6QUgDpHeW595VZZqMtcsfYhqcQrf7qxh_BWzJ2OCWKdHMYGXxUXpaOjWEDXqEAa7FG3fRrAFaYQLvFKmno0ZhhUZq7-dx4B2Osq7tG7Rw0fi0lWkZMUJJ5JM8WEzI1jD3OVTpF2xKZtjYhm4S92qEWF6CtPrDzBt7n57TcmQNXmAic-H_2o8XxTjMvn1G_a3DNUfjUdtjRXptG6g0_4qNq2pQPPW7uVEBft4j5C0fS3CxZ7JmUOpDz9tRx9NZkzgVH9OB4yW9H5WMamwYxCB-uUYFp29ED-7m8K,Judit Mediterranean Cuisine,apply_google_shadow
