id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution,decision
7341,verified,llm-yes,"LLM אישר (0.95): סמבטיון = Sambation (Hebrew to English transliteration of same restaurant name). Identical address: Apollodorou 4, Larnaca/Larnaka. Operational food establishment. Minor spelling variants (Larnaca vs Larnaka) are standard transliteration differences for the same city.",סמבטיון לרנקה,"Apollodorou 4, Larnaca, Cyprus",Larnaca,Cyprus,CY,34.9124828,33.6327707,ChIJMQRXyKSC4BQRzji-dbDR0b8,Sambation,"Apollodorou 4, Larnaka 6020, Cyprus",34.9123692,33.6327718,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=13822059287196612814&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,24 242425,4.4,126,Monday: 9:00 AM – 9:30 PM | Tuesday: 9:00 AM – 9:30 PM | Wednesday: 9:00 AM – 9:30 PM | Thursday: 9:00 AM – 9:30 PM | Friday: 9:00 AM – 2:30 PM | Saturday: Closed | Sunday: 9:00 AM – 9:30 PM,yes,places/ChIJMQRXyKSC4BQRzji-dbDR0b8/photos/AaVGc3mCkuDXaJNFOow8zgtYp1fTkvdKqEWKkchOafXehinsSjTAaxnksJGS3w25TfYqpYv3P_-m6uFdLE_R0YD3RAv0OVZ-SXAw8lUODbsMLANzoNPPtZCZFsBpTe1xL7sHGYoeer5jsBfkAeY1dmU1dB6I5xWT5NCM2d2vTcMBLuOi1IEczzX8eAY6S5wraFedOfALAmwDw6_ixiwpNwALLNWXOjuEredcB_KaGQgoETAn0FcDftkjJ9Sy2SVrGr10ELo3Dx1ymVo-LwXaskCm9_Mv7gU6JwypEQv4l6jMfAPuK9d94sNH7U-DkDGDa4NE9TnDxI6OAWihJd9jv9uyZlQVnq6bx-QXVAWbH5osDBLHFe8JFJOJqJPaKFfAiDp5xi1w_d9PZGXJ1GiH3J0ISS3ZqfiIaRTVlcHTUDTIjII,Sambation,apply_google_shadow
7342,verified,rules-yes,unique name matches + same city,שמיים,"Apollodorou 4, Larnaca 6020, Cyprus",Larnaca,Cyprus,CY,34.9124828,33.6327707,ChIJlTXuNgCD4BQRvu34UsOTdCs,Shamaim - שמיים,"Apollodorou 4, Larnaka 6020, Cyprus",34.9123447,33.6328163,OPERATIONAL,breakfast_restaurant,breakfast_restaurant;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=3131290108049288638&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,95 590988,4.4,30,Monday: 8:30 AM – 9:30 PM | Tuesday: 8:30 AM – 9:30 PM | Wednesday: 8:30 AM – 9:30 PM | Thursday: 8:30 AM – 9:30 PM | Friday: 8:30 AM – 3:00 PM | Saturday: Closed | Sunday: 8:30 AM – 9:30 PM,yes,places/ChIJlTXuNgCD4BQRvu34UsOTdCs/photos/AaVGc3n-zVfY472C6h-NF37P-TaqowGLa4Lag5QKcxWhJhojsiUNkDMOZ5bQl2KgGJZ7qvmjqy7wxR64oQXfVuZzV8zMdN49gSP1m5Ybz2Y6Vn8tLe2ukZofFrZQihrheV6jYjx5AAKUAu0O2OthDqL2TI4yJrr6H--hISxchuoPGW5H4mqInKbX69a9gTn53iPNdgEiyCXgBjh4i7oX02NgLLRka0w8hAXeOhjXTL-0bUWEKxnJSrtqeHZByjMOz7i7_1p9S3U4CPxm7ChNRrtBmzSWpRqghLF8Y3LBwCvMVqnjmQcFC-4lvXyrLeBQKUvYIoU4WsgrsuxwUvxpBwBe9q1kWQ_TYpwI38pin24RCahxJRZAI_wg3Puqxstn-QpUnkmOvpYlJEWdkjCKOf0RTBjZCIB4vDIyjaFSAmZD8jDYWp8eaN-ikjJGUNI27w,קוגן Kogan,apply_google_shadow
7343,verified,rules-yes,name + city + street match,"חב""ד לימסול","Porfyriou Dikaiou 5, Limasol 3095, Cyprus, Limassol",Limassol,Cyprus,CY,34.689982,33.0531529,ChIJpwUnHGsz5xQRIw52KPiJ9oA,Chabad of Limassol,"Porfyriou Dikaiou 5, Limasol 3095, Cyprus",34.689470199999995,33.0533445,OPERATIONAL,synagogue,synagogue;community_center;tourist_information_center;tour_agency;travel_agency;event_venue;place_of_worship;service;association_or_organization;point_of_interest;establishment,https://maps.google.com/?cid=9292766580049317411&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,25 363770,4.8,189,Monday: 8:00 AM – 7:45 PM | Tuesday: 8:00 AM – 7:45 PM | Wednesday: 8:00 AM – 7:45 PM | Thursday: 8:00 AM – 7:45 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 10:00 AM – 7:00 PM | Sunday: 9:00 AM – 2:00 PM,yes,places/ChIJpwUnHGsz5xQRIw52KPiJ9oA/photos/AaVGc3nvqvBkWdBbhHMVHh_i1mOi3SJrg8Yi_YWBKSoElaSEbBFzj2VYdZtdHpJOULSq3UqPPi7daURgWQjSJSGXik6n_Jw4eLbm2WeqwOGCydPMOft5Y96dsIfsAUmMQqCPbz7C71IqyS8bgDwbf0mYPgi7uxa3Mxt-OszQ4Cz3vI-VyiXHKcKaVAjOXa6kzq6YL14rGSbXTjJDrYi13L1agfXIs96K54cJ0aQFqS2JdA1SogFnOZP3rMBaWL0m2Oa9SVN5o-CbB6rDUpq8hnYUKhO-et2CSm5Pu09xvlcHXxRYcMG3QnkpQWTyJpR0PvIRULnEj-yTfaOK2dB0T2DeoUQuUvt_OnywKGrj4g7lB69foCH8CDS13ervq0QwJ3ccxYaoEbzqXX5ctfiyIGOUfixBoZZjRb1GPZLgATApHEQ1evKzc2VXcOaYaQbJwfyh,Chabad of Limassol,apply_google_shadow
7349,verified,rules-yes,unique name matches + same city,ANOCH,"Melinas Merkouri 3, Paphos, Cyprus",Paphos,Cyprus,CY,34.6996966,32.6011264,ChIJ_47v2DQH5xQR0CbX7C4on18,Anoch kosher restaurants ( אנוצ' כשר) פיצה כשרה,"Melinas Merkouri 3, Pafos 8042, Cyprus",34.753587599999996,32.4212627,OPERATIONAL,italian_restaurant,italian_restaurant;breakfast_restaurant;fine_dining_restaurant;meal_takeaway;pizza_restaurant;grocery_store;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=6890270136907278032&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,95 968677,4.6,598,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: 7:30 – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,yes,places/ChIJ_47v2DQH5xQR0CbX7C4on18/photos/AaVGc3ndYtTQHyqicVSfZyiRBOB7VYd1yBq3FBIKDWa85NzpnCfjQF9esOwmrW51jOQVrQAnIOR28yrjS0-8FNR2y9mXdHW21ONeVWFlGgVawReo2ChWLgY-JQQnP4k0Wiu0TR4cITkHXZhWzK1zSa5UV12waLQKIA3gMWoq1YnHtUmfzlRuQNJ7tdfZlWwxyuJ-I5BiappZ_IRfc8hy9pT5UZlWsF_dk2rRWrnHJcWVrQAaL6VW1XVDFA_OKQWcFnoI_JjbpJl9vSJ6lazyBO014R-rj1Gj2gwuInVFyFJTHnOn3MCTEc4cN1DOMueo5O5D40G9NM7k8Ym4dO_Yd__wcViLNCFGdzVld_YVC6GpcSJLZixq4kO64EUOK32UofGSllN2A2i6SYdBgp1KfC46XSUhOOmJBmORAWSArdmiwLij5dEf,Anoch kosher restaurants ( אנוצ' כשר) פיצה כשרה,apply_google_shadow
7350,verified,llm-yes,"LLM אישר (0.85): Chabad Paphos organization operates the kosher restaurant 'Jerusalem Restaurant' (מסעדת ירושלים) at the same Othelou address. Street/city match, coordinates within 2.2km, both food establishments. Name difference reflects organization vs. restaurant naming convention.","מסעדת ירושלים – 
חב""ד פאפוס","Othelou 5, Kato Paphos 8042, Cyprus",Paphos,Cyprus,CY,34.7743988,32.4231586,ChIJW0Pu0vsG5xQRAqPn3DVhKJQ,Chabad of Paphos,"QC3C+PC4, Othelou, Pafos 8042, Cyprus",34.7543451,32.4209123,OPERATIONAL,restaurant,synagogue;place_of_worship;association_or_organization;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=10675889800649089794&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,99 981770,4.8,761,Monday: 8:30 AM – 9:00 PM | Tuesday: 8:30 AM – 9:00 PM | Wednesday: 8:30 AM – 9:00 PM | Thursday: 8:30 AM – 9:00 PM | Friday: 8:30 AM – 9:00 PM | Saturday: 8:30 AM – 9:00 PM | Sunday: 8:30 AM – 9:00 PM,yes,places/ChIJW0Pu0vsG5xQRAqPn3DVhKJQ/photos/AaVGc3lDYwESjfc1JL5Ca3Aodt2P6nl2ueDb0jL8JW9yw6I8Ps0gdlGsuvM8vKudMrS4bNIhKjcjHBPCYeAiRjMPDP7obryJchEGx6jIP0WUM1MtU4ULZjB020wLJA9-adO9_9x__9beuBQtgFgARTzWunl3bK_e_YVEkYuSuD0qefYTX2fDJSomeMLQPZhWF4zZPPvj__azBc2SdpnOpLs-mbLlbzhh6jx1UvtCU9DZvMzLX6QCbXy069WR3z-pdj4LhBLaJcQzZUgOoVi2wj8VYFdlWsePqBVT0E32otsBvHYfwrKstAEJbtYaB9514aoh2CT-Avy1pL4uJrvJvhFS8GOqrSUMJWQ1mUKqpAZS9O2IUdppKdyFGxWAJweoPVXwIYt3xYdSeHcBgCISPoadJFFyPsqWg7s7dXmf9TD43Kuriw,"בית חב""ד פאפוס",apply_google_shadow
8430,verified,rules-yes,unique name matches + same city,Burger Philosophy,"Kleanthi Kalogera,  Larnaca , 6022, Cyprus",Larnaca,Cyprus,CY,34.9118464,33.6367826,ChIJFVkf45eD4BQRsyiYBY_mTDk,Burger Philosophy (kosher Restaurant),"Kleanthi Kalogera 24, Larnaka 6022, Cyprus",34.91205800000001,33.6364708,OPERATIONAL,restaurant,restaurant;hamburger_restaurant;american_restaurant;bar;food;point_of_interest;establishment,https://maps.google.com/?cid=4128928460340471987&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,77 777027,4.4,596,Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:00 AM | Friday: 12:00 – 4:00 PM | Saturday: 7:00 PM – 12:00 AM | Sunday: 12:00 PM – 12:00 AM,yes,places/ChIJFVkf45eD4BQRsyiYBY_mTDk/photos/AaVGc3mqvp7h3Kwotbhu2SXSgsfAHGbZHCMUd70yIg-U_P-MS6dlfaePHpi6ninMFpAv0iF_cKxlr9FBfytdAJEJ0_xmf5NcjZRvPDhUeF9ocGOD-x51zSnMf5aJnc6wGdW9l8dU8N9GWSfx3ILN5yB6tHgaZ-kUDa58eLekieCDGuJOSUJ5w7ooaHH8j_JXQ5Xk7CYXa84BwhdFOk8gmox3enHLv42CTC2BSuvsWq7kRaXR4OIdiX1uk7Pe3cqW_f96ySCgiCunyJxo1iC9XsQBKC4x__pMKGt0wm3Gk2rANX_iwLrCHjjtKkUaUwgIA8yhJbQsEWM7t7_fmj90HhXDbC0J2wepOBRAeKUI_OMXgSRw0wIVxmDrd-QDvY0aniTit7A6C0nI02cXrfUKweRd9Aq8rffLNVhs6GRHO0LiB376uYEX8z9XgRRrN2sjjQOL,Burger Philosophy מסעדה כשרה בלרנקה,apply_google_shadow
8431,verified,rules-yes,unique name matches + same city,Chabad Cyprus Kosher Catering,"Apollodorou 4,, Larnaca, 6020, Cyprus",Larnaca,Cyprus,CY,34.9124828,33.6327707,ChIJ__ex8UCD4BQRlhKHuHuZ96g,Cyprus Kosher,"Apollodorou 4, Larnaka 6020, Cyprus",34.9125685,33.632748899999996,OPERATIONAL,,point_of_interest;establishment,https://maps.google.com/?cid=12175368874275312278&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,97 753367,2.6,7,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 2:00 PM | Saturday: Closed | Sunday: Closed,yes,places/ChIJ__ex8UCD4BQRlhKHuHuZ96g/photos/AaVGc3mWalyqsEnclTM1CtfhwgiIoN2la4nNtAlBRRaHojBRNcaJcACQnqi7QELWyM_2hGcDCFB9o10D21tNdA_fPWU7Kli3iCXbGj2yN6AvFoX0PmN6nEikOZLosz6pSUzMUyhNZuplmKl9DLce12cXuIJ-2enPRSZLqzWW_EWM1Whh-zDwo0rMYetBCR8gTaJ-GNg8NjJmXneORgk6J8oKeUigCOix_Q4Pedc419KF0scbqdVBEBPaa3rgMLO6YcMOge7pd30ph2CAzWni3en2Y2_qbqYcsLiN74BPNEr0jjJsNEAJlO8nvl6QcraX9auGyjftdQ67pwVEUZMCIHzFfRXzpX1XXts7G9Rgy79BoKmt2EwriZJg8xU3SMHEqm_MOheizs5VsUoS9xUeGLwt7CtV1ulKFB2FZt65_b1njg-ii3Kn,Cyprus Kosher,apply_google_shadow
8432,verified,rules-yes,unique name matches + same city,Falafel T Kosher,"Stadiou 52, Larnaca, 6020, Cyprus",Larnaca,Cyprus,CY,34.9132335,33.6349032,ChIJj8Wg9o-D4BQRuWPt11dUKWM,Kosher Deli - Falafel T Kosher,"52, Stadiou 6020, Larnaka 6020, Cyprus",34.9134585,33.632158499999996,OPERATIONAL,falafel_restaurant,falafel_restaurant;israeli_restaurant;halal_restaurant;vegan_restaurant;vegetarian_restaurant;middle_eastern_restaurant;grocery_store;food_store;store;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=7145335020061549497&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,94 044266,4.7,320,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 4:00 PM | Saturday: Closed | Sunday: 11:00 AM – 11:00 PM,yes,places/ChIJj8Wg9o-D4BQRuWPt11dUKWM/photos/AaVGc3njAZKK1EI7qd6AuNa5atCvuMMppiLfDejwWSFsOAmJoLAX7aBtskDex_JFs0L1GKtRaWGdNGCNkUVi56yPe-Ds1a8593JDioomIHdwtuWX01MIKQhPL2-igoEAC6dZ2UBCsdRf8fvRSbtgME7nfU8DwG7Jd9wRWjFVmKYVWZM4YzEyIfJR-ys0-lvdYJwKSoKzOKircN_XJfYXse8pp21fdYMApSuLJbjemYnisI2A3aY09iwlczP5nSYSLsx0EDiHB9nY8XppLTbKDPZpVKqkXxxY7vcz2HHKE19VN9IJVNNya2uTP9H1fO0itRpyOZ-K2xuztz_Wgo03hrWxec7uZ1rXhPclwzkMvHPNsTV3_Et0uvQBXbmcZw8EvoXJTCLUrnjDwJkTicKk2CleCgBO2PExUo0pa4Plw_1U22TaIB84jPFv_fYEkKytOdUA,Falafel T Kosher - Kosher Deli,apply_google_shadow
8433,maybe,llm-uncertain,"LLM לא הכריע (0.75): A הוא עסק מזון (Glatt Cafe & Makolet), B הוא מרכז קהילתי/חבד. אותו כתובת אך עסקים שונים לחלוטין. Makolet = חנות מכולת, Cafe = קפה. Chabad = מרכז דתי-קהילתי. אפשר שChabad מעניק שירותים בכתובת זו אך זה לא אותו עסק",Glatt Cafe & Makolet Larnaca,"Apollodorou 4, Larnaca, 6020, Cyprus",Larnaca,Cyprus,CY,34.9124828,33.6327707,ChIJy6-5tLqC4BQRIZqSVn2Ou7g,Chabad Lubavitch of Cyprus - בית חבד לרנקה,"Apollodorou 4, Larnaka 6020, Cyprus",34.9126014,33.6326792,OPERATIONAL,community_center,community_center;event_venue;service;point_of_interest;establishment,https://maps.google.com/?cid=13311389792598137377&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,24 668753,4.8,383,Monday: 8:00 AM – 10:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: 9:00 AM – 10:00 PM,yes,places/ChIJy6-5tLqC4BQRIZqSVn2Ou7g/photos/AaVGc3nZ2y-aAMNzzb8aGkQPMdJivFB4EEuQzRfoPpKwFW8CoDGJBuu6iM6aTyVhCXW_Zr-f_Dfse5-RYvM2yyDDvWfhuJhfJCUK0AWhOGpii1Lif6gTU1Z4m1mjb4TUIom132HfJDbMBLXutLIqYu7JhumQKaPFR4SUg_LF9KRUMjjRcZRlwfB5vw5dJEahANiGahH-SQB1L-Qa2OMYmEQKXY50-RvgNJmEYYG2ASsZXYtOLev3dwvG6GGgh9Kvy4ptvDKGDT72Y8QyFCysbqk6HTx3SvU-Ng3ah9gjjqkkiYiWvxESTXDUeM95xGeoWCQknKMG-Zci1lkWfokJ1Xv-Nzn1Ab-RdvlLDGmgcs2FsDRyJk_K99g9IVaOHf6t-JwYxrIaR5wZkqIpUMUkYPoorFqnBm3OvMjVowKHZKCqVkKD7g,Devin Trudeau,
8434,no_match,llm-no,"LLM דחה (0.95): B is the airport itself (international_airport type), not a restaurant. A is a kosher restaurant located *within* the airport's departures hall. Different entities - one is the venue/building, one is a food business inside it.",Kosher Eatery Duty Free Larnaca Airport,"Departures Hall, Larnaka International Airport, Meneou, Cyprus",Larnaca,Cyprus,CY,34.9236095,33.6236184,ChIJOfOB3yiD4BQR9gwm2_N091Q,Larnaka International Airport,"Larnaca, Cyprus",34.8714923,33.607673399999996,OPERATIONAL,international_airport,international_airport;airport;transportation_service;point_of_interest;establishment,https://maps.google.com/?cid=6122490809136057590&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,77 778833,4.1,12835,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,yes,places/ChIJOfOB3yiD4BQR9gwm2_N091Q/photos/AaVGc3mtGwlXVljSXnPxAvOkZ6vAHiFZ4XA-MJWh68TQbtmHcBmT8cZ2ieSTpQ5UHDPC3VkHZwHBjnLZyjQir-FZWEBsJgZcf0vksSyhNBONN9ZugxdSTw-HlR3Ji92OufT9JD_BUbr_TdwHkJh5EAmdAHA8reZ4GbaZW5xw2qCvW3ZFR7g0J5hcY89RCdgoKn4MCx3FeEEuwF1VUpI2aM3jN21bCtjGGLXN1HERQPW7RwGIgEMbh6-7mewfgrPMX-O-zLiLJmE510mvc43CVLK9L_Ftwb9inX2FaCo64yv9g-eMILfn09P5fWSrehNUe9ccou4xaZo6-0ayVr0t-viEBbAbo2Ee9aZJvP_RVwrI3lwLDyaBxS0AYROwdLhr7ocYvbYJxvlXNWJAPkFA25fQ293SIW6YW6HlZYJa4qekS536YVuMXS2V6eyHDjlNVIYL,スタバカ（SUTABAKA）,
