id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution
7358,verified,llm-yes,"LLM אישר (0.95): באגטו מילקי (BaGhetto Milky) - שם ייחודי זהה, כתובת זהה בדיוק (Via del Portico d'Ottavia 2/A, Rome), אותו מקום כשר בג'טו בעיר העתיקה של רומא. Google ממצא תקין",באגטו מילקי,"Via del Portico d'Ottavia, 2/A, 00186 Roma RM, Italy, Rome",Rome,Italy,IT,41.8933203,12.4829321,ChIJ1dUtz-JhLxMR646lrcfW_vE,BaGhetto Milky,"Via del Portico d'Ottavia, 2/A, 00186 Roma RM, Italy",41.8931237,12.4772146,OPERATIONAL,restaurant,pizza_restaurant;italian_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17437610960325283563&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 9480 1372,3.9,1254,Monday: 12:00 – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: 7:00 – 11:30 PM | Sunday: 11:00 AM – 11:00 PM,yes,places/ChIJ1dUtz-JhLxMR646lrcfW_vE/photos/AaVGc3mGpQ9twbQE_GhbvoNgCqHJ1DLjAGj0sCYoQ2JweOmikwbTxPnNz-NEBjM1MkYagoPavtDHOTX-pcMJrsEapWGW5Rc81Tp2cNtfwgJL2ZTEMQLusqHxhB9lD_fDJQr76rBc1qQwBwZwJxCfkgpBAlZkLE4XwNXRf-HnHPeC2vgpO-6_kFBB4DjGag9dGGAa9wXiEo8R9c-zecD-bbXXiVMSA2XkUpjU7hZZ66KBF22WCJh8BuwCq0xziW4YccTdDVYD8cswvx0huRQiio1x2tIsZmht6axhaWfWNbX9Hk_aeJDTbD9Uf5rg3oZ2b0NFK8DGBo4ZZ_qdPk3HY1tV-ePNkrgP0_Ooo88JA4B1k6HRLie-NnEBb-ju7XBGki5XdzJrrqyS_UyusxArKNOH3dCYy8Q0f7SW__c8MiCU0flmAU1L,BaGhetto Milky
7359,verified,llm-yes,"LLM אישר (0.92): בלהקרנה (Bella Carne) - identical exact address Via del Portico d'Ottavia 51, Rome. Same kosher restaurant, Hebrew name vs Italian transliteration variant. Address match is definitive despite name difference.",בלהקרנה,"Via del Portico d'Ottavia, 51, 00186 Roma RM, Italy, Rome",Rome,Italy,IT,41.8933203,12.4829321,ChIJzQT_30tgLxMR_RSwPOBOnwg,BellaCarne Kosher Restaurant,"Via del Portico d'Ottavia, 51, 00186 Roma RM, Italy",41.8926757,12.477886699999999,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=621301998598231293&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 683 3104,4.1,1934,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: 12:00 – 3:00 PM | Saturday: 9:05 – 11:00 PM | Sunday: 12:00 – 10:30 PM,yes,places/ChIJzQT_30tgLxMR_RSwPOBOnwg/photos/AaVGc3npk53dgFuUYqu-SyXL1Vu0N3DOPt2Vwe8ub8CyCmJyKRpYft2UYM8s1TplLbrC9847Zob4ujGn7-zYK6B62mT3Q5EQCE8VArIIRtU6kRZqrwe-wopOfVf-OI3G2ZHEBmEFqX7rJ3H17LHACAf5OXumNocmWyobg5VRSDOKQ3ZwYpsOpRbVxXMcxZKJjpqVvAIuhCqi-j1g71KcSeMNGvYZd1BfeFx6eEEtqoCWisBsoio-FkYgS1JAq3sZRDjB6RBVB3zzjiyeHWK13hXXgGe1KGYt4Tjl_TJDP7qmup1VgRFA2wiJqWdzuwcR7sjbaDP6YWZePeir5NfuPiSGJzvfSHKYVft7C0BgQDNh3aNw890e8qRLYaxXv8kDKtY6o9OedHRATIRLNjYVOGc0Jh4aQeQHXJPYkhF2GsWHbuoNnw,BellaCarne Kosher Restaurant
7360,verified,llm-yes,"LLM אישר (0.92): שם דומה מאוד (סה פסטה אה פסטה vs C'è pasta... E pasta!) - שניהם משחקים על משחק מילים של 'פסטה'. כתובת זהה בדיוק (Via Ettore Rolli 29/35, Rome). שניהם מסעדות/חנויות מזון. הסטטוס פעיל. ההבדל בשם הוא תרגום/תעתיק מאיטלקית להברה דומה בעברית. הכתובת תואמת במדויק.",סה פסטה אה פסטה,"Via Ettore Rolli, 29, 00153 Roma RM, Italy, Rome",Rome,Italy,IT,41.8933203,12.4829321,ChIJk9hVxyZgLxMRG--Sa5ZZvYM,C'è pasta... E pasta!,"Via Ettore Rolli, 29/35, 00153 Roma RM, Italy",41.874172099999996,12.467804500000002,OPERATIONAL,food_store,food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=9492842092151631643&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 5832 0125,4.4,469,"Monday: 8:30 AM – 3:00 PM, 5:00 – 8:30 PM | Tuesday: 8:30 AM – 3:00 PM, 5:00 – 8:30 PM | Wednesday: 8:30 AM – 3:00 PM, 5:00 – 8:30 PM | Thursday: 8:30 AM – 3:00 PM, 5:00 – 8:30 PM | Friday: 8:30 AM – 3:00 PM | Saturday: Closed | Sunday: 8:30 AM – 3:00 PM",yes,places/ChIJk9hVxyZgLxMRG--Sa5ZZvYM/photos/AaVGc3kj9wnQWHaKYSPnJV-hQhGF5D3fa6_C7yyzf0xEjzgQD2OFg_m_m2QLDAXohc16uGMmLgIR5QwOMzRZEIcvBUHAV5CTFmSbtpnA8sajWwzPEYWwiY_J-gtdskQ6uD4IWlpxzMGnBa9bODtdB4hs5jQgLbZH-9xKkWO9eT0EVCS_fYpiKJ1KRHCyF6MK06OphnpiYinJXmP8PcFJe-1XUuow3cMzytRO1OlYPQiz0pP64Pp4Wfz9QsebIBFQTE7GqzZ9qwpSMNPUkRhMJgGz8nwkN7w-vPwQt5EIO21isw-e7P-Q3M3nMvqnLUpxgK--FBP3Kk5Znsl1oVs8oMwNF2IUWliVOkJVLauogdsa_7O-4m118CeGuAhEgsinx6Xm8MzmoZiOCgFsSJoaFQMKvrIXN2T1uhcCtjiztfmT45kvDUUx,C'è pasta... E pasta!
7361,no_match,llm-no,"LLM דחה (0.85): שם דומה אך כתובות שונות משמעותית - Via Polesine 16/18 לעומת Via Cremona 42, מרחק של 3.6 ק״מ בין הכתובות. אולם שתיהן באותו קוד דואר (00161 Roma). השם 'Little Tripoli'/'ליטל טריפולי' תואם, אך המיקום הפיזי שונה מספיק כדי להיות שני עסקים נפרדים. אפשר שעסק אחד עבר לכתובת חדשה, אך זה דורש אישור נוסף.",ליטל טריפולי,"Via Polesine, 16/18, 00161 Roma RM, Italy, Rome",Rome,Italy,IT,41.8933203,12.4829321,ChIJm3IUj3BhLxMRIBKKZb2zn9s,Little Tripoli,"Via Cremona, 42, 00161 Roma RM, Italy",41.9107876,12.519338900000001,OPERATIONAL,restaurant,israeli_restaurant;mediterranean_restaurant;halal_restaurant;italian_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=15825565241636950560&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 6422 0481,4.7,518,"Monday: 12:30 – 3:00 PM, 7:00 – 11:00 PM | Tuesday: 12:30 – 3:00 PM, 7:00 – 11:00 PM | Wednesday: 12:30 – 3:00 PM, 7:00 – 11:00 PM | Thursday: 12:30 – 3:00 PM, 7:00 – 11:00 PM | Friday: Closed | Saturday: Closed | Sunday: 12:30 – 3:00 PM, 7:00 – 11:00 PM",yes,places/ChIJm3IUj3BhLxMRIBKKZb2zn9s/photos/AaVGc3m_8hLQnA76x0Q3_Ba9rMuSnybPjzu763y5MhqhqPHdBcXkoQn9iyDYaG2rrImwj2uPsUVgOeQLfsGrTbGQ4dxzWsgMra-dykW95pDsXlB2kvbHlN9vyJlEj3aJaC8cfAzIs8H7IYFYdlD22rSqvdGrs32It0G88UwIKSE0_za0lSQxin6b9hyUhNoEeFXCtKljMDtPPx3kdi3nyX8tjTEA2NXYvE6ETaD0b1W6xGrMdoUhdZ7ZEL8yt4BVDMZtQ6wOIP4bgN-AK_SynU039eBg-BjWP2nv0HwmeIWjZ-NRvXOqQg5xphywG9h5eFL1_YdCAaBrrnhrJ3nced5bUhWk9_H30afEXSz-qKd-qayvUvFCm2PHZLYuA_H1WbDnaFWjO23FAfzRvSJaYRS8ias23arSO28qdEvh5OjmcuQ,Ari Berkowitz
7362,no_match,rules-no,weak name/address match,פסטיצריה בוציאונה,"Via del Portico d'Ottavia, 1, 00186 Roma RM, Italy, Rome",Rome,Italy,IT,41.8933203,12.4829321,ChIJm9lD75NhLxMRsGLL1wA3yJI,De Santis Santa Croce,"V. Santa Croce in Gerusalemme, 17/21, 00185 Roma RM, Italy",41.8892599,12.513582,OPERATIONAL,pastry_shop,pastry_shop;brunch_restaurant;coffee_shop;dessert_shop;cafe;confectionery;bakery;food_store;store;bar;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=10576764201639568048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 7030 1912,4.3,1561,Monday: 5:15 AM – 10:00 PM | Tuesday: 5:15 AM – 10:00 PM | Wednesday: 5:15 AM – 10:00 PM | Thursday: 5:15 AM – 10:00 PM | Friday: 5:15 AM – 10:00 PM | Saturday: 5:30 AM – 10:00 PM | Sunday: 5:30 AM – 9:30 PM,yes,places/ChIJm9lD75NhLxMRsGLL1wA3yJI/photos/AaVGc3nMW_O8RJJzvX-Xfi8jomAsqUsKvSEpH_kC-sa37p0o7zhKZWk57sM8atOd11sInMuBx-BtnG_r8voMlp0-j2pIpHEcCxWRsEu5LgskWtSKyNwDDfnRMMRHjb8LIr8moHnT9RTF7Akwvo_liAAWSmsBgvYYC-1lZ56b-1J4DEPzI2RZ5wrBHMNiaUN9QMOJpkwhcphGPLPYRTdNk4GKRBtf1UIJ3ZyvNjlIX_ZnLK_PVsvROg99AV278xPv1z_koi93qPxIN0JgcvzSX4B2-BHdvZ9SsZkXcr_ic6n-GYca6zHC-dI-a3PxTYUvQ9913m1S89q1n8JzxnKjbNYfVft6U3OKyRmN7H6zOkWvXJH3Wkdfzovky3MBIrur9820PyjZAVAnO-B_eVcKF7KGF3hAHVp8zLJbsMqDKpZmUOTlFA,De Santis Santa Croce
7363,verified,llm-yes,"LLM אישר (0.95): יטבתה (Yotvata) - same exact address (Piazza Cenci 70, Rome), same food business type, Hebrew name transliteration match. City match issue in deterministic analysis is a false negative (Rome is clearly the city for both). Unique kosher restaurant name with identical precise coordinates confirms same physical location.",יטבתה,"Piazza Cenci, 70, 00186 Roma RM, Italy, Rome",Rome,Italy,IT,41.8933203,12.4829321,ChIJL--PHklgLxMRoVGT5rcpets,Yotvata,"Piazza Cenci, 70, 00186 Roma RM, Italy",41.8925993,12.4755071,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=15814998911289086369&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 6813 4481,4.3,1633,"Monday: 12:00 – 3:00 PM, 6:30 – 11:00 PM | Tuesday: 12:00 – 3:00 PM, 6:30 – 11:00 PM | Wednesday: 12:00 – 3:00 PM, 6:30 – 11:00 PM | Thursday: 12:00 – 3:00 PM, 6:30 – 11:00 PM | Friday: 12:00 – 3:00 PM | Saturday: 6:30 – 11:30 PM | Sunday: 12:00 – 3:00 PM, 6:30 – 11:30 PM",yes,places/ChIJL--PHklgLxMRoVGT5rcpets/photos/AaVGc3nDKFYhuykPFCLmB8PwqdjfILVx5PO2po-wS12US78elMEd58YsDtxdqXCCqNZPdAqQTrdCHnYv69oquOUSt_M6anBBzcvOEI8FN1lOhyy6sM8PTP51xZ_LJ7My3a5TCmbrEX_63vFWr1r8xBP18ugJyDCjqZPEkdJgy7oRPRHv_HWO5jOjDKiZoixqSw38-CYRCiyEHvlsKvDjp4Ra22B3Uw9yIh6rG-uHifO0zfU6DZn4WLWuZVRQQ5q49f-DO7UTzmakJXCoaNB5DOS-pZw7gk9-fve5as2w5Uq4Ys3sO1jmUzRZEMn6gagdrnqGeyCigP_IM_Cnx1hW0_MJq4xYtvme84WmMLLtTha4VwLGao1fWPhMr4oDRWfkcXEEuFs2ll-iXvqBdpfImDFLi9qnYt6GkSzIqS0k_9X9Cbam6L3y,suzy n
8350,verified,rules-yes,name + city + street match,Ba'Ghetto Meat,"Via del Portico d'Ottavia, 57, Rome, 00186, Italy",Rome,Italy,IT,41.8933203,12.4829321,ChIJ1dUtz-JhLxMR646lrcfW_vE,BaGhetto Milky,"Via del Portico d'Ottavia, 2/A, 00186 Roma RM, Italy",41.8931237,12.4772146,OPERATIONAL,restaurant,pizza_restaurant;italian_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17437610960325283563&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 9480 1372,3.9,1254,Monday: 12:00 – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: 7:00 – 11:30 PM | Sunday: 11:00 AM – 11:00 PM,yes,places/ChIJ1dUtz-JhLxMR646lrcfW_vE/photos/AaVGc3mGpQ9twbQE_GhbvoNgCqHJ1DLjAGj0sCYoQ2JweOmikwbTxPnNz-NEBjM1MkYagoPavtDHOTX-pcMJrsEapWGW5Rc81Tp2cNtfwgJL2ZTEMQLusqHxhB9lD_fDJQr76rBc1qQwBwZwJxCfkgpBAlZkLE4XwNXRf-HnHPeC2vgpO-6_kFBB4DjGag9dGGAa9wXiEo8R9c-zecD-bbXXiVMSA2XkUpjU7hZZ66KBF22WCJh8BuwCq0xziW4YccTdDVYD8cswvx0huRQiio1x2tIsZmht6axhaWfWNbX9Hk_aeJDTbD9Uf5rg3oZ2b0NFK8DGBo4ZZ_qdPk3HY1tV-ePNkrgP0_Ooo88JA4B1k6HRLie-NnEBb-ju7XBGki5XdzJrrqyS_UyusxArKNOH3dCYy8Q0f7SW__c8MiCU0flmAU1L,BaGhetto Milky
8351,verified,rules-yes,unique name matches + same city,Ba'Ghetto Milky,"Via del Portico D’Ottavia, 2/a, Rome, Italy",Rome,Italy,IT,41.8933203,12.4829321,ChIJ1dUtz-JhLxMR646lrcfW_vE,BaGhetto Milky,"Via del Portico d'Ottavia, 2/A, 00186 Roma RM, Italy",41.8931237,12.4772146,OPERATIONAL,restaurant,pizza_restaurant;italian_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17437610960325283563&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 9480 1372,3.9,1254,Monday: 12:00 – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: 7:00 – 11:30 PM | Sunday: 11:00 AM – 11:00 PM,yes,places/ChIJ1dUtz-JhLxMR646lrcfW_vE/photos/AaVGc3mGpQ9twbQE_GhbvoNgCqHJ1DLjAGj0sCYoQ2JweOmikwbTxPnNz-NEBjM1MkYagoPavtDHOTX-pcMJrsEapWGW5Rc81Tp2cNtfwgJL2ZTEMQLusqHxhB9lD_fDJQr76rBc1qQwBwZwJxCfkgpBAlZkLE4XwNXRf-HnHPeC2vgpO-6_kFBB4DjGag9dGGAa9wXiEo8R9c-zecD-bbXXiVMSA2XkUpjU7hZZ66KBF22WCJh8BuwCq0xziW4YccTdDVYD8cswvx0huRQiio1x2tIsZmht6axhaWfWNbX9Hk_aeJDTbD9Uf5rg3oZ2b0NFK8DGBo4ZZ_qdPk3HY1tV-ePNkrgP0_Ooo88JA4B1k6HRLie-NnEBb-ju7XBGki5XdzJrrqyS_UyusxArKNOH3dCYy8Q0f7SW__c8MiCU0flmAU1L,BaGhetto Milky
8352,verified,rules-yes,unique name matches + same city,Bellacarne,"via Portico d'Ottavia 51, Rome, Italy",Rome,Italy,IT,41.8933203,12.4829321,ChIJzQT_30tgLxMR_RSwPOBOnwg,BellaCarne Kosher Restaurant,"Via del Portico d'Ottavia, 51, 00186 Roma RM, Italy",41.8926757,12.477886699999999,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=621301998598231293&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 683 3104,4.1,1934,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: 12:00 – 3:00 PM | Saturday: 9:05 – 11:00 PM | Sunday: 12:00 – 10:30 PM,yes,places/ChIJzQT_30tgLxMR_RSwPOBOnwg/photos/AaVGc3npk53dgFuUYqu-SyXL1Vu0N3DOPt2Vwe8ub8CyCmJyKRpYft2UYM8s1TplLbrC9847Zob4ujGn7-zYK6B62mT3Q5EQCE8VArIIRtU6kRZqrwe-wopOfVf-OI3G2ZHEBmEFqX7rJ3H17LHACAf5OXumNocmWyobg5VRSDOKQ3ZwYpsOpRbVxXMcxZKJjpqVvAIuhCqi-j1g71KcSeMNGvYZd1BfeFx6eEEtqoCWisBsoio-FkYgS1JAq3sZRDjB6RBVB3zzjiyeHWK13hXXgGe1KGYt4Tjl_TJDP7qmup1VgRFA2wiJqWdzuwcR7sjbaDP6YWZePeir5NfuPiSGJzvfSHKYVft7C0BgQDNh3aNw890e8qRLYaxXv8kDKtY6o9OedHRATIRLNjYVOGc0Jh4aQeQHXJPYkhF2GsWHbuoNnw,BellaCarne Kosher Restaurant
8353,verified,rules-yes,name + city + street match,Bona Pizza Romana,"Via del Portico d'Ottavia, 7, 00186 Roma RM, Italy, Rome, 00186, Italy",Rome,Italy,IT,41.8933203,12.4829321,ChIJWdalkethLxMRF1zuYCUWNDg,Bona | Pizza Roma [ Ottaviano ],"Via Ottaviano, 13/15, 00192 Roma RM, Italy",41.906850899999995,12.457673999999999,OPERATIONAL,pizza_restaurant,pizza_restaurant;meal_takeaway;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=4049886314708753431&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 4559 7654,3.6,1375,Monday: 9:30 AM – 9:30 PM | Tuesday: 9:30 AM – 9:30 PM | Wednesday: 9:30 AM – 9:30 PM | Thursday: 9:30 AM – 9:30 PM | Friday: 9:30 AM – 9:30 PM | Saturday: 9:30 AM – 9:30 PM | Sunday: 9:30 AM – 9:30 PM,yes,places/ChIJWdalkethLxMRF1zuYCUWNDg/photos/AaVGc3nQnA5ONMoRLMClfJrTWRQ2g4jV2t2QW5MdUzaP05mWQGXz8QPL4ZcVy7BuqBfEnAyV0B_JLigtpGlTf5GOzsD_2snvc8bPFyfuJd78E9twdaRxIxhkjZdZ78mLhs7uWFH18bv3E2OJzZC0a2qQeQal8U65pAlav2C1QXSkUuLsnrngrRixV-UW_9Qrm-f7vPxG0kBlYLnSNsBqXhbfrTEwcaF3yxbnfKz3BFllrJndAv2ktNJW6qNO1TtUp2Zc2ffhJfypUwCCaa_RaxANNV2XxmsvUyVi4BQ76CTLAtYbyt8f0dKXSXDonaAe2vwT1yQEU1wrzsdQcLgemtqEvuE4w0wtm2ATFTYX-EQhdob78qA_8UDnLfOLVT-Hiv_UqSXlx-r6d_H88hEpMHbrvLi4ZT-za7zEZcCzJUO2OxYJ_A,Mauro Musa
