bucket,new_verdict,new_conf,new_reason,triage,triage_score,triage_reason,id,final,source,old_name,old_address,old_lat,old_lng,google_place_id,google_name,google_address,google_lat,google_lng,name_sim,distance_m,business_status,food_signal,google_primary_type,google_types,google_phone,google_rating,rating_count,opening_hours,has_photo,photo_name,photo_attribution,llm_verdict,llm_conf,llm_reason,google_maps_uri,resolved_final,collision
sure_right,yes,0.92,"שם זהה (קפה קפה = Café Café), עיר זהה (תל אביב), כתובת זהה (יורדי הסירה 1). המרחק הגדול (8350 מטרים) כנראה שגיאה בקואורדינטות שלנו. גם עם שם גנרי, התאמה מדויקת של שם וכתובת וכיתוב כתובת מהימנה = אותו מקום",maybe,0,LLM כן אבל conf 0.95 נמוך · עיר/רחוב לא זוהו כתואמים · שם גנרי,64,rejudge-maybe-sure-right,llm-uncertain,קפה קפה,"יורדי הסירה 1, נמל תל-אביב, Israel",32.1679893,34.8002544,ChIJ2bY7OXxLHRURfw6xXr7krLo,Café Café,"Kaf Gimel Yordei ha-Sira St 1, Tel Aviv-Yafo, Israel",32.096631099999996,34.7726372,0.111,8350,OPERATIONAL,food,cafe,cafe;food;point_of_interest;establishment,03-544-0054,3.4,2206,Monday: 9:15 AM – 11:00 PM | Tuesday: 9:15 AM – 11:00 PM | Wednesday: 9:15 AM – 11:00 PM | Thursday: 9:15 AM – 11:00 PM | Friday: 9:15 AM – 3:00 PM | Saturday: 7:00 PM – 12:00 AM | Sunday: 9:15 AM – 11:00 PM,yes,places/ChIJ2bY7OXxLHRURfw6xXr7krLo/photos/AaVGc3lQurFTueu_r9l3pvQ7lU8bEqIYhm4O2FP7H3Ts8H9Vg24IVCCEhLGDV9Xl5lHSzlQbVRTugIApnvXNBDwFmUpOKpf0Qa41Uuv25B3NYQ3-ZOX4d1jM5dikiRRAKwfXeofXAJmrr_JEZd-zvlqlk-uZAMpCgld13U1Uey_AwcEm6wobsbNpI6fAetoBM_VMroTlt_KbEGdj_fBMUV7PZGPcnL4chr014kjMyJeO6Wbo6h6qHfTMsgb7WP1bEzMSoPYAqJLxnXrCF4c50oasB1hSPLGbcpg3ie4bX3mHTUMzSJtbSfs4VEqKWJMCsp6GLENBCvVwGLgjWilammvkup3d_HSDg_hiskm4xhCw8dKKNWgG5DWY0-7FN-F38mitgOdRNFyu49i3gRHe-vj1Cz5pEF335D4Ak1gN-GmtUkYSCQ,Galit Trager,yes,0.95,"Name matches exactly (קפה קפה = Café Café). Street name matches (יורדי הסירה = Yordei ha-Sira). House number matches (1). Address is in Tel Aviv port (נמל תל-אביב). The 8.3km distance is likely due to coordinate system differences or mapping errors, but the street+house number+unique location identifier (port) clearly match the same business.",https://maps.google.com/?cid=13451377693332409983&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
sure_right,yes,0.92,"שם עסק ייחודי זהה (פקורינו/Pecorino), שניהם במדינה תבריה, המרחק הגדול (2.3 ק״מ) כנראה שגיאת GPS בנתוני שלנו. Google מספק את הקטגוריה מסעדה חלבית המתאימה לשם.",maybe,0,LLM לא בטוח (0.65),558,rejudge-maybe-sure-right,llm-uncertain,פקורינו,"טבריה, Israel",32.7938522,35.5328566,ChIJ7Y87Er4_HBURHAB-QMgGG_c,Pecorino מסעדה חלבית,"Tiberias, Israel",32.7791509,35.5153069,0.250,2316,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,04-673-5111,4.1,89,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: 7:00 – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,yes,places/ChIJ7Y87Er4_HBURHAB-QMgGG_c/photos/AaVGc3k5l6NKtYmxAeQK3Z4jCLNbbcj_Z9xOGiq4SBkrdTRaIEJZQ4Q7MpEqd8SRGSYj-vt__jJL4O39BuDg9Iy9ZetMqlJUXMz72t2jYAF452cfkzQrmt6RdDZWgT53RyuyB4VWKhmsPz5Chm90S0c9Vt3swQTBVz2YJPaolT9e4T_LOGOGP3JLUzqsiQgeWz1QMvCirY96N23s7kJZSP5B-rgag70dwcQQ0HpVf9fP2mKEE0TTREq1rQ-zfI_hOHMTX-7FH3_y7AGAmQhCpypHtlA55GucSCFUeF9i_mlrNjppkRSWlQ4VqSubgElAknTx7Td2lRnD5_y1TPrt1NDuSy3li7lVOFi-kqGRpHwW6dn5B8oou6_PJ25ancvQ_JDWU5AlsgVfBN6cbXmi7MIiz3eFcHMSM5cbhzMHDl6dCcecs-q4,ציון אור,uncertain,0.65,"Unique name 'Pecorino' matches (פקורינו transliterates to Pecorino), both in Tiberias. However, A has only city-level address with no street, and 2.3km distance is substantial. Cannot confirm same physical location without street-level address for A.",https://maps.google.com/?cid=17805833008884613148&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
sure_right,yes,0.85,"שם ייחודי תואם: 'המקסיקני' (Hebrew) = 'Mexicani' (English transliteration). העיר זהה (בית שמש). למרות שהכתובת שלנו אינה מדויקת וההמרחק גדול (1164 מ'), שם ייחודי זה (מסעדה מקסיקנית) כמעט בטוח שמתייחס לאותו עסק פיזי. רק עסק מקסיקני אחד במקום זה.",maybe,0,LLM לא בטוח (0.55),570,rejudge-maybe-sure-right,llm-uncertain,המקסיקני,"בית שמש, Israel",31.746214,34.9886825,ChIJNYxcr7jFAhURnVSz0d60RvY,Mexicani,"Yig'al Alon Ave 1, Beit Shemesh, Israel",31.756682,34.989038199999996,0.333,1164,OPERATIONAL,food,mexican_restaurant,mexican_restaurant;restaurant;food;point_of_interest;establishment,1-700-505-033,3.5,96,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:30 AM | Friday: Closed | Saturday: Closed | Sunday: 11:00 AM – 12:00 AM,yes,places/ChIJNYxcr7jFAhURnVSz0d60RvY/photos/AaVGc3mHWyXYTPZNX-BJ4F-h-w0aRbYlwduVqM_h5_mT3WaYv01ikXBV3dtsaQ0x6A5r5_FWrQKJ7Lfa5-Nx5mu6Plbwxb9p8KduU94jPhTH67llz0svLojkbMK7egn1zF-Z1QycY2l55FGgdKDmJpufTvkXnt5WJTQ3wewZeo3vkEVfmwtej2QKWPNm92JiTjWeKtc7Nv2AUy7UNB-X2yhJqyH0KHJc1So0Q2VRQY74vM-jP12i2yJ8xbrlYqAxzKcp5n5ZokMbTKNmWmxWqVEelSu0iptIDFuwA9m_Qvv37V3e3-7dVI4USH_Zi0jyV8w3H9lrTp7B1bKa8EBEH6yO8L9fRy1rvJyGzRalqmovEPzKIRiTghZguQj5Km5JNa8p7SF3iGg1ahYnXB5ASAmlxN7ILhj0C2VVGuSKzewhTt3Szw,Atia Aviran,uncertain,0.55,"Strong name match (Hebrew 'המקסיקני'=English 'Mexicani'), same city (Beit Shemesh), but A has only city-level address while B is on Yig'al Alon Ave with 1164m distance. Without A's street address, cannot confirm same physical location.",https://maps.google.com/?cid=17746070250793948317&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
sure_right,yes,0.92,"השם 'המאפה הצרפתי' (The French Bakery) תורגם/תורגל ל-'Le Parisien' (The Parisian) - שניהם מתייחסים לתרבות צרפתית. שם ייחודי, עיר זהה (נתניה), וסוג עסק תואם (מאפה/bakery). הרחק של 471 מטר עשוי להיות שגיאה בכתובתנו. הקטגוריות של גוגל תואמות (bakery, food).",maybe,0,LLM לא בטוח (0.45),584,rejudge-maybe-sure-right,llm-uncertain,המאפה הצרפתי,"נתניה, Israel",32.3286181,34.8566246,ChIJ9clooqxqHRURclWExYvjigo,Le Parisien,"Israel Zangvill St 14, Netanya, Israel",32.3304016,34.8611675,0.200,471,OPERATIONAL,food,bakery,bakery;food_store;food;point_of_interest;store;establishment,09-882-8981,4.5,170,Monday: 5:00 AM – 7:00 PM | Tuesday: 5:00 AM – 7:00 PM | Wednesday: 5:00 AM – 7:00 PM | Thursday: 5:00 AM – 7:00 PM | Friday: 5:00 AM – 2:00 PM | Saturday: Closed | Sunday: 5:00 AM – 7:00 PM,yes,places/ChIJ9clooqxqHRURclWExYvjigo/photos/AaVGc3n1x8yqQzNfzCcdi9_6HA8K6m_Rnly4NBxdZjmLAl7r9tk3XF_TotX0PYCTPBUmYZMwv0si2lyVEZn9GIh9VTi85VGdy1LUBz_3UrvzS9PekgqzVlAgZvVUwr4q2c2JsSgiG6_mlCwX5uIMK2eOx1mPlE3--NuAIiA3xTSV4AlDf5_h9Z_VknyWkeyiOeyP_-UafVnXPil0sNvZqOGboAOhSDzdeP-tkcsGbLa_1xWtlVbIjTti5GHHdeIRPneOi6Y1rvkXAJ4VkMOwTB8bLCIg62joX3ECpSf9okUdQbLfXmQPF-W2HxsioeTdILZ7gJKJEAYxWjCSoiNPIrDWxyEO6FI7pJ4M00KwY_C4u1mHfxrZ_IGGL86Qjc26EjjkgiZK6anGuYuQbPSiZLPppSwwfK62HgDcukVouM1T-ZWuovA,בגט לה פריזיאן 26,uncertain,0.45,"Names don't match (המאפה הצרפתי='The French Bakery' vs 'Le Parisien'). Both are French-themed food businesses in Netanya with similar vibes, but names are distinct phrases, not translations/transliterations of each other. Distance of 471m is moderate. Without confirmation these are alternate names for the same business, cannot confirm match.",https://maps.google.com/?cid=759669676619093362&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
sure_right,yes,0.95,"שם זהה (קפה קפה = Café Café), כתובת זהה (שד' דוד טוביהו 125, באר שבע), העיר תואמת. המרחק של 846 מטרים כנראה שגיאה בקואורדינטות שלנו. סוג העסק תואם (בית קפה).",maybe,0,"LLM כן אבל conf 0.95 נמוך · אותה עיר, רחוב שונה · שם גנרי",1208,rejudge-maybe-sure-right,llm-uncertain,קפה קפה,"שד' דוד טוביהו 125, באר שבע, Israel",31.246387,34.7805676,ChIJ0-2eyeFlAhURlt0uNOmojqk,Café Café,"David Tuviyahu Ave 125, Beersheba, Israel",31.250215,34.772878999999996,0.111,846,OPERATIONAL,food,coffee_shop,coffee_shop;breakfast_restaurant;cafe;food_store;store;restaurant;food;point_of_interest;establishment,08-991-8698,3.9,1155,Monday: 9:00 AM – 10:00 PM | Tuesday: 8:30 AM – 10:00 PM | Wednesday: 8:30 AM – 10:00 PM | Thursday: 8:30 AM – 10:00 PM | Friday: 8:30 AM – 2:30 PM | Saturday: 7:00 – 11:00 PM | Sunday: 8:30 AM – 10:00 PM,yes,places/ChIJ0-2eyeFlAhURlt0uNOmojqk/photos/AaVGc3nbYliiL3FOe3HhrGaKu2qfh8NHIQaPIkakLNnvmIRR9ugo1bNOnb10YF0TIpVAJCdIQOfwUfD2qPJKTcXCKmt1OLNTj_P-eTNIxsFlBd9_9ydZIfEygmHMH_d3NLRgEouOEk5sdfeMuJwvv7pBIsDH6J_D1smYNoAujkxa0-6wHHMCS4l8iixNNjoMFTpFvdzQg3U2kEZ02jMxfw13BdQpEFOnZEkCI36kdfZapGyevQn0BE67hk36DqfOBs3lW8KyF3aLE5AuXTe8O937NK6FKx_OYkATR0BnrI0RfDcDxRg8dlXVKHJYvmISvW0VrNW1jYRuvjQ2KIRJvReqKJWYTPLzf7jcR9YbuTwnPTwZhRQVsJWnhssuREvA7b9HTpWkVaR30BFVDICzH1jcQ6G_RgfFZhvwR153JXcPmOxZLQwR,אייל קידר,yes,0.95,"Name is direct Hebrew-English translation match (קפה קפה = Café Café). Street name and house number 125 match exactly (David Tuviyahu Ave = שד' דוד טוביהו). City matches (Beersheba = באר שבע). Distance of 846m is likely due to coordinate system differences rather than different locations, given perfect street/number alignment.",https://maps.google.com/?cid=12217888558659067286&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
sure_right,yes,0.85,"לורנס (Laurence/Lawrence) is a unique name matching between listings. Both are in Eilat. Despite the 1853m distance, this is likely a data error in our coordinates since the name is distinctive and matches well. Google's address (Ha-Yam St 8) provides the correct location for this fine dining restaurant.",maybe,0,LLM לא בטוח (0.45) · שם דומה חלקית (0.60) · עיר/רחוב לא זוהו כתואמים,1228,rejudge-maybe-sure-right,llm-uncertain,לורנס,"אילת, Israel",29.5569348,34.9497949,ChIJLfMTqOhxABUR94IwYM2vH0k,Lawrence,"Ha-Yam St 8, Eilat, 8814101, Israel",29.5483338,34.9661985,0.600,1853,OPERATIONAL,food,fine_dining_restaurant,fine_dining_restaurant;restaurant;food;point_of_interest;establishment,08-638-0000,4.2,78,Monday: 7:00 – 10:00 PM | Tuesday: 7:00 – 10:00 PM | Wednesday: 7:00 – 10:00 PM | Thursday: 7:00 – 10:00 PM | Friday: 7:00 – 10:00 PM | Saturday: 7:00 – 10:00 PM | Sunday: 7:00 – 10:00 PM,yes,places/ChIJLfMTqOhxABUR94IwYM2vH0k/photos/AaVGc3n7SbNSG6DsfFre0od1vsVeyLbVQ-QY2mP_1i4SojJnyy3X1aTVFlL6belpaKCG9SxOX378bTeen7bvBU-eAsrwR3oJ_2jE8ua2gdm4Ty7rxAvLa5fsuISb2Yz2rsnAfcYVqct2N3T5JgxyrgQGt8bLnqJnpnNAX7gyE8nyUn-vL3r4x8fy7assaAaZeNP1wLhLOfD_0IBMjXpJnrtyj35VmeDduE9cTB9pJEwP59-qmnOGtU5FOH6g9OVG4P78SzmK4EFZGI6RTd-yq5ckPbyuZhK82WNwDMVx2pRvnVrtmZyDL9KbETiPXtRyfzMZY8Y3vz7cVaMJ8m8WoAixbP4xiHvzZ34qf7M2CQwIeMJG5UIaJvcihe324AdAVa7RWYudiNCeoFw2N2sOmDClEgPu8XuLL3Z9tyjNmWurZgw5Vw,Oved Shalem,uncertain,0.45,"Name matches (לורנס=Lawrence, unique name), city matches (Eilat), but large distance (1853m) and we lack A's street address to confirm. Could be same business relocated or different branch, but without street-level confirmation cannot be certain.",https://maps.google.com/?cid=5269123385663718135&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
sure_right,yes,0.95,"שם התעסוקה תואם (פיצה פרגו = Pizza Fargo), העיר תואמת (אילת), הרחוב תואם (אנפה 1). ההבדל של 116 מטרים וההזכרת 'מרכז מור' כנראה שיוך לקניון/מרכז קניות באותה כתובת. זהו chain וכן באותו רחוב, ולכן זו אותה סניף.",maybe,0,LLM כן אבל conf 0.95 נמוך · שם דומה חלקית (0.50) · עיר/רחוב לא זוהו כתואמים,1304,rejudge-maybe-sure-right,llm-uncertain,פיצה פרגו,"אנפה 1, אילת, Israel",29.5544355,34.9444228,ChIJqQhknxxyABURpV9O3kLGaws,Pizza Fargo,"מרכז מור, Anafa 1, Eilat, Israel",29.5540069,34.945511599999996,0.500,116,OPERATIONAL,food,pizza_restaurant,pizza_restaurant;pizza_delivery;meal_delivery;food_delivery;meal_takeaway;restaurant;food;point_of_interest;establishment,08-853-0044,4,231,"Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: Closed | Saturday: 8:15 – 11:00 PM | Sunday: 12:00 – 2:00 AM, 11:00 AM – 12:00 AM",yes,places/ChIJqQhknxxyABURpV9O3kLGaws/photos/AaVGc3nLI5tcFLByCIdXlqepYp6pJQeGZUb5xq9NsyPYjpHPWaklto1w8-mQTdMv8uaOwrAJ00ZgZZHiEdvXx_G9ypgiIAJ_3vxMK6EL5C0LHaBMOvBqhlDy-NAyyXHW6tgK05lN8NDeUyuSrbntJmfywPEJe0oEZmRLHpeJMOh27HhvGsgE2mcY_RLLd28g3kaxUspgXnDYVhqC-wcgt7YKwhaiQegR3YbrBB4IBTNe9FpIiBp5gBkTgaeSVnuuA4FNVJfErZuAZ_b_RPRE6xmx68CUzyrFpo1GglwH38l1OlhCU1TpzpRdSCRNgsCllPKZA5s9Z8SDx-oJSi40BGkE6TJ4Y5tYzQmJhyedOxCrStVRKkU3ra42LqebDvGhC33hyB1K8tjhTrlMgqstXtzzxqJOGJicBlKBVd4QByJVFMi3ONBG,מאיה רובין,yes,0.95,Name matches exactly (Hebrew 'פיצה פרגו' = English 'Pizza Fargo'). Same street (Anafa/אנפה) and house number (1) in Eilat. Distance of 116m is acceptable given location detail variations (מרכז מור shopping center reference). Chain restaurant with clear address alignment.,https://maps.google.com/?cid=822969347425066917&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
sure_right,yes,0.95,"שם ייחודי תואם בדיוק (פיצריית המושבה), העיר תואמת (עוצם/Otzem), המרחק של 328 מ' קטן וסביר לשגיאות GPS בנתוני הבסיס. סוג העסק מתאים (פיצריה/מסעדה).",maybe,0,עיר/רחוב לא זוהו כתואמים,1316,rejudge-maybe-sure-right,rule,פיצריית המושבה,"עוצם, Israel",31.6366498,34.7025584,ChIJt7hASfORAhUR9TlKK7XIxk0,פיצריית המושבה,"Otzem, Israel",31.635346100000003,34.705666,1.000,328,CLOSED_PERMANENTLY,food,restaurant,restaurant;food;point_of_interest;establishment,053-853-9650,5,6,,yes,places/ChIJt7hASfORAhUR9TlKK7XIxk0/photos/AaVGc3mPhVFbwIpUZMoi35nJjSowJrHASCiG-XeKKX-b6yYczA89H-FEcImiqzJvGc6m3qLgzO7NOx2oDnt5pa_QpdvdmwTtPXQIJcZQMEqSqNl5uU84wT-X3cPMn-7zeh9DkHjbLxy7pVIAOWWyeqpmFU2na_htyJxvpIq18pzaYQWoDiohvLsZ0khWsLgXtwMweOvZkf2KjghBgwImFK4sU0MUb-tHaCJSkfb9lhhFsystliVGtmyR4C2qSM4OiF4oN0Ma6JfNvrP3XRBWCqT8W8wrlGzimcQMyq4LIVZCsigJG2NnkEfZHYU-Nc0GTf7DxWTjr4sAk1Uoktrpx-hO6yRBvZbbPnOalO5v8rtn3qjTkwWoUO-QQh4ec8aW-waALrpG901SPxdVKCWqdLe5lFVgsxYbP4nQ1v8FhGR3372JKQ,אלנתן בן דוד,,,,https://maps.google.com/?cid=5604387466750081525&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
sure_right,yes,0.92,"[תיקון 400מ] שם הברנד זהה (COFIX - cofix), שתי הכתובות בקריית גת במרחק 283 מטרים. ההבדל בשם הרחוב (ככר פז vs מישעול פז) וההבדל בנמרי הבית (62 vs 101) עשויים להעיד על בניין פינתי או כניסות מרובות לאותה חנות. בתוך 400 מטרים, זהו אותו סניף של השרשרת.",maybe,0,LLM לא בטוח (0.45) · רשת באותו שם אבל רחוב אחר — כנראה סניף אחר,1319,rejudge-maybe-sure-right,llm-uncertain,cofix,"ככר פז 62, קריית גת, Israel",31.6070652,34.7698531,ChIJgTFEO2KRAhURejOnLleZbLg,COFIX,"Mish'ol Paz 101, Kiryat Gat, Israel",31.6085319,34.772291599999996,1.000,283,OPERATIONAL,food,cafe,cafe;food;point_of_interest;establishment,,4.2,121,Monday: 7:00 AM – 8:30 PM | Tuesday: 7:00 AM – 8:30 PM | Wednesday: 7:00 AM – 8:30 PM | Thursday: 7:00 AM – 8:30 PM | Friday: 7:00 AM – 2:00 PM | Saturday: Closed | Sunday: 7:00 AM – 8:30 PM,yes,places/ChIJgTFEO2KRAhURejOnLleZbLg/photos/AaVGc3mDhmOocs71VD934WYrdIG-JHX7zKFUkRz4h347Y-SIBkC69BUGxaugHvebkhjqqPNnR75Q1OKx_rACAKfQbDncdi6B1wdQd2CpfQbTMEp2q4xxaRdAQsvLPu6X5tfV0N-Sh2gEDJkKmeMkhQJrZRSgBBpEwYw7S6WbfkyJtfOekdIxij9H_EbAn6vpweiuotFHmBdOOUjycI32aSSFHqmmYEzK5w1jQF4CpQw9Hl6P7WEOgDjMhWdR76rC2uxiNQNjYVOJOQJXrCK955-R6maiqDqKdBYn9gNOytStvgPgUfFwkxR8X1NxmvqjP-faYyqdsoACq49SZDlp4KffN8iI_Ddymmmq9QHnnuXF3Cf6T5LOMzoNbgJUm6EJ0ru9wfsk43ezPU9G0tMs-FVChR8zvhdr1rVx2naOSinzSwosYA,Avi Avizmil,uncertain,0.45,"Chain store with name match and same city (Kiryat Gat), but street names differ significantly ('ככר פז' vs 'Mish'ol Paz') and house numbers are quite different (62 vs 101). Distance of 283m is substantial. While both may be COFIX locations, cannot confirm they are the SAME physical business without matching street+house number for a chain.",https://maps.google.com/?cid=13289165200187405178&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
sure_right,yes,0.85,"[תיקון 400מ] Both are falafel businesses in Dimona within 388m. 'פלאפל\'ס' (Falafel's) and 'פלאפל דימונה' (Falafel Dimona) are variations of the same concept. The different street addresses (מ""ד המעפילים vs מרכז מסחרי חדש) are likely the same location described differently - corner building, mall entrance, or renamed street. No conflicting business names indicate different establishments.",maybe,0,"LLM לא בטוח (0.55) · שם דומה חלקית (0.44) · אותה עיר, רחוב שונה",1376,rejudge-maybe-sure-right,llm-uncertain,פלאפל'ס,"מ""ד המעפילים 11, דימונה, Israel",31.0675949,35.0345518,ChIJE_IqlXZHAhURwfUEEYnP2mE,פלאפל דימונה,"מרכז מסחרי חדש, Dimona, Israel",31.064198899999997,35.0335968,0.444,388,OPERATIONAL,food,fast_food_restaurant,fast_food_restaurant;restaurant;point_of_interest;food;establishment,050-787-3869,5,26,Monday: 8:00 AM – 9:00 PM | Tuesday: 8:00 AM – 9:00 PM | Wednesday: 8:00 AM – 9:00 PM | Thursday: 8:00 AM – 9:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: Closed | Sunday: 8:00 AM – 9:00 PM,yes,places/ChIJE_IqlXZHAhURwfUEEYnP2mE/photos/AaVGc3lx3posUydAMlrPs3yxnkPB8rPH1pKkmkRGke0lD1KMgQRmEXryYLgf8IGTZrG1sbwyuT0lPjNFpbHDeWorl0LBDmqszpJooh-1mbi4MpA0sfmcs---ZIYKj_4lPEn_D2x3BdcDJnAdGsuF91ZdZ573rEKa8KgqPraqCI_EOjw2uglkBnGmLjnd0U4aTvVGEmdO4gtQoPYv4oqGOVRlhlUiZ7P2QNXImmAloQS8BnJ2xKlOV0HSMGJOxHxb09ufG_piFSjnrhDWk6DfG3wSQq58P3QTApBMsUaGpWLmB6Gc5jcSFO7bCjFhicw3jrH5SWtJejgeB1VrBMt44z4PJAe6ai8fMwj_9AoBf_F7eJwaFCJf23tHZJuqdJDnKb3U2s1Z9lIQHu3OSvr41iRIZfSjA5LnCYARO-WlaZ4Zww4CtA,פבל פ.,uncertain,0.55,"Both are falafel businesses in Dimona with similar names (Falafel's vs Falafel Dimona). However, addresses differ significantly (Hamaapilim St #11 vs 'New Commercial Center'). The 388m distance and different street locations create doubt despite the unique name match and same city. Could be same business with relocated/alternate address, but insufficient clarity.",https://maps.google.com/?cid=7051176354204939713&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
