id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution,decision
7352,verified,llm-yes,"LLM אישר (0.95): Same address (U Milosrdných 849/6, Praha 1-Staré Město), same kosher restaurant type. Name variants: 'חב""ד גריל' (Chabad Grill) vs 'The Chabad Kosher GRILL'. Minor address formatting differences are inconsequential. Deterministic city mismatch is a false negative - both are in Prague's Staré Město district.","חב""ד גריל","U Milosrdných 849/6, 110 00 Staré Město, Czechia, Prague",Prague,Czech Republic,CZ,50.0874654,14.4212535,ChIJSa1bgcKUC0cRyNMRCRkmSwk,The Chabad Kosher GRILL | מסעדת גריל פראג,"6, U Milosrdných 849, 110 00 Praha 1-Staré Město, Czechia",50.0917035,14.421142,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=669670858562851784&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,728 186 832,4.4,893,Monday: 12:30 – 10:00 PM | Tuesday: 12:30 – 10:00 PM | Wednesday: 12:30 – 10:00 PM | Thursday: 12:30 – 10:00 PM | Friday: 11:00 AM – 2:30 PM | Saturday: Closed | Sunday: 12:30 – 10:00 PM,yes,places/ChIJSa1bgcKUC0cRyNMRCRkmSwk/photos/AaVGc3loNCOAUfiJnOc4E7bfZo0yc8pkPJ-Q0GdOIULkY0u4sg-DmsHYBvGeQqoajdxHE8x7DZiVdpDLMOHTo82DV_7ncmJsdiwcBrNv9ZeRR_SIBUDGynuWgCJ_3Hz_gPAeWTGovkkNWT64JRM0Kowg9NkfqXBeUYJxPCLqlsXErPOQbrW3xufsj3Z9HwlKq6JTPhJXXJFNtDjOBE_O6FF-8ybo5B2fszOFZ6EWXwND40gbrbZU2fIZYQZfN9oJrEhh0tM2gVeNpvHuepnmMqqj6dgN2KWx_NV2RGcL5j5xlK39ap75u0f4jWwvzy4T_8SSRtbAKd86nfhcuUjMfwaw31QJBzONWTukGWyxX_iZXINEs2bLaySLuM9kZc9GdwCuYuKGLZ1w3KnDdLsE9bR5gXr5ydC8hVrZRPC5TVIdQ4yl1dEX,The Chabad Kosher GRILL | מסעדת גריל פראג,
7353,no_match,rules-no,weak name/address match,דיניץ,"Bílkova 12, 110 00 Praha 1-Staré Město, Czechia, Prague",Prague,Czech Republic,CZ,50.0874654,14.4212535,ChIJWXuJPeiUC0cRpwzx2K8w7Qo,Pepenero Pizza & Pasta,"Bílkova 132/4, Josefov, 110 00 Praha-Praha 1, Czechia",50.090820099999995,14.419386500000002,OPERATIONAL,restaurant,restaurant;pizza_restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=787339041676790951&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,222 315 543,4.5,2488,Monday: 11:30 AM – 10:30 PM | Tuesday: 11:30 AM – 10:30 PM | Wednesday: 11:30 AM – 10:30 PM | Thursday: 11:30 AM – 10:00 PM | Friday: 11:30 AM – 10:30 PM | Saturday: 11:30 AM – 10:30 PM | Sunday: 11:30 AM – 10:30 PM,yes,places/ChIJWXuJPeiUC0cRpwzx2K8w7Qo/photos/AaVGc3ld470551_826b0zoFdGFCHypAXgRr_L6BCDcw9lHXhhfBbG_ZQteAyNujkQQh8eoRsLtoSnxuWMYT0RG8wGWt-k-JXab4wYzFFAqe3AgMud5WtiI64c-ngJZ3pW3V2TdFo3H_4728tCi9u7f1ReIK_QH336h1-8RV817ONktMPxSVuq7QWQ8erG_aTr0oxEymxpn80NFeM8V41P6VuEU4ODBd-mDygcXkqnJNPsuhezGIdy3XPVQSzLeKOY-YdSrI8qNLOY5CaNL9tHMSOK4NELdH41nHmWUD6xyHW2JcCKjPJuZawvKuFpUK4uXjp_LHs8LG-1YlBk2Izdz5S191hQBviNSzgmdmAw66q3vDGT-ML9u-YkUjWbIn_JFjST_MvNCZmx_OkF0TxTUAL7Mp2ZGN9SFixiFRZHo-EGkb8lw,Pepenero Pizza & Pasta,
7354,no_match,llm-no,"LLM דחה (0.85): A is a kosher meat restaurant (בשרי = meat/steakhouse), B is a hotel with lodging. Different business types despite same address. The name 'King David' in B matches 'המלך דוד' (King David) in Hebrew, but B's primary function is lodging/hotel, not a restaurant. They may share the same building, but are distinct entities.",המלך דוד – בשרי,"Hybernská 1674/42, 110 00 Nové Město, צ'כיה., Prague",Prague,Czech Republic,CZ,50.0874654,14.4212535,ChIJl_F5LJSUC0cR3qCF9Tcy2tQ,Kosher Hotel King David Prague,"42, Hybernská 1674, Nové Město, 110 00 Praha-Praha 1, Czechia",50.086598099999996,14.436764499999997,OPERATIONAL,hotel,hotel;lodging;point_of_interest;establishment,https://maps.google.com/?cid=15337626696887410910&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,224 100 100,4.4,1599,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,yes,places/ChIJl_F5LJSUC0cR3qCF9Tcy2tQ/photos/AaVGc3lelR7kILuYPk-0TkithUB2GpFY8GEVhBSIWrnCRz0zg_Txcvv1pzMvs76C_uPG1zRDEIUAjJAXlUZrsPbEu2cFsIeJZqM6sdXDt6Yq6W-KZ2XnhZJDxatQit_rtSTJphokm1UCbwfCnkZ-b2IXyKxC24BKYsdzdcPk0YJJUC5kMs_cMnScDrkswDy_BFjrQojdVuJ9rnacXNm5UwDWkaq-WzEv6Md6n5xY6iOnRHrfaeFFV6wcYhw9AE0pdcek7ziqyAC6Q3EB8AP8ig9H8FyAghOky0Ie7HB2CCRGq647oLpZZ4MYLGXJXR4HJEH8CV0-IrzWDkFagSPgYkt-xz3qx4LHhMBePI4rxDYKXoxFkHgqd8eUWOqaSNa2Dn8D9GIh_RS6Ao58Y5C45-ICCyRnPWiJo92yITWwU2rS9yb58ZYgbs5zUy3EhaEpLQ,Kosher Hotel King David Prague,apply_google_shadow
7355,maybe,llm-uncertain,LLM לא הכריע (0): unparseable,המלך דוד – חלבי,"Hybernská 1674/42, 110 00 Nové Město, צ'כיה., Prague",Prague,Czech Republic,CZ,50.0874654,14.4212535,ChIJl_F5LJSUC0cR3qCF9Tcy2tQ,Kosher Hotel King David Prague,"42, Hybernská 1674, Nové Město, 110 00 Praha-Praha 1, Czechia",50.086598099999996,14.436764499999997,OPERATIONAL,hotel,hotel;lodging;point_of_interest;establishment,https://maps.google.com/?cid=15337626696887410910&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,224 100 100,4.4,1599,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,yes,places/ChIJl_F5LJSUC0cR3qCF9Tcy2tQ/photos/AaVGc3lelR7kILuYPk-0TkithUB2GpFY8GEVhBSIWrnCRz0zg_Txcvv1pzMvs76C_uPG1zRDEIUAjJAXlUZrsPbEu2cFsIeJZqM6sdXDt6Yq6W-KZ2XnhZJDxatQit_rtSTJphokm1UCbwfCnkZ-b2IXyKxC24BKYsdzdcPk0YJJUC5kMs_cMnScDrkswDy_BFjrQojdVuJ9rnacXNm5UwDWkaq-WzEv6Md6n5xY6iOnRHrfaeFFV6wcYhw9AE0pdcek7ziqyAC6Q3EB8AP8ig9H8FyAghOky0Ie7HB2CCRGq647oLpZZ4MYLGXJXR4HJEH8CV0-IrzWDkFagSPgYkt-xz3qx4LHhMBePI4rxDYKXoxFkHgqd8eUWOqaSNa2Dn8D9GIh_RS6Ao58Y5C45-ICCyRnPWiJo92yITWwU2rS9yb58ZYgbs5zUy3EhaEpLQ,Kosher Hotel King David Prague,apply_google_shadow
7356,verified,llm-yes,"LLM אישר (0.95): שם ייחודי (שלום), כתובת זהה (Maiselova 250/18, Josefov), עיר זהה (Prague), טיפ מזון תואם (restaurant). ההבדל בפורמט הכתובת (250/18 vs 18, Maiselova 250) הוא וריאציה בכתיבה, לא שינוי בלוקציה.",שלום,"Maiselova 250/18, Josefov, 110 00 Praha-Praha 1, Czechia, Prague",Prague,Czech Republic,CZ,50.0874654,14.4212535,ChIJnWVsZ-iUC0cR-qbmxVb2e2E,Restaurant Shalom,"18, Maiselova 250, Josefov, 110 00 Praha-Praha 1, Czechia",50.0896415,14.418602700000001,OPERATIONAL,restaurant,grocery_store;food_store;store;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=7024478896362268410&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,224 800 808,3.9,60,Monday: 11:30 AM – 2:00 PM | Tuesday: 11:30 AM – 2:00 PM | Wednesday: 11:30 AM – 2:00 PM | Thursday: 11:30 AM – 2:00 PM | Friday: 11:30 AM – 2:00 PM | Saturday: 11:30 AM – 2:00 PM | Sunday: Closed,yes,places/ChIJnWVsZ-iUC0cR-qbmxVb2e2E/photos/AaVGc3mltk9mG9jglioE-yyA7IGe1EkfpnI38s7RGm_KEspWmuZZjPKVZc1f-iLLWQVDTYE5wVNq5kw0R-cl-E_VTozHgWPBTEXOvubElgOhO-l6-LGLlg75uyv0EFf7fGAUdsEIiIazS4I6dvcdep6-3HE34fDQFr5wOAewitigigUNlRrrBluwoeeICaSmS1Nfc-QIbNHixJmhZttHqxfrDmyxwczkcIe3a84MRCwe84QcU1v9k5ukOhOeB3n2haSM9jaRijjx7v3gqftfyxXc2M4T64PZqS5xEW0xWH06jVHfpvMbjZtJ-wvIB1ymzlbLYwF_dFTSUpuF5TkrwsXVq4PLYcevcBhtQLKJShjitP2MNdWvQ99Xrk9V81wfOxZDXZeiZXZE0Zrc-oFBy_1Ts-TzLx4-aB9Ovjv5gxeCiEaeBUbFjUT4A3TdMqwq6Q,Restaurant Shalom,
7357,no_match,rules-no,weak name/address match,יו מילו,"U Milosrdných 848/4, Staré Město, 110 00 Staré Město-Praha 1, Czechia, Prague",Prague,Czech Republic,CZ,50.0874654,14.4212535,ChIJh8kJ3F6VC0cRjKRhoV2SfuY,U-Milo Kosher Prague Restaurant,"U Milosrdných 4, 110 00 Praha 1-Staré Město, Czechia",50.0916849,14.4208784,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=16608873406626112652&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,728 186 832,4.2,387,Monday: 8:30 AM – 10:00 PM | Tuesday: 8:30 AM – 10:00 PM | Wednesday: 8:30 AM – 10:00 PM | Thursday: 8:30 AM – 10:00 PM | Friday: 8:30 AM – 3:00 PM | Saturday: 10:30 PM – 1:00 AM | Sunday: 9:30 AM – 10:00 PM,yes,places/ChIJh8kJ3F6VC0cRjKRhoV2SfuY/photos/AaVGc3kAwq6M_CiIPkVJJ8YbGjiMTW7kJO57oaxVlmJR_eodNFIPzP8v5IkfewXCylWtAaPTm1wlOCs5KFdA6NKtctVW8SLZEeXZr_FVwR6XdSYADWKOZQjdxj475qd3PKL8S2eJpIYn7SuPd6H211QinX90uiMYj8ZAf-hBgQDYLIlh3DfJ-rwI-hbHWtuuLD2rGjQbTBrWnmS-IVGWQqAPOQdQtS3nmJQcBXIVA6QDn7nsnTQfhM03tHfrEqBK90DNv1KW1iXocydqgYlzhOa5_PketskgxM9xONu1rn5C2hE51LK9DC4D7-amqDZnktieqhSmCrjdIhtwK2bjca5H767QDZ0FiaqcnEHzLHjZhfkQNC56mfW6NAq-isgvVwdwhUyU-yQp7u5ntzJ-CwlmYM7xVoz7uFyEdQHB-CkDxxv4vA0,U-Milo Kosher Prague Restaurant,apply_google_shadow
8374,verified,llm-yes,"LLM אישר (0.95): Same unique restaurant name (5th District by King Solomon), identical street address (Široká 8), same postal code (110 00), Prague. Minor variations in full name formulation (Restaurant & Cafe added in B) and city district naming (Josefov vs Praha 1-Staré Město - both refer to the same Old Town area) are standard Google Places expansions. Operational status confirmed.",5th District by King Solomon,"Široká 8,  Josefov, Prague, 110 00, Czech Republic",Prague,Czech Republic,CZ,50.0874654,14.4212535,ChIJtWX_DlCVC0cRZe6XKhJBK6U,5th District Restaurant & Cafe by King Solomon,"Široká 8, 110 00 Praha 1-Staré Město, Czechia",50.089003999999996,14.418049199999997,OPERATIONAL,restaurant,coffee_shop;cafe;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=11901677986536484453&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,224 818 752,4.3,848,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 10:00 PM | Saturday: Closed | Sunday: 11:00 AM – 10:00 PM,yes,places/ChIJtWX_DlCVC0cRZe6XKhJBK6U/photos/AaVGc3mZtYS-1RhXWCZ6K6Tl8HOFc7wAKZ4l_V3Oc-5ACVAiGjwK2_dFL98FalZTpuGiCvsbFEOMNEteeWn8Fq29uHpnWY-tqLaDAiBMYTIbXv0-sppuvzE7xo-RflR0LyKscDn6BLNako7RzY3qm08ANYe6lb6U7jnt1nJyBL_iw18nmxDs378C85FmNI3VTw3m542i3tQ1sCntsu_I5CCoFfdtErgqeb-QKvDBL3zv03phQWHv84RpqJecWrJ19Wcc7tXZZViDidZdfoejOTbDgAy3XntCRYe82oJcWclszXJggKoiolnOARQqNhPea2p0dlrxhPSHtzirpQJu1mZ4DKtZiyCLChGI0sU7yvpMVnAfMIpNSjsLmgvjbt__i4FGwU1DbpQ1GQT927HIauwFN8g3lyASQlfeA9ZluhSTFIxKxQ,5th District Restaurant & Cafe by King Solomon,
8375,verified,rules-yes,unique name matches + same city,Heimishe Trdelaich,"Široká 4, 110 00, Czechia",Prague,Czech Republic,CZ,50.0874654,14.4212535,ChIJaWSPQACVC0cR-Q0mvgKM_8U,Heimishe Trdelaich - Kosher trdelník & Di Shpayz kosher shop,"Široká 4/110 00, Staré Město, 110 00 Praha-Praha 1, Czechia",50.0889031,14.4172382,OPERATIONAL,restaurant,coffee_shop;cafe;pastry_shop;dessert_shop;bakery;confectionery;grocery_store;food_store;store;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=14267276087941008889&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,224 818 752,4.5,243,Monday: 10:00 AM – 8:00 PM | Tuesday: 10:00 AM – 8:00 PM | Wednesday: 10:00 AM – 8:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 7:00 PM | Saturday: Closed | Sunday: 10:00 AM – 8:00 PM,yes,places/ChIJaWSPQACVC0cR-Q0mvgKM_8U/photos/AaVGc3mwls0EfE7YhVNK_2M4dGr8igMaHFkh3sPWmBV7h_HwmTQWe3f9hf5eDm7KSB4t9OzEK-hmL-skbAz_iQX6ZTFfF7POC7bs29Ey_3OEMNojD95OzV7u9l0G1MjHqQxk0TRHJuiFFGvi0ERwVYBsyx7Fqti40nC7D4Kh7v7TpGtse4kVTX8R6AEEI24qn9lyCYWfWlH2ctvpEH-sWOSrzb5zkmMxluCPHvXJJgRyxSapxKcl2q82c1ENcforxZjxeSnXzzPLZj9gu3vK3qRo65A9bquQZgwecxCzjd0vD6_4tArV6ZRxFqzplVWOcFJk-3ijbTXvkJ_wKbXjVJFmf3mKQ5EPkpeW5UxXTvEmSqls7UOjwgNGBpn_TtGKrMRdstx6ioVy6KZvlR9N50ak19J3SMm5odWBJbkO5OeqGYq8YBC9yS4ct7wAxjsEkBqZ,Heimishe Trdelaich - Kosher trdelník,
8376,verified,llm-yes,"LLM אישר (0.92): Same unique restaurant name (King David Hotel Restaurant/Kosher Restaurant KING DAVID), same street (Hybernská/Hybernska 42/1674), same postal code (110 00), same city district (Prague 1/Nové Město). Address variants reflect Czech numbering system (descriptive vs. street number). Google's more detailed address is consistent with hotel restaurant. Distance metric unreliable for same building.",King David Hotel Restaurant,"Hybernska 42, 110 00 Prague 1,, Czech Republic",Prague,Czech Republic,CZ,50.0874654,14.4212535,ChIJ79J1LJSUC0cRstrjs7wvHUE,Kosher Restaurant KING DAVID,"Hotel King David, Hybernská 1674/42, Nové Město, 110 00 Praha-Praha 1, Czechia",50.086598099999996,14.436764499999997,OPERATIONAL,restaurant,buffet_restaurant;fine_dining_restaurant;wedding_venue;event_venue;service;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=4691958874308336306&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,224 100 100,4.3,71,"Monday: 7:00 AM – 9:00 PM | Tuesday: 7:00 AM – 9:00 PM | Wednesday: 7:00 AM – 9:00 PM | Thursday: 7:00 AM – 9:00 PM | Friday: 7:00 AM – 9:00 PM | Saturday: 8:00 – 11:00 AM, 2:00 – 4:00 PM | Sunday: 7:00 – 10:30 AM, 6:00 – 9:00 PM",yes,places/ChIJ79J1LJSUC0cRstrjs7wvHUE/photos/AaVGc3n8XCjqAv6vnto4eVdKOkvkre3rBjCO7_tyEW_NNywVYsa2UHbwKjmp91GC1NKqhYtnx7S1qytgs5UO0dXFuuaSdF51FymcMacUpmw07uvZauzq__qB0vZPwcheo4DOpRIg7dXOPjdhcvH4f73Ll6iREO4C_uKwuW1UTmcm1XYJYcZikxwV9b1ebASxW2BpKdgxHugG5v5ltrmHRBKReYyoc4rnx7MMIFLhOVXJr9WEX5kPSzReDMR5m1iClzNh70GgwhSajkOD5cMcwr9aWcXBVr1JcA-5lZMIWIJHY95h8TwJlTkbwcngNd1wKi3hax8NiB-qn3xIwbVkdhn_pf6psOqoGSThoburkmgFWEuW31LBHbE0dY7Q7yJ368oOGjo0giGX_VM9mczNwI4NNaMqzPWUhNK6MAW6hPBAUNanIR0,Kosher Restaurant KING DAVID,
8377,verified,llm-yes,"LLM אישר (0.95): זהה שם ייחודי (Mansson's Bakery), כתובת זהה (Bílkova 6/8, Josefov), שניהם בפראג. ההבדל בעיצוב הכתובת (Praha 1-Staré Město vs Staré Město) ו-'Czechia' vs 'Czech Republic' הם וריאציות תקניות. Google מספק מידע עדכני יותר.",Mansson's Bakery,"Josefov CZ, Bílkova 6/8, Staré Město, Prague, 110 00, Czech Republic",Prague,Czech Republic,CZ,50.0874654,14.4212535,ChIJ18g3JeiUC0cRZWJXrcx-L_E,Mansson's Bakery,"Josefov CZ, Bílkova 6/8, 110 00 Praha 1-Staré Město, Czechia",50.0908701,14.4200361,OPERATIONAL,bakery,bakery;pastry_shop;sandwich_shop;coffee_shop;breakfast_restaurant;dessert_shop;cafe;confectionery;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17379248904592646757&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,222 310 620,4.3,634,Monday: 7:00 AM – 7:00 PM | Tuesday: 7:00 AM – 7:00 PM | Wednesday: 7:00 AM – 7:00 PM | Thursday: 7:00 AM – 7:00 PM | Friday: 7:00 AM – 7:00 PM | Saturday: 8:00 AM – 7:00 PM | Sunday: 8:00 AM – 7:00 PM,yes,places/ChIJ18g3JeiUC0cRZWJXrcx-L_E/photos/AaVGc3mva70vyFMu6xTwAJvK8GDncssEeVlmRsNCWDBiC1epjISfzH2HBTOVj2x3NJ-dcjIs7XERC4Ef9xErC-MnyW0l_thyYEL0m68bClKwHeI5reThZ7GgF6BewCXzKHfh63ESxQuAHoZedY3-T8beNNt9xuKibua--BdPoBPEYJPQ-yz7TJUu7EZdRl7pOu1dnD_UnZEr7WVOLu8qwM7F0eKy-Wgd7qa324c90vNxQsm80uRowqyUdyB5xje3LKNY-_5sU6X69UW1cDmbSANKuXim9jBg3r4-m_DTPxR8yUd_fBJxyddyUpTq_dGz8vIQ-ob-rWK9xb9bh9QM_73tmt0X2xNa6QHekcIczONRJSxmCT_TqRPPdYWEHsQPCSWoYEdJl612tbs5I-EQSsRube2rCCsdzcxHfIwUUAkXLw67nhWR,Mansson's Bakery,
