bucket,new_verdict,new_conf,new_reason,triage,triage_score,triage_reason,id,final,source,old_name,old_address,old_lat,old_lng,google_place_id,google_name,google_address,google_lat,google_lng,name_sim,distance_m,business_status,food_signal,google_primary_type,google_types,google_phone,google_rating,rating_count,opening_hours,has_photo,photo_name,photo_attribution,llm_verdict,llm_conf,llm_reason,google_maps_uri,resolved_final,collision
sure_wrong,no,0.95,"שם עסק זהה (שומשום בר בריאות) אך הכתובות שונות משמעותית: אורי צבי גרינברג 25 מול יצחק שדה 8, וההרחק בין הנקודות הוא 7.3 ק״מ. למרות שהשם ייחודי ומהימן, זהו כנראה סניף אחר של אותה רשת בחלק אחר של תל אביב.",maybe,0,LLM לא (conf 0.95) · עיר/רחוב לא זוהו כתואמים,195,no_match,llm-no,שומשום בר בריאות,"אורי צבי גרינברג 25, צפון תל אביב, Israel",32.1301798,34.792313,ChIJD_iLsMZLHRUROFIV-yYzJc0,שומשום בר בריאות,"Yitzhak Sadeh St 8, Tel Aviv-Yafo, Israel",32.064895,34.785362899999996,1.000,7289,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,1-700-707-724,4,45,Monday: 10:00 AM – 4:00 PM | Tuesday: 10:00 AM – 4:00 PM | Wednesday: 10:00 AM – 4:00 PM | Thursday: 10:00 AM – 4:00 PM | Friday: Closed | Saturday: Closed | Sunday: 10:00 AM – 4:00 PM,yes,places/ChIJD_iLsMZLHRUROFIV-yYzJc0/photos/AaVGc3mAI0xkNRZvFQTTKNg77WU9fOlvKz73Y27WO0VcDTob6nzDVeeZxjKz5oi__rNvb88nl40wprJJ_ZYEp7okodNVypPqJ7hOmxXFGbhiHTMIZskOIDQ72yw8EW3ag7xWMSS17GOQ6_oU6LELJYIJrKO0ytOxNa2ZG6_b1cg9mpymtA6gx2NeqTDz-z_ohTffseZx5_OerfizPDa_3Wnb1Wq4YoGt4HnxsOQUZdsUpE64mkQuNLOsn8yR-zSd2nsdzkkoftrDjqERtXlJcinulpCjC0oSKrZqYiL43Zouy9msyJQvkxAQw4lPnjCITd6iXp1fXk1-RDJpmgaat-CwMjXCW8XaJL7qlvEqyuEsOroaBL2Rhl3SIMItwJ2H4LqYR5paItfA5G9yzCAxZmIuZFZkTRYXgK-QgKdPTmL2PxcuCdJk,Omer Israeli,no,0.95,"Different streets (Uri Tzvi Greenberg vs Yitzhak Sadeh) and 7.3km distance apart. Both in Tel Aviv area but clearly different locations. Despite matching name, the address mismatch is too significant.",https://maps.google.com/?cid=14782277594427773496&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,no_match,
sure_wrong,no,0.85,"שם דומה מאוד (כרמלי'ס/כרמליס) אך כתובת שונה משמעותית - יצחק שדה 27 מול Ben Avigdor St 3, במרחק 266 מטר. למרות שזהו עסק ייחודי ולא שרשרת, ההבדל בכתובת מובהק מדי כדי להניח שיש שגיאה בנתונים שלנו.",maybe,0,LLM לא (conf 0.85) · עיר/רחוב לא זוהו כתואמים,292,flagged,llm-no,כרמלי'ס בייגל בייקרי,"יצחק שדה 27, תל אביב, Israel",32.065203,34.787788,ChIJ53E7-R1LHRURUwOyHXF43V0,כרמליס בייגל,"Ben Avigdor St 3, Tel Aviv-Yafo, Israel",32.0675919,34.787729399999996,1.000,266,OPERATIONAL,food,bagel_shop,bagel_shop;salad_shop;sandwich_shop;cafe;bakery;food_store;store;restaurant;food;point_of_interest;establishment,03-547-2844,4.4,30,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 1:00 PM | Saturday: Closed | Sunday: 9:00 AM – 6:00 PM,yes,places/ChIJ53E7-R1LHRURUwOyHXF43V0/photos/AaVGc3klnytQ8EThmZ_PpYU5sEBrOx1n_K3-2cJTiBSFNIsInMv3dbwcIfMxepdoaSVrYSrbrGP5H5rXnc4M8Bm9YhSBxay5uGr8f33gBblc9Kc-EM3NgTaXp9r8CXxUmWVA8gyBdGyR5DzxO4xI_JKWPu90i2DR36rs20P1_C3PndJMevZ-rr0OI6EUnYxPF-iwKPer7xoa3MlX3YVnTiFqQC37xzlZEfWzUCqHXhfyOKMOJQBt6-G3MzYSudYy2bxc6ivw5Rc58_9NOp4uo7VZVF7a-XISPXm0TYfjmuy80EE-t1yPxsHXeX9QU3LqmpVJOWR7QBCxUBwNv2Kl0ie2ks1ALU6pFM1q5dceNHkT1EWKufOTKsGwmIOD4bZmcpTIj36XWgWLu5L8DmHgricI_X_d85gkr6F6sueiv656dvlzFzgq,Tzach Yashar,no,0.85,"Different street addresses (Yitzhak Sadeh 27 vs Ben Avigdor St 3) with 266m distance. While names match (Carmeli's Bagel Bakery), the significant distance and different streets suggest different locations. No clear evidence these are the same physical business.",https://maps.google.com/?cid=6763694642605196115&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,flagged,
sure_wrong,no,0.95,"שני סניפים שונים של שרשרת בורגראנץ' באשדוד - כתובות שונות במרחק של 1.3 ק""מ. עבור שרשרות, כתובות שונות בעיר = סניפים שונים",maybe,0,LLM לא בטוח (0.35) · רשת באותו שם אבל רחוב אחר — כנראה סניף אחר,453,uncertain,llm-uncertain,בורגראנץ',"גור דב 13, אשדוד, Israel",31.7931942,34.6533551,ChIJNSyg8wOjAhURECZDMtlperk,בורגראנץ' אשדוד,"קניון סיטי תחנה מרכזית, שדרות מנחם בגין 1, אשדוד, Israel",31.790772,34.6394217,1.000,1344,OPERATIONAL,food,hamburger_restaurant,hamburger_restaurant;fast_food_restaurant;american_restaurant;restaurant;food;point_of_interest;establishment,1-700-700-600,3.1,362,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 2:30 PM | Saturday: 7:00 – 10:00 PM | Sunday: 11:00 AM – 10:00 PM,yes,places/ChIJNSyg8wOjAhURECZDMtlperk/photos/AaVGc3m3xDjU9WBWmeWSp-UILbftQBzRWAQOq12rPcGORZcjG_xbGDlhY64y_0qzEm8WyVbpvpmi9WiHuJcU2PPTKkOZgexU0lUE1kyc6Hq6ACa9-lv6X5-Mcqn3u010--2lzgkVTiPEoPxv5-eZYhGt9FCVn0kAozFAGJqHyt98SggqdxChEpPpblc7XVYFGzNqq_c_SKpK6rjvzRR1iB0FwT-5D6E6g9-Zw4m0mdckTvDocp7yTiWR7xqXfpc2lXAn7mj8MiMp-OiXL60TiRat8TbM3kD5Iaj6S1_M_XvQnN-7m-iAbD-_3CpbcIEuSXuOtBZfPUIk9deaEu2ueyaCNNBwANHpH-SuAT8o8YFq5ylRY8CXD8AqoawXKOhH_molf46A1-nNcQrco5rfU4JfwggDEIqp2DbRiD1LN5p0h-XtMA,בורגראנץ' אשדוד,uncertain,0.35,"Chain name 'בורגראנץ'' (Burgerantz) appears in both, but addresses differ significantly: Gor Dov 13 vs. Menachem Begin 1 (in City Center mall). Distance of 1344m is substantial. Without confirmation that this chain has multiple Ashdod locations, cannot confirm same physical business.",https://maps.google.com/?cid=13365111225747449360&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,uncertain,
sure_wrong,no,0.85,"שם ייחודי תואם (פיאנו פיאנו) בתל אביב, אך המרחק הגדול של 4359 מטרים מעיד על שתי עסקות שונות. כיוון שזה שם ייחודי (לא שרשרת), כל מיקום שונה מייצג עסק אחר. הכתובת שלנו לא ברורה אך Google מציין כתובת ספציפית שאינה תואמת למרחק זה.",maybe,0,LLM לא בטוח (0.45) · עיר/רחוב לא זוהו כתואמים,552,uncertain,llm-uncertain,פיאנו פיאנו,"תל אביב, Israel",32.0599446,34.7685902,ChIJbV7-3a5LHRURPbgS94ezojA,פיאנו פיאנו,"Kaf Gimel Yordei ha-Sira St 1, Tel Aviv-Yafo, Israel",32.0989055,34.7737366,1.000,4359,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,03-504-4455,3.5,377,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:30 PM | Thursday: 12:00 – 11:00 PM | Friday: 11:00 AM – 2:00 PM | Saturday: Closed | Sunday: 12:00 – 11:00 PM,yes,places/ChIJbV7-3a5LHRURPbgS94ezojA/photos/AaVGc3k15xylkgwJ3SRjwnPB0mSLXcNy-BNjLrZKUj2N1tQJ8y4AEaaII3E8lqbJ_hZwcRmmLSpRWQpqCpG5XFh3X-syQS3j7MdFvRbUO6fIYG-0CrDHOiYXRyLDc5FVciLRF5o-FqaeO4BBiTdPfdqG40SKTuEzZn2p5B85KOBnitTHmE2DKTWB5AZMIm44g8GIpVNGZcFUTYpNrAbH3UPOvLK82GFhpnR-jZQUrrr01cGj0D3KI78rfVJzUDE8a09ltns9cd4tvbXytQ0MaxwZYyyYCA5_we6dRpyR2oaTQNso3IHsySb_yxqebwE7A9-AYmHB3bHHQ0un09XzMvWZZnmsvJ29AEWHc5MFc-whuQc1UHFIhrh1lYwMLrYslRrGz-bJ51RHAfF3_HtIBj33QBXaCC-6C7Mtd02hwHaS3jWA9BhJ1BDNF4QgUuAKOPSj,פיאנו פיאנו,uncertain,0.45,"Names match perfectly (Piano Piano - unique name), both in Tel Aviv, and B is clearly a food business. However, listing A has only city-level address with no street specified, while B has a specific street address (Kaf Gimel Yordei ha-Sira St 1). The 4.3km distance is large. Without confirmation that A's actual location is on that specific street, cannot confirm as same place.",https://maps.google.com/?cid=3504560856594823229&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,uncertain,
still_maybe,no,0.75,"Although the names match (רשל=Rashal) and both are in Tel Aviv, the distance of 6554 meters (6.5 km) is too large for the same restaurant location. Our address lacks specific street details while Google shows a precise address on Yosef Yekutieli St. For a unique restaurant name with no chain indicator, such a large distance suggests either a data error in our system or that these are different establishments with the same name.",maybe,0,LLM לא בטוח (0.55) · עיר/רחוב לא זוהו כתואמים,553,uncertain,llm-uncertain,רשל,"תל אביב, Israel",32.0686836,34.8342207,ChIJn6PiGA5LHRURiJVDfn33eAg,Rashal,"רחוב יוסף יקותיאלי St 3, Tel Aviv-Yafo, Israel",32.1012854,34.7762631,1.000,6554,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,03-525-5550,4.3,769,Monday: 4:00 – 11:00 PM | Tuesday: 4:00 – 11:00 PM | Wednesday: 4:00 – 11:00 PM | Thursday: 5:00 PM – 12:30 AM | Friday: Closed | Saturday: Closed | Sunday: 4:00 – 11:00 PM,yes,places/ChIJn6PiGA5LHRURiJVDfn33eAg/photos/AaVGc3ky5eGfNj0mFh7KaWZlIgr2O2VDjhuubi7IbJU7W1QuuC1v3Xd7rDUku6cuGUcLsaE3om6oNsTdqTIFJKqUX1AU3ube6QqYqyC_-n2EJT93MQ-jXX19t2cYLu0xe6tiasE2AamNuGCUmOWKebNZHQDGl5MpiMHxcItZQk1qvZvpaMIPzXR-VwYtv4P66w6iZtLxVpqs4OZdaX2AI0sV8ol8sGv2Zvfd6bdJr59qECgJYGEby9khZFL3XZhdGF9M-XqpiEUIkJ9leUhmXDpAb2NNtV-yXBExeB6UU0s-hkbcKF0Qe3EAXx0VGEAuDiNgNgpayde2Id3pc1vHiaKbm83Ax1GpRQbscRAoArNq5X2pjxUdBGuP1Imseii9tWZGm_WIlOQOOeSqiUOjuaCtbVTC5kB6wfw9mLebvqrOME4UZGUM,שגיב דבקרוב,uncertain,0.55,"Name matches well (Hebrew 'רשל' = 'Rashal' transliteration), and both are in Tel Aviv. However, listing A has only city-level address info while B specifies Yosef Yekutieli St 3. The 6.5km distance is large but could reflect outdated coordinates in our database. Without street-level info for listing A, cannot confirm definitively.",https://maps.google.com/?cid=610509867870033288&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,uncertain,
sure_wrong,no,0.95,"Our listing shows Jerusalem address, but Google shows Mevaseret Zion (different city). While the name matches perfectly ('גריל בר מבשרת ציון' = 'Grill Bar - Mevaseret'), the location discrepancy is significant. Our address data is wrong - the business is in Mevaseret Zion, not Jerusalem. This is a clear geographic mismatch between two different municipalities.",maybe,0,LLM לא (conf 0.95) · עיר/רחוב לא זוהו כתואמים,556,no_match,llm-no,גריל בר מבשרת ציון,"ירושלים, Israel",31.7788472,35.2257856,ChIJv7MkOMnXAhURK9UCcrRRBGY,גריל בר - מבשרת | Grill Bar,"Har'el St 5, Mevaseret Zion, 9079101, Israel",31.8054751,35.152650799999996,1.000,7520,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,02-622-3761,4.1,351,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: Closed | Saturday: Closed | Sunday: 12:00 – 11:00 PM,yes,places/ChIJv7MkOMnXAhURK9UCcrRRBGY/photos/AaVGc3nSSjxoc8RP43nZL_OsdYW2MsHkVrC_VvF4lF_LYfhgqILr7Rwgjntt5jBfZKprKltGklRAMtADBZudEBWjX7K3s94AxQgOkpGjHlbytkuUx9UhbwzF3weNKyTe4nWY0DspRg8fUcg7i7XSjSPX11BBwt-kOQdGzWxSS7ujgB2rPnueuT5V9BlgWs-wncqXy0RNu6sz7BTlzMFovMmLOSCDASBQ7NIeP4_d2CiAKOqs_IAQNg0XZC0xL-qHsJePbmwUqTyCyY_j_DrPey6f0NYNB22-XCtJ9ESWRvg-kp0zGmAcgMI7Yt1MrNcon_bpnsbE-EVCAG-1NCzSDNBHg1JjTENzXDo9jjgcoeU8N3uun1sVZdRQMGkqC87hnhLvypyowUIdXeG2C9ayMg9Q0BuR6N-PHsG4OACag86_drw0XQ,גריל בר - מבשרת | Grill Bar,no,0.95,"Listing A is in Jerusalem (ירושלים), but Listing B is clearly in Mevaseret Zion (a different city ~7.5km away). Despite the matching name 'Grill Bar Mevaseret Zion', A's address is only 'Jerusalem' with no street specified, while B is definitively located in Mevaseret Zion. These are different physical locations.",https://maps.google.com/?cid=7351090327224243499&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,no_match,
sure_wrong,no,0.95,"שם מסעדה זהה אך זו שרשרת. הכתובות בערים שונות - ירושלים מול אפרת. למרות שהמרחק גדול, זו ברור שתי סניפים שונים של אותה שרשרת במקומות גיאוגרפיים שונים.",maybe,0,LLM לא (conf 0.95) · רשת באותו שם אבל רחוב אחר — כנראה סניף אחר · עיר/רחוב לא זוהו כתואמים,569,no_match,llm-no,וופל בר אפרת,"ירושלים, Israel",31.7788472,35.2257856,ChIJ57GTGs3fAhURVfkdNstnbak,וופל בר אפרת,"נצר ישי 1, Efrat",31.6523339,35.149473799999996,1.000,15811,OPERATIONAL,food,cafe,cafe;point_of_interest;food;establishment,02-566-9533,3.9,40,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 2:00 PM | Saturday: 8:00 – 11:00 PM | Sunday: 9:00 AM – 10:00 PM,yes,places/ChIJ57GTGs3fAhURVfkdNstnbak/photos/AaVGc3k24IYNHFsOG-Poy0khoiYtNiHPLZPzHa70y5fFKokXOBgkb9xYDgvIciHUPvXmcu6a5FnH7irU540n4T4BBHRn4sOJMtPl-aJr3KxSAE8bpPX0VMKuJfnMNuMCCu5ik09ROqIoN1gVZmPTFBczb3ESXiBLHmmK8k9rgVO_M3MgOijJcimwOErNCF6qyHwrwisFjEMUmkPyB54NVSTR7h3JE_TBPmYzmnsdtvqSQg9ZeWaPCqNEX8NBn7WO8cRc4nE6-9ap5yzwAyPi09rVAIikzaTqTlGSJCRIE1S4gduN4oUt7ZSz5tfji6j2lI44sERfl1AdZOc4jbkvLuDYWhr_DmCZygVM_oucBJXA_xkXNBvPgIJP5hu5rRMyI-LhzH7Z442yrg4J9zBAPQCZS8m3qGmQUDizj2RdM4eO1uacq035TOJglASggezU2Q,וופל בר אפרת,no,0.95,"Different cities: Listing A is in Jerusalem, Listing B is in Efrat. Distance of 15.8km confirms they are separate locations. While both have the same chain name, the addresses are in different municipalities.",https://maps.google.com/?cid=12208528287355238741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,no_match,
sure_wrong,no,0.95,"שלומי שיפודין הוא שרשרת (chain). הכתובת של Google היא 'יס לפאנט' בבאר שבע, בעוד שלנו רק 'באר שבע' בלי שם רחוב. המרחק של 2571 מטרים משמעותי עבור שרשרת - זה כנראה סניף אחר. עבור שרשראות, כתובת שונה באותה עיר = סניף שונה ולכן עסק שונה.",maybe,0,LLM לא בטוח (0.55) · רשת באותו שם אבל רחוב אחר — כנראה סניף אחר · עיר/רחוב לא זוהו כתואמים,1240,uncertain,llm-uncertain,שלומי שיפודין,"באר שבע, Israel",31.2457442,34.7925181,ChIJjRzuKgBnAhUR13_1If0eWfc,שלומי שיפודין,"יס לפאנט, Be'er Sheva, Israel",31.2241702,34.802242299999996,1.000,2571,OPERATIONAL,food,barbecue_restaurant,barbecue_restaurant;restaurant;food;point_of_interest;establishment,,4.8,12,Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 10:00 AM – 3:00 PM | Saturday: Closed | Sunday: 10:00 AM – 10:00 PM,yes,places/ChIJjRzuKgBnAhUR13_1If0eWfc/photos/AaVGc3m9BpwzYNYu0ntSYziE-XhuA1NaO4smtaVV_wXHEt9h6hYBuX8Qtc0OZqlZ949qIsFFTonPW3A8PIn3S_8EbP1IFqfwIXJJxaYLCk3gdxD7-8zDUbWoWEwzcFhqEon_has04WkzXK1LANmwzDrwm3w4o-GVzG62G2S16JrK2Fz4nbCDA6kC7l1Dk5DoO3q_DW6KA7Yie7j60vRI54r31OqnJjoRMZjnREJN5cSfQFMsiygBUG1taa0Lh5UUSRiIGMbFt1jMfoCQ7-y5_1iXGSY29dALZ3gBwHXXBVX46_hy0cUmKaA-Z7fYQCtV16gVMDRhuDxvjTekQBAE4ELgLOatEJ6xuvPX956T78NoTlKErFEtdbcMpJhadGPrZBYvuAu0TPeg9qtiM-W781deUKM8oRbwA0QDadf8mWR2eK2-PB_xV3c9r0R5evkFKNKD,שלומי שיפודין,uncertain,0.55,"Chain restaurant with matching name (Shlomi Skewers). A has city-only address (Be'er Sheva), B specifies 'Yes LeFont' area. 2.5km distance is significant but could reflect coordinate error in either listing. For a chain, we need clearer street-level confirmation to confirm this is the same branch.",https://maps.google.com/?cid=17823311072840744919&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,uncertain,
sure_wrong,no,0.85,"Both are named נאפיס in Ashdod, but the addresses are significantly different (Habanaim 2 vs. Derech HaRakevet 1) with 4.6km distance. The addition of 'Big Fashion' to Google's listing suggests a specific location/branch. For a unique-name restaurant, matching the exact street is important to confirm it's the same establishment rather than a different branch location.",maybe,0,LLM לא (conf 0.85) · עיר/רחוב לא זוהו כתואמים,1249,no_match,llm-no,נאפיס,"הבנאים 2, נמל אשדוד, Israel",31.8176521,34.6589139,ChIJFxuIqtejAhURZGp_DkqSGCI,נאפיס - אשדוד ביג פאשן,"Derech HaRakevet 1, Ashdod, Israel",31.7764198,34.6641534,1.000,4611,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,077-880-1733,4.2,152,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,yes,places/ChIJFxuIqtejAhURZGp_DkqSGCI/photos/AaVGc3lcxzZYA3ksGhs_9JEs-JzY2A5YYOSKjqyzxTp9SJBdxCGSA5N4ZxKAHEfLGQkDgfV8iT-Owrvsu4kdb3-Yj2rfr2AWLHSV0x0LcHqfOvfVQ0prfmyQXjSJ14qcdJ2Mf2iDipBKeRIvEEWOS2oraUpu7yIeFPv6G1tn_yXvmONLGby-gX2gf2eD3OqggoLkdIi9cfNbnjFufVt51xMJze2B78UfffQ-tm4kQayQUynFnYEBMGoUeX_5BNMHDgFWd7roewxfNYLW2biwWCrtBIp2IYuySMhrpPfAeRs4NCea3SZlV1O9ckfhoQSrS95eT9BpWwE9EBC7x5o9V080LOEJWWSjXGg6Qql27zfEXcDjXvSROvYBr4o_Bf19lLA81hHIQHUFHQV-E5-lsI_5O0opuXnLnzX2rHYMpiAHZdTn8NWQQBuyXrfJ5PwpsmYY,נאפיס - אשדוד ביג פאשן,no,0.85,"Same business name (Napis), but addresses are 4.6km apart with different street names (Habanaim vs. Derech HaRakevet). Both in Ashdod, but distance too large for same physical location. Likely different branches if chain, but cannot confirm as same place.",https://maps.google.com/?cid=2456874443499072100&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,no_match,
sure_wrong,no,0.85,סטקיית עמרם ליברטי (Steakiya Amram Liberty) differs from סטקיית עמרם (Steakiya Amram). 'ליברטי' (Liberty) is a location identifier suggesting a specific branch. The 2840m distance indicates different physical locations in Be'er Sheva. Google's listing appears to be a different branch or the main location without the Liberty location suffix.,maybe,0,LLM לא בטוח (0.6) · עיר/רחוב לא זוהו כתואמים,1251,uncertain,llm-uncertain,סטקיית עמרם ליברטי באר שבע,"באר שבע, Israel",31.2457442,34.7925181,ChIJGdSBovRmAhURyOJTqF7AWMM,סטקיית עמרם,"Be'er Sheva, Israel",31.270882900000004,34.7978123,1.000,2840,OPERATIONAL,food,steak_house,steak_house;restaurant;food;point_of_interest;establishment,08-649-3929,4.1,595,Monday: 10:00 AM – 11:00 PM | Tuesday: 10:00 AM – 11:00 PM | Wednesday: 10:00 AM – 11:00 PM | Thursday: 10:00 AM – 11:00 PM | Friday: 10:00 AM – 4:30 PM | Saturday: 8:30 – 11:30 PM | Sunday: 10:00 AM – 11:00 PM,yes,places/ChIJGdSBovRmAhURyOJTqF7AWMM/photos/AaVGc3mXOIJzVnPZKkHwJKp1ZmOtBje2yZZFWHvKNDdifk0oXiKeM8f3cRrdJG6c7InZ9CcSL5vxHLHJ6r2vXFTozcuEQVa4Xhg8dwYV6ukMhWabTZO2YBLaszV21GPya8shP8PdTOSkUIVoZvnMXdByF9JcR1Q-H6NBfZhf0-IXim-W-btrObRWYHxTNu-RGKQ_pTbL5EtwZWl6BU5GoOXZYtRkHvQP_Mw1fyFE3o4orzXUXZyStBBAV2xSp8r40k9rm9xEnI92QaCYZVn3rkODDEeP-DM7BVTY7K6db6B232PVlvO7tw_P1sqnTVq5hD6LDegt3wrwi9-frXAq596rG7E4oyols71QiRrc7JQjCAkB1Z_6UP4_p6t_5JHgPPYKECIqdzgNmS2aheP7wVll12zeC-LfiNXrPUdsgmWDKwzGqyLX,Janna Dob,uncertain,0.6,"Names match (Steakiyat Amram), same city (Be'er Sheva), but 2.8km distance is large and Google listing lacks the 'Liberty' location identifier from our database. Could be same business with incomplete Google data, or different branch/location.",https://maps.google.com/?cid=14076212148130013896&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,uncertain,
